id,unit,verdict,correct_interpretation,error_mechanism,downstream_harm,evidence_status,source_gids,assertion_refs
C74-01,nested route,wrong_connective_and_global_necessity,"Route 1 is normal structure AND normal ECG AND age<40 AND unexplained exercise/catecholamine-induced (bidirectional VT OR polymorphic PVCs), sufficient for this route. Its components are not individually necessary across all four diagnostic routes.","Both arms encode all five flattened members as ALL; OR rhythm alternatives become AND, while route-local conditions become global required_for/obligatory. Schema has no nested AST or route identifier.",Actual group gets +0.417 from the false structure→pulse match despite only 1/5 matched; no formal route completes. Potential: false exclusion when one rhythm alternative is absent although another valid route is satisfied.,source-and-code-direct,74601,trial_extraction_x2_v2idxclean_groups.json:857;trial_extraction_x2_v2idxclean_groups.json:858;trial_extraction_x2_v2idxclean_groups.json:859;trial_extraction_x2_v2idxclean_groups.json:860;trial_extraction_x2_v2idxclean_groups.json:861;trial_extraction_x2_v2idxclean_groups_free.json:848;trial_extraction_x2_v2idxclean_groups_free.json:849;trial_extraction_x2_v2idxclean_groups_free.json:850;trial_extraction_x2_v2idxclean_groups_free.json:851;trial_extraction_x2_v2idxclean_groups_free.json:852
C74-02,atomic alternative route,sufficient_to_necessary_reversal,"Within this CPVT table, a pathogenic CPVT-related mutation is an alternative route sufficient for diagnosis, not a requirement for every CPVT diagnosis. “Pathogenic mutation” needs disease/gene scope rather than any pathogenic variant.",New prompt turns sufficient_for into required_for; gate demotes both old correct and new wrong relations to feature_of because the isolated quote omits “CPVT is diagnosed”.,"Actual no genetic result is joined, so zero local diagnostic action. Potential: excluding mutation-negative CPVT or failing to confirm a valid genotype route. High-stakes yield increase is not a fidelity gain.",source-and-code-direct,74601,trial_extraction_x2_v2idxclean_groups.json:862;trial_extraction_x2_v2idxclean_groups_free.json:853;trial_extraction_x2_v2idxclean_groups_free.json:1038
C74-03,family scoped route,scope_deleted_and_or_changed,"FamilyMemberOf(CPVT_index) AND normal_heart AND (exercise-induced PVCs OR bidirectional/polymorphic VT) provides route 3. Missing family membership is unknown, not false.",Old makes two rhythm members ALL and drops family and normal-heart conditions; new makes separate ungrouped global necessities.,"No selected rhythm member actually joins in case74. Potential: generalizing family-screening criteria to unrelated patients, or excluding patients lacking each rhythm subtype.",source-and-code-direct,74601,trial_extraction_x2_v2idxclean_groups.json:863;trial_extraction_x2_v2idxclean_groups.json:864;trial_extraction_x2_v2idxclean_groups_free.json:854;trial_extraction_x2_v2idxclean_groups_free.json:855;trial_extraction_x2_v2idxclean_groups_free.json:856
C74-04,age scoped route,sufficiency_scope_collapse,"Age>40 is one applicability condition within route 4, which also requires specified normal structure/coronary arteries/ECG and induced arrhythmia; age alone is never sufficient.","New extraction writes age>40 as sufficient_for (one obligatory, one typical), discarding the rest of the older-patient route. Old merely calls age an occasional feature, also not an executable route.","Currently age is absent from extracted findings and gate demotes the sufficiency, so no observed confirmation. Potential severe false positives after age backfill or reactivation of layer2.",source-and-code-direct,74601,trial_extraction_x2_v2idxclean_groups.json:865;trial_extraction_x2_v2idxclean_groups_free.json:857;trial_extraction_x2_v2idxclean_groups_free.json:1041
C74-05,scorecard applicability,missing_score_program_and_gate,"Preserve the scorecard as a named program with signed points and mandatory ≥1 exercise stress-test/ambulatory Holter finding. If no qualifying finding is available, output indeterminate/no score, not a low score.","Neither arm represents the applicability gate, point coefficients, ordered output bands, or no-score state. New prompt produces generic ANY groups spanning symptoms and exercise-test criteria.","Actual new symptom/test ANY group scores +0.490 from generic collapse, even without the prerequisite test. Both arms treat QTc row as independent positive evidence. This is not execution of the source scorecard.",source-and-code-direct,74602,trial_extraction_x2_v2idxclean_groups.json:825;trial_extraction_x2_v2idxclean_groups.json:826;trial_extraction_x2_v2idxclean_groups.json:827;trial_extraction_x2_v2idxclean_groups.json:828;trial_extraction_x2_v2idxclean_groups.json:829;trial_extraction_x2_v2idxclean_groups.json:830;trial_extraction_x2_v2idxclean_groups.json:831;trial_extraction_x2_v2idxclean_groups.json:832;trial_extraction_x2_v2idxclean_groups.json:833;trial_extraction_x2_v2idxclean_groups.json:834;trial_extraction_x2_v2idxclean_groups.json:835;trial_extraction_x2_v2idxclean_groups.json:836;trial_extraction_x2_v2idxclean_groups.json:837;trial_extraction_x2_v2idxclean_groups.json:838;trial_extraction_x2_v2idxclean_groups.json:839;trial_extraction_x2_v2idxclean_groups.json:840;trial_extraction_x2_v2idxclean_groups.json:841;trial_extraction_x2_v2idxclean_groups.json:842;trial_extraction_x2_v2idxclean_groups.json:843;trial_extraction_x2_v2idxclean_groups.json:844;trial_extraction_x2_v2idxclean_groups_free.json:818;trial_extraction_x2_v2idxclean_groups_free.json:819;trial_extraction_x2_v2idxclean_groups_free.json:820;trial_extraction_x2_v2idxclean_groups_free.json:821;trial_extraction_x2_v2idxclean_groups_free.json:822;trial_extraction_x2_v2idxclean_groups_free.json:823;trial_extraction_x2_v2idxclean_groups_free.json:824;trial_extraction_x2_v2idxclean_groups_free.json:825;trial_extraction_x2_v2idxclean_groups_free.json:826;trial_extraction_x2_v2idxclean_groups_free.json:827;trial_extraction_x2_v2idxclean_groups_free.json:828;trial_extraction_x2_v2idxclean_groups_free.json:829;trial_extraction_x2_v2idxclean_groups_free.json:830;trial_extraction_x2_v2idxclean_groups_free.json:831;trial_extraction_x2_v2idxclean_groups_free.json:832;trial_extraction_x2_v2idxclean_groups_free.json:833;trial_extraction_x2_v2idxclean_groups_free.json:834;trial_extraction_x2_v2idxclean_groups_free.json:835
C74-06,negative score component,negative_weight_to_exclusion_and_polarity_instability,"Within this scorecard, evidence of ischemic/structural disease contributes −2 points; it is not an unconditional standalone CPVT veto. The term requires affirmative structural/ischemic evidence, not pulse measurement.","Old two case-variant focuses produce excludes/negated versus excludes/asserted for the same table row. F7 demotes negated variant only; asserted survives. New retains excludes/asserted but adds “evidence of”, changing lexical match.",Actual old-v2 row1017 matches pulse by loose token overlap and kills CPVT. New wording does not join and remains latent. Full harm chain needs both relation corruption and unsound matching.,source-and-code-direct,74602,trial_extraction_x2_v2idxclean_groups.json:836;trial_extraction_x2_v2idxclean_groups.json:1017;trial_extraction_x2_v2idxclean_groups_free.json:831;trial_extraction_x2_v2idxclean_groups_free.json:1018
C74-07,negative score component,negative_weight_to_positive_feature_or_exclusion,"Ambulatory ventricular ectopy burden >2% of total beats contributes −1 to this scorecard. Requires ambulatory measurement, ectopy identity, and denominator/burden; ventricular fibrillation alone does not establish it.",New two focus variants encode same source row as positive feature_of and asserted excludes. Engine ignores exclusion threshold and joins to ventricular fibrillation by loose lexical overlap.,"Actual new-v2 simultaneously adds +1.354 via row830 and kills CPVT via row1017. This is contradictory evidence generated from one source, not genuine conflicting guidelines.",source-and-code-direct,74602,trial_extraction_x2_v2idxclean_groups.json:835;trial_extraction_x2_v2idxclean_groups_free.json:830;trial_extraction_x2_v2idxclean_groups_free.json:1017
C74-08,negative genetic score component,negative_score_to_hard_exclusion,A negative CPVT panel contributes −1; this table does not authorize negative genetics⇒not CPVT.,"Points sign is recast as excludes/asserted, losing graded and multi-input program semantics.","No genetic finding in case74, so latent. A future measured negative result would cause an unwarranted hard veto.",source-and-code-direct,74602,trial_extraction_x2_v2idxclean_groups_free.json:829;trial_extraction_x2_v2idxclean_groups_free.json:1016
C74-09,negative age score component,signed_points_and_age_scope_lost,Age≥50 at sentinel event contributes −1. Preserve event time; being older is not exclusion.,Old marks age as positive typical feature; new makes it excludes/asserted. Age>40 diagnosis elsewhere in same source remains valid under route4 conditions.,Age missing in current findings prevents activation. Restoring age without fixing semantics exposes new errors; age repair alone is not a safe extraction improvement.,source-and-code-direct,74602,trial_extraction_x2_v2idxclean_groups.json:837;trial_extraction_x2_v2idxclean_groups_free.json:832;trial_extraction_x2_v2idxclean_groups_free.json:1019
C74-10,piecewise score rows,weights_dropped_then_threshold_rows_deduplicated,QTc≤420 yields +0.5; 421<QTc<460 yields 0; QTc≥460 yields −0.5. Preserve disjoint branch conditions and coefficients. The source itself leaves a boundary issue near 420/421; do not silently invent an interval correction.,"All three rows become identical predicate/relation/polarity despite different thresholds; engine dedupe key omits threshold, so six entries across focus aliases collapse to first QTc row. New ANY group becomes singleton and is discarded.","Actual first QTc row alone scores +2.215 old-v2 / +1.824 new-v2 instead of source +0.5, and bypasses scorecard test gate. Potential: other QTc values evaluated against wrong surviving branch.",source-and-code-direct,74602,trial_extraction_x2_v2idxclean_groups.json:830;trial_extraction_x2_v2idxclean_groups.json:831;trial_extraction_x2_v2idxclean_groups.json:832;trial_extraction_x2_v2idxclean_groups_free.json:823;trial_extraction_x2_v2idxclean_groups_free.json:824;trial_extraction_x2_v2idxclean_groups_free.json:825
C74-11,variant score rows,evidence_grade_and_zero_weight_lost,"Pathogenic, likely pathogenic, and VUS are distinct laboratory classifications weighted 4,2,0 in this scorecard; VUS is not established causation.",All become caused_by/typical in ANY g3; zero coefficient and evidence uncertainty disappear.,Latent in case74 with no variant result. Potential VUS is treated as causal and given same group contribution as pathogenic variant.,source-and-code-direct,74602,trial_extraction_x2_v2idxclean_groups_free.json:826;trial_extraction_x2_v2idxclean_groups_free.json:827;trial_extraction_x2_v2idxclean_groups_free.json:828
C74-12,score output bands,program_output_reified_as_patient_feature,Probability bands are outputs of an applicable computed score; low/nondiagnostic or no-evidence states are not universal biological absence.,Old extracts CPVT score thresholds as generic feature_of; new arm omits these outputs entirely in the selected focus.,"No score finding exists in case74, hence no join. Counts of extracted atoms cannot detect loss of the actual executable decision program.",source-and-code-direct,74602,trial_extraction_x2_v2idxclean_groups.json:841;trial_extraction_x2_v2idxclean_groups.json:842;trial_extraction_x2_v2idxclean_groups.json:843;trial_extraction_x2_v2idxclean_groups.json:844
C74-13,ARVC nested criterion,and_or_nesting_lost,"Group I major requires (regional akinesia OR dyskinesia OR bulging) AND (global RV dilation OR global RV systolic dysfunction), with modality/nomogram qualifiers. This major item is not the entire ARVC diagnosis.","Both arms encode regional akinesia, global dilation and systolic dysfunction as one ANY group and lose alternative regional members and measurement qualifiers.",Potential false major-criterion satisfaction from isolated dilation; current case does not establish these RV-specific criteria. No gold-rank effect is required for this clear source-fidelity failure.,source-and-code-direct,472428,trial_extraction_x2_v2idxclean_groups.json:131;trial_extraction_x2_v2idxclean_groups.json:132;trial_extraction_x2_v2idxclean_groups.json:133;trial_extraction_x2_v2idxclean_groups_free.json:145;trial_extraction_x2_v2idxclean_groups_free.json:146;trial_extraction_x2_v2idxclean_groups_free.json:147
C74-14,ARVC higher-level prerequisite,quantifier_domain_and_category_gate_missing,"At least one structural/tissue criterion from categories I or II is required in addition to the broader diagnostic framework; count distinct criterion categories/rows, not generic finding matches.","Table is now retrieved intact, but no executable cross-category ≥1 gate is extracted. Major/minor level, puberty/RBBB guards, region and sample domains are flattened.",This directly localizes residual failure after v2 table restoration to extraction/schema. Merely increasing at_least_n counts elsewhere is not evidence that this criterion became usable.,source-and-code-direct,472428,trial_extraction_x2_v2idxclean_groups.json:131;trial_extraction_x2_v2idxclean_groups.json:132;trial_extraction_x2_v2idxclean_groups.json:133;trial_extraction_x2_v2idxclean_groups.json:134;trial_extraction_x2_v2idxclean_groups.json:135;trial_extraction_x2_v2idxclean_groups.json:136;trial_extraction_x2_v2idxclean_groups.json:137;trial_extraction_x2_v2idxclean_groups.json:138;trial_extraction_x2_v2idxclean_groups.json:139;trial_extraction_x2_v2idxclean_groups.json:140;trial_extraction_x2_v2idxclean_groups.json:141;trial_extraction_x2_v2idxclean_groups.json:142;trial_extraction_x2_v2idxclean_groups_free.json:145;trial_extraction_x2_v2idxclean_groups_free.json:146;trial_extraction_x2_v2idxclean_groups_free.json:147;trial_extraction_x2_v2idxclean_groups_free.json:148;trial_extraction_x2_v2idxclean_groups_free.json:149;trial_extraction_x2_v2idxclean_groups_free.json:150;trial_extraction_x2_v2idxclean_groups_free.json:151;trial_extraction_x2_v2idxclean_groups_free.json:152;trial_extraction_x2_v2idxclean_groups_free.json:153
C74-15,management eligibility,treatment_eligibility_to_disease_criteria,"The ≥15mm septal criterion belongs to selection of existing HCM patients for alcohol septal ablation; source scope is procedure eligibility, not a necessary diagnosis rule for all HCM.","Extracts as HCM feature_of, context criteria, ALL group; group_all_required promotes ALL to disease veto regardless of the procedure target.",Actual this assertion binds to generic Cardiomyopathy before HCM because first matching candidate wins. Its ALL/5 procedure group actually eliminates Cardiomyopathy for normal septal thickness in both v2 arms; HCM candidate remains empty.,source-and-code-direct,373402,trial_extraction_x2_v2idxclean_groups.json:1636;trial_extraction_x2_v2idxclean_groups_free.json:1592
C74-16,LQTS probability output,low_probability_to_exclusion,"Schwartz score≤1 is labelled low probability by the source, not a logical proof that LQTS is absent.",excludes/asserted/obligatory invents hard effect from probabilistic classification.,"No computed score finding is supplied, so presently latent. Enabling score compilation without correcting output effect could introduce hard false negatives.",source-and-code-direct,678396,trial_extraction_x2_v2idxclean_groups.json:1821;trial_extraction_x2_v2idxclean_groups_free.json:1793
C74-17,reference interval,reference_range_to_universal_necessity_and_sex_loss,A male normal-QTc interval defines a reference range; it is not a universal LQTS necessity and it is not the female cutoff. Retrieved source explicitly says basal ECG can be normal in LQTS.,Raw excludes/negated is unjustified; G2_reference_range rewrites it to abnormal QTc required_for/asserted. Dedup combines male/female thresholds under same predicate and drops sex scope.,Actual LQTS gets threshold_violated hard veto using female patient QTc380 against male cutoff440; this can help CPVT rank while remaining an invalid universal exclusion claim.,source-and-code-direct,678396;301941,trial_extraction_x2_v2idxclean_groups.json:1737;trial_extraction_x2_v2idxclean_groups_free.json:1694
