slice_id,family,source_id,case_id,gold,logged_champion,n_occurrences,legacy_unsafe_merge_pairs,legacy_unsafe_merge_concepts,legacy_evidence_transfer_targets,legacy_foreign_support_spans,exact_minus_legacy_concepts,typed_relation_edges,legacy_gold_contaminated,exact_gold_contaminated,legacy_order_partition_changed,exact_order_partition_changed,legacy_score_top1,exact_score_top1,score_top1_flipped
DA_d2_seq100,DA,3,diagnosisarena__000003,Familial cerebral cavernous malformations,Cerebral cavernous malformation,8,2,2,3,5,2,2,False,False,False,False,Klippel-Trenaunay syndrome,Klippel-Trenaunay syndrome,False
DA_d2_seq100,DA,4,diagnosisarena__000004,Microvenular hemangioma (MVH),Angiolymphoid hyperplasia with eosinophilia,13,1,1,2,3,1,1,False,False,False,False,Angiolymphoid hyperplasia with eosinophilia,Angiolymphoid hyperplasia with eosinophilia,False
DA_d2_seq100,DA,5,diagnosisarena__000005,Left maxillary giant cell reparative granuloma (GCRG),Juvenile Nasopharyngeal Angiofibroma,8,0,0,0,0,0,0,False,False,False,False,Juvenile Nasopharyngeal Angiofibroma,Juvenile Nasopharyngeal Angiofibroma,False
DA_d2_seq100,DA,7,diagnosisarena__000007,Segmental stiff skin syndrome (SSS),Morphea,12,0,0,0,0,0,0,False,False,False,False,Morphea,Morphea,False
DA_d2_seq100,DA,11,diagnosisarena__000011,Acute dacryocystitis with secondary optic nerve injury,Orbital cellulitis,8,2,1,3,7,1,2,False,False,True,False,Orbital cellulitis,Optic neuritis,True
DA_d2_seq100,DA,12,diagnosisarena__000012,Kaposiform hemangioendothelioma (KHE) of the internal auditory canal,Hemangioma,6,2,1,1,2,1,1,False,False,False,False,Hemangioma,Hemangioma,False
DA_d2_seq100,DA,15,diagnosisarena__000015,Primary oral histoplasmosis,Histoplasmosis,12,0,0,0,0,0,0,False,False,False,False,Chronic granulomatous disease,Chronic granulomatous disease,False
DA_d2_seq100,DA,19,diagnosisarena__000019,Follicular thyroid carcinoma with manubrial invasion,Metastatic thyroid carcinoma,7,0,0,0,0,0,1,False,False,False,False,Metastatic thyroid carcinoma,Metastatic thyroid carcinoma,False
DA_d2_seq100,DA,21,diagnosisarena__000021,Saturday night retinopathy with orbital compression syndrome,Acute Angle-Closure Glaucoma,10,0,0,0,0,0,0,False,False,False,False,Compressive optic neuropathy,Compressive optic neuropathy,False
DA_d2_seq100,DA,22,diagnosisarena__000022,Antimelanoma differentiation associated gene 5 clinically amyopathic dermatomyositis,Dermatomyositis,11,0,0,0,0,0,0,False,False,False,False,Dermatomyositis,Dermatomyositis,False
DA_d2_seq100,DA,27,diagnosisarena__000027,Histiocytoid Sweet syndrome,Sweet syndrome,10,0,0,0,0,0,0,False,False,False,False,Sweet syndrome,Sweet syndrome,False
DA_d2_seq100,DA,28,diagnosisarena__000028,Bayés syndrome (Advanced interatrial block with paroxysmal atrial arrhythmias),Hypertensive Heart Disease,9,0,0,0,0,0,0,False,False,False,False,Hypertensive Heart Disease,Hypertensive Heart Disease,False
DA_d2_seq100,DA,29,diagnosisarena__000029,IgG4-related rhinosinusitis with concurrent Streptococcus constellatus bacterial rhinosinusitis,IgG4-related disease,9,0,0,0,0,0,0,False,False,False,False,IgG4-related disease,IgG4-related disease,False
DA_d2_seq100,DA,33,diagnosisarena__000033,ST-segment elevation due to myocardial metastasis from squamous cell carcinoma of the lung,Cardiac Tamponade,9,0,0,0,0,0,0,False,False,False,False,Cardiac Tamponade,Cardiac Tamponade,False
DA_d2_seq100,DA,36,diagnosisarena__000036,Primary cutaneous cryptococcosis (PCC),Cryptococcosis,6,4,1,3,6,1,1,False,False,False,False,Cryptococcosis,Cutaneous Cryptococcosis,True
DA_d2_seq100,DA,39,diagnosisarena__000039,Metastatic Crohn disease,Hiddenitis suppurativa,9,0,0,0,0,0,0,False,False,False,False,Crohn's disease,Crohn's disease,False
DA_d2_seq100,DA,40,diagnosisarena__000040,Invasive squamous cell carcinoma arising in a seborrheic keratosis of the eyelid,Squamous cell carcinoma,5,0,0,0,0,0,0,False,False,False,False,Squamous cell carcinoma,Squamous cell carcinoma,False
