arm,scope,reference_identifiability,n,clinical_complete_n,clinical_complete_rate,clinical_complete_wilson95
collapse3c,ALL,unique_full_reference,455,98,0.2153846153846154,"[0.1800777806036094, 0.2554570974658723]"
collapse3c,ALL,family_only_not_full_specificity,139,9,0.06474820143884892,"[0.034435015360151124, 0.11847198377734192]"
collapse3c,ALL,multiple_complete_answers,5,2,0.4,"[0.11762077423264783, 0.769275718723987]"
collapse3c,ALL,unsupported_reference_specificity,131,5,0.03816793893129771,"[0.016411333469222626, 0.08623854099631437]"
collapse3c,ALL,insufficient_case_information,70,8,0.11428571428571428,"[0.059061289466376454, 0.20964221582154374]"
collapse3c,ALL,uncertain,0,0,,"[null, null]"
collapse3c,ALL,nonunique_full,345,24,0.06956521739130435,"[0.04719002430562866, 0.10142034728251687]"
collapse3c,DA,unique_full_reference,285,14,0.04912280701754386,"[0.029483825345384525, 0.08075470810718519]"
collapse3c,DA,family_only_not_full_specificity,78,1,0.01282051282051282,"[0.0022667317538337325, 0.06910857001702223]"
collapse3c,DA,multiple_complete_answers,1,0,0.0,"[0.0, 0.7934506856227626]"
collapse3c,DA,unsupported_reference_specificity,30,0,0.0,"[0.0, 0.11351339317396876]"
collapse3c,DA,insufficient_case_information,6,0,0.0,"[2.7755575615628914e-17, 0.3903342879021653]"
collapse3c,DA,uncertain,0,0,,"[null, null]"
collapse3c,DA,nonunique_full,115,1,0.008695652173913044,"[0.0015366489058808025, 0.047616726344313784]"
collapse3c,MCR,unique_full_reference,170,84,0.49411764705882355,"[0.41992655026709846, 0.5685687142482387]"
collapse3c,MCR,family_only_not_full_specificity,61,8,0.13114754098360656,"[0.0679807727490011, 0.23801880192993463]"
collapse3c,MCR,multiple_complete_answers,4,2,0.5,"[0.15003898915214947, 0.8499610108478506]"
collapse3c,MCR,unsupported_reference_specificity,101,5,0.04950495049504951,"[0.02132850988800644, 0.11069425072968567]"
collapse3c,MCR,insufficient_case_information,64,8,0.125,"[0.06472242663330453, 0.22774561821129946]"
collapse3c,MCR,uncertain,0,0,,"[null, null]"
