case_id	opt@1	opt@2	gold_letter	gold_option_rank	gold_option	joint_top1	joint_top2
100	1	1	C	1	Telangiectatic metastatic breast carcinoma (TMBC)	Cutaneous Metastasis from Breast Carcinoma	
102	0	0	D	2	Annular epidermolytic ichthyosis (AEI)	Epidermolytic Hyperkeratosis	Bullous Congenital Ichthyosiform Erythroderma
103	1	1	B	1	Intra-atrial reentrant tachycardia (IART) with variable atrioventricular block	Intra-atrial Reentrant Tachycardia	
107	0	0	D	2	Keloidal scleroderma	Eosinophilic Fasciitis	
111	1	1	B	1	Inverse lichen planus	Inverse Lichen Planus	
114	0	0	B	2	Reversible cerebral vasoconstriction syndrome (RCVS)	Synthetic Cannabinoid–Induced Toxic Encephalopathy	
117	0	1	A	2	Pyoderma with Staphylococcus simulans	Bullous Impetigo	Staphylococcal skin infection
118	0	0	D	2	Inflammation-induced ocular neuropathy associated with SARS-CoV-2–induced panuveitis	COVID-19-associated optic neuritis	
119	1	1	A	1	Eruptive pruritic papular porokeratosis (EPPP)	Eruptive pruritic papular porokeratosis	Grover disease
120	1	1	C	1	Myopic macular pit	Myopic Macular Pit	Posterior Staphyloma
122	1	1	B	1	Vagus-mediated paroxysmal atrioventricular block (VP-AVB)	Paroxysmal complete atrioventricular block	
124	1	1	B	1	Primary invasive lobular breast carcinoma in heterotopic cutaneous breast tissue	Primary Invasive Lobular Breast Carcinoma in Heterotopic Cutaneous Breast Tissue	apocrine gland carcinoma
125	0	0	A	1	Tumors of the follicular infundibulum (TFI)	Nevus sebaceus of Jadassohn	Nevus depigmentosus
128	1	1	D	1	Cutaneous angiosarcoma	Cutaneous angiosarcoma	
129	0	1	A	2	Short-coupled polymorphic ventricular tachycardia/ventricular fibrillation (SC-PMVT/VF) variant of idiopathic ventricular fibrillation	Catecholaminergic Polymorphic Ventricular Tachycardia	Idiopathic Ventricular Fibrillation
132	1	1	D	1	Trifascicular heart block (Bifascicular block with first-degree AV block progressing to complete heart block)	Complete Atrioventricular Block	Cardiac Sarcoidosis
134	1	1	D	1	Lymphomatosis cerebri variant of diffuse large B-cell lymphoma (DLBCL)	Primary Central Nervous System Lymphoma	
137	1	1	B	1	Papillary hemangioma	Hobnail Hemangioma	Papillary Hemangioma
139	1	1	C	1	Radioiodine-refractory vesicular thyroid carcinoma (VTC) with sinonasal metastasis	Radioiodine-refractory Vesicular Thyroid Carcinoma with Sinonasal Metastasis	
140	1	1	A	1	Pheochromocytoma-induced cardiomyopathy	Pheochromocytoma-induced cardiomyopathy	Takotsubo cardiomyopathy
147	1	1	B	1	Linear or annular lupus erythematosus panniculitis of the scalp (LALPS)	Discoid Lupus Erythematosus	Linear Scleroderma
149	1	1	D	1	Giant cell tumor of soft tissue (GCT-ST)	Giant Cell Tumor of Soft Tissue	
150	1	1	B	1	Transient left abducens (cranial nerve VI) nerve palsy	Iatrogenic Abducens Nerve Palsy	Allergic Fungal Rhinosinusitis
151	1	1	D	1	Large middle cerebral artery territory embolic stroke	Cardioembolic Stroke	Atrial Fibrillation-related Stroke
156	1	1	D	1	Drug-induced blepharitis and ectropion associated with TNF-α inhibitors (infliximab and adalimumab)	TNF-α inhibitor-induced psoriasiform blepharitis	
158	1	1	A	1	Bullous pilomatricoma	Bullous Pilomatricoma	
161	1	1	C	1	Hemosiderotic fibrolipomatous tumor (HFLT)	Hemosiderotic Fibrolipomatous Tumor (HFLT)	Dermatofibrosarcoma protuberans
163	1	1	C	1	FIP1L1-PDGFRA–positive chronic eosinophilic leukemia (CEL) with associated generalized eruptive histiocytosis (GEH)	Myeloid/lymphoid neoplasm with eosinophilia and FIP1L1-PDGFRA fusion	Chronic Eosinophilic Leukemia
164	1	1	A	1	Blastic plasmacytoid dendritic cell neoplasm (BPDCN) with polyradiculopathy	Blastic Plasmacytoid Dendritic Cell Neoplasm (BPDCN) with Polyradiculopathy	
165	1	1	B	1	Nocardia brasiliensis skin infection	Nocardia infection	
167	1	1	D	1	Chikungunya virus-induced bilateral stromal keratouveitis	Chikungunya virus infection	
173	1	1	C	1	Netherton syndrome	Netherton syndrome	Psoriasis
174	1	1	A	1	Intravascular NK/T-cell lymphoma, nasal type	Intravascular NK/T-cell lymphoma, nasal type	
177	1	1	D	1	Subacute left ventricular free wall rupture (LVFWR) complicating acute myocardial infarction	Acute inferoposterolateral ST-elevation myocardial infarction	Acute Coronary Syndrome
181	1	1	C	1	Benign lymphangioendothelioma (BLAE)	Benign lymphangioendothelioma (BLAE)	Targetoid hemosiderotic hemangioma
182	1	1	C	1	Fibrofatty residua of involuted infantile hemangioma	Fibrofatty residua of involuted infantile hemangioma	
183	0	0	D	2	Glioblastoma (World Health Organization grade IV) with optic nerve invasion and intraocular extension	Optic Nerve Glioma	Central Retinal Vein Occlusion
186	1	1	D	1	Pseudoxanthoma elasticum-like disorder with coagulation deficiency	Pseudoxanthoma elasticum-like disorder with multiple coagulation factor deficiency	GGCX deficiency
187	0	0	B	2	Xanthoma disseminatum	Erdheim-Chester disease	
188	0	0	D	1	Coronary Artery Disease (CAD) with Giant R-wave Syndrome	Catecholaminergic Polymorphic Ventricular Tachycardia	
190	1	1	D	1	Pott's puffy tumor with sinocutaneous fistula secondary to chronic sinusitis	Pott's Puffy Tumor	
194	1	1	C	1	Hyperoleon within a lamellar macular hole	Lamellar macular hole with trapped silicone oil	
