case_key,family,arm,eligible,success,gold_exposed,gold_top1,gold_hard_veto,champion_id,champion_label,negative_event_n,error
DA_d2_heldout100/255,DA,atemporal_hard_veto,True,True,False,False,False,D4,Pemphigus foliaceus,6,
DA_d2_heldout100/255,DA,time_scope_soft_veto,True,True,False,False,False,D4,Pemphigus foliaceus,6,
DA_d2_heldout100/255,DA,time_scope_soft_legal_order,True,True,False,False,False,D4,Pemphigus foliaceus,6,
DA_d2_heldout100/255,DA,time_scope_soft_invalid_time,False,False,False,False,False,,,6,invalid_time_not_identified
DA_d2_heldout100/281,DA,atemporal_hard_veto,True,True,False,False,False,D6,Melanoma,6,
DA_d2_heldout100/281,DA,time_scope_soft_veto,True,True,False,False,False,D9,Metastatic Melanoma,6,
DA_d2_heldout100/281,DA,time_scope_soft_legal_order,True,True,False,False,False,D9,Metastatic Melanoma,6,
DA_d2_heldout100/281,DA,time_scope_soft_invalid_time,True,True,False,False,False,D9,Metastatic Melanoma,6,
DA_d2_heldout100/289,DA,atemporal_hard_veto,True,True,False,False,False,D2,TBK1-associated frontotemporal dementia,2,
DA_d2_heldout100/289,DA,time_scope_soft_veto,True,True,False,False,False,D2,TBK1-associated frontotemporal dementia,2,
DA_d2_heldout100/289,DA,time_scope_soft_legal_order,True,True,False,False,False,D2,TBK1-associated frontotemporal dementia,2,
DA_d2_heldout100/289,DA,time_scope_soft_invalid_time,False,False,False,False,False,,,2,invalid_time_not_identified
DA_d2_heldout100/312,DA,atemporal_hard_veto,True,True,False,False,False,D5,Niemann-Pick disease type C,4,
DA_d2_heldout100/312,DA,time_scope_soft_veto,True,True,False,False,False,D8,Fabry Disease,4,
DA_d2_heldout100/312,DA,time_scope_soft_legal_order,True,True,False,False,False,D8,Fabry Disease,4,
DA_d2_heldout100/312,DA,time_scope_soft_invalid_time,False,False,False,False,False,,,4,invalid_time_not_identified
DA_d2_heldout100/314,DA,atemporal_hard_veto,True,True,False,False,False,D2,CDSN-related peeling skin syndrome,5,
DA_d2_heldout100/314,DA,time_scope_soft_veto,True,True,False,False,False,D4,Peeling skin disease due to CDSN gene mutations,5,
DA_d2_heldout100/314,DA,time_scope_soft_legal_order,True,True,False,False,False,D4,Peeling skin disease due to CDSN gene mutations,5,
DA_d2_heldout100/314,DA,time_scope_soft_invalid_time,False,False,False,False,False,,,5,invalid_time_not_identified
DA_d2_heldout100/317,DA,atemporal_hard_veto,True,True,False,False,False,D1,Pyoderma gangrenosum,3,
DA_d2_heldout100/317,DA,time_scope_soft_veto,True,True,False,False,False,D1,Pyoderma gangrenosum,3,
DA_d2_heldout100/317,DA,time_scope_soft_legal_order,True,True,False,False,False,D1,Pyoderma gangrenosum,3,
DA_d2_heldout100/317,DA,time_scope_soft_invalid_time,False,False,False,False,False,,,3,invalid_time_not_identified
DA_d2_heldout100/329,DA,atemporal_hard_veto,True,False,False,False,False,D4,Atrial Fibrillation,2,invalid runner_up_id 'D4'
DA_d2_heldout100/329,DA,time_scope_soft_veto,True,True,False,False,False,D9,Atrial Involvement of Lymphoma,2,
DA_d2_heldout100/329,DA,time_scope_soft_legal_order,True,True,False,False,False,D9,Atrial Involvement of Lymphoma,2,
DA_d2_heldout100/329,DA,time_scope_soft_invalid_time,True,True,False,False,False,D9,Atrial Involvement of Lymphoma,2,
DA_d2_heldout100/330,DA,atemporal_hard_veto,True,True,False,False,False,D3,Cardiac conduction disease,4,
DA_d2_heldout100/330,DA,time_scope_soft_veto,True,True,False,False,False,D2,Bifascicular block,4,
DA_d2_heldout100/330,DA,time_scope_soft_legal_order,True,True,False,False,False,D6,Atrioventricular block,4,
DA_d2_heldout100/330,DA,time_scope_soft_invalid_time,False,False,False,False,False,,,4,invalid_time_not_identified
DA_d2_heldout100/334,DA,atemporal_hard_veto,True,True,True,True,False,D4,Phaeohyphomycosis,5,
DA_d2_heldout100/334,DA,time_scope_soft_veto,True,True,True,True,False,D4,Phaeohyphomycosis,5,
DA_d2_heldout100/334,DA,time_scope_soft_legal_order,True,True,True,True,False,D4,Phaeohyphomycosis,5,
DA_d2_heldout100/334,DA,time_scope_soft_invalid_time,False,False,True,False,False,,,5,invalid_time_not_identified
DA_d2_heldout100/349,DA,atemporal_hard_veto,True,True,True,False,True,D2,Basal cell carcinoma,3,
DA_d2_heldout100/349,DA,time_scope_soft_veto,True,False,True,False,False,D3,Cryptococcosis,3,invalid veto event_ids
DA_d2_heldout100/349,DA,time_scope_soft_legal_order,True,True,True,False,False,D3,Cryptococcosis,3,
DA_d2_heldout100/349,DA,time_scope_soft_invalid_time,False,False,True,False,False,,,3,invalid_time_not_identified
DA_d2_heldout100/354,DA,atemporal_hard_veto,True,True,False,False,False,D4,Varicella Zoster Virus Infection,3,
DA_d2_heldout100/354,DA,time_scope_soft_veto,True,True,False,False,False,D8,Varicella,3,
DA_d2_heldout100/354,DA,time_scope_soft_legal_order,True,True,False,False,False,D4,Varicella Zoster Virus Infection,3,
DA_d2_heldout100/354,DA,time_scope_soft_invalid_time,False,False,False,False,False,,,3,invalid_time_not_identified
DA_d2_heldout100/355,DA,atemporal_hard_veto,True,True,False,False,False,D2,Cardiac Amyloidosis,2,
DA_d2_heldout100/355,DA,time_scope_soft_veto,True,True,False,False,False,D5,Constrictive Pericarditis,2,
DA_d2_heldout100/355,DA,time_scope_soft_legal_order,True,True,False,False,False,D5,Constrictive Pericarditis,2,
DA_d2_heldout100/355,DA,time_scope_soft_invalid_time,False,False,False,False,False,,,2,invalid_time_not_identified
DA_d2_heldout100/361,DA,atemporal_hard_veto,False,False,False,False,False,,,6,construction_failed
DA_d2_heldout100/361,DA,time_scope_soft_veto,False,False,False,False,False,,,6,construction_failed
DA_d2_heldout100/361,DA,time_scope_soft_legal_order,False,False,False,False,False,,,6,construction_failed
DA_d2_heldout100/361,DA,time_scope_soft_invalid_time,False,False,False,False,False,,,6,construction_failed
DA_d2_heldout100/364,DA,atemporal_hard_veto,True,True,False,False,False,D1,Eosinophilic pustular folliculitis,6,
DA_d2_heldout100/364,DA,time_scope_soft_veto,True,True,False,False,False,D1,Eosinophilic pustular folliculitis,6,
DA_d2_heldout100/364,DA,time_scope_soft_legal_order,True,True,False,False,False,D1,Eosinophilic pustular folliculitis,6,
DA_d2_heldout100/364,DA,time_scope_soft_invalid_time,True,True,False,False,False,D1,Eosinophilic pustular folliculitis,6,
DA_d2_heldout100/367,DA,atemporal_hard_veto,True,True,False,False,False,D3,Neurofibroma,5,
DA_d2_heldout100/367,DA,time_scope_soft_veto,True,True,False,False,False,D6,Glial choristoma,5,
DA_d2_heldout100/367,DA,time_scope_soft_legal_order,True,True,False,False,False,D1,Medulloepithelioma,5,
DA_d2_heldout100/367,DA,time_scope_soft_invalid_time,False,False,False,False,False,,,5,invalid_time_not_identified
DA_d2_heldout100/368,DA,atemporal_hard_veto,True,True,False,False,False,D1,Primary cutaneous CD4+ small/medium-sized pleomorphic T-cell lymphoma,4,
DA_d2_heldout100/368,DA,time_scope_soft_veto,True,True,False,False,False,D7,Mycosis Fungoides,4,
DA_d2_heldout100/368,DA,time_scope_soft_legal_order,True,True,False,False,False,D1,Primary cutaneous CD4+ small/medium-sized pleomorphic T-cell lymphoma,4,
DA_d2_heldout100/368,DA,time_scope_soft_invalid_time,False,False,False,False,False,,,4,invalid_time_not_identified
DA_d2_heldout100/374,DA,atemporal_hard_veto,True,True,False,False,False,D1,Atrial Tachycardia,4,
DA_d2_heldout100/374,DA,time_scope_soft_veto,True,True,False,False,False,D1,Atrial Tachycardia,4,
DA_d2_heldout100/374,DA,time_scope_soft_legal_order,True,True,False,False,False,D1,Atrial Tachycardia,4,
DA_d2_heldout100/374,DA,time_scope_soft_invalid_time,True,True,False,False,False,D1,Atrial Tachycardia,4,
DA_d2_heldout100/379,DA,atemporal_hard_veto,True,True,False,False,False,D1,Malignant Melanoma of the Orbit,4,
DA_d2_heldout100/379,DA,time_scope_soft_veto,True,True,False,False,False,D2,Desmoplastic melanoma,4,
DA_d2_heldout100/379,DA,time_scope_soft_legal_order,True,True,False,False,False,D5,Perineural invasion by malignant melanoma,4,
DA_d2_heldout100/379,DA,time_scope_soft_invalid_time,True,True,False,False,False,D2,Desmoplastic melanoma,4,
DA_d2_heldout100/383,DA,atemporal_hard_veto,True,True,False,False,False,D3,Embryonal rhabdomyosarcoma,6,
DA_d2_heldout100/383,DA,time_scope_soft_veto,True,True,False,False,False,D3,Embryonal rhabdomyosarcoma,6,
