idx	case	relation	subject	predicate	quote	context	licensed
qc80	74	required_for	Nonischemic dilated cardiomyopathy	24-hour Holter monitoring	24-hour Holter monitoring	24-hour Holter monitoring	
qc82	74	required_for	arrhythmogenic right ventricular cardiomyopathy (ARVC)	electrocardiography	Both electrocardiography and imaging remain important to come to a correct diagnosis	Both electrocardiography and imaging remain important to come to a correct diagnosis	
qc57	74	required_for	Catecholaminergic Polymorphic VT (CPVT)	ILRs	ILRs	ILRs	
qc25	74	pathognomonic_for	arrhythmogenic right ventricular cardiomyopathy	ε sign	ε sign indicative of arrhythmogenic right ventricular cardiomyopathy	ε sign indicative of arrhythmogenic right ventricular cardiomyopathy	
qc32	74	required_for	Brugada syndrome	diagnostic Brugada ECG changes during a drug challenge test	diagnostic Brugada ECG changes during a drug challenge test	diagnostic Brugada ECG changes during a drug challenge test	
qc9	74	pathognomonic_for	Brugada syndrome	type 1 Brugada ECG pattern	characteristic ECG pattern (type 1 Brugada ECG pattern	characteristic ECG pattern (type 1 Brugada ECG pattern	
qc81	74	required_for	Salicylate toxicity	salicylate concentrations	salicylate concentrations surpass 100 mg/dL	salicylate concentrations surpass 100 mg/dL	
qc41	74	required_for	CPVT	structurally normal heart	in the presence of a structurally normal heart	in the presence of a structurally normal heart	
qc70	74	required_for	Hypertension	blood pressure control	to prove blood pressure control	to prove blood pressure control	
qc59	74	required_for	Catecholaminergic Polymorphic VT (CPVT)	genetic testing	genetic testing	genetic testing	
qc76	74	required_for	IHD	evaluation with serum troponins	evaluation with serum troponins	evaluation with serum troponins	
qc88	74	sufficient_for	Channelopathy	DNA for a molecular autopsy	request the medical examiner to obtain DNA for a molecular autopsy	request the medical examiner to obtain DNA for a molecular autopsy	
qc66	74	required_for	Epilepsy	seizure-free and medication-free for ten years	seizure-free and medication-free for ten years	seizure-free and medication-free for ten years	
qc72	74	required_for	Hypertrophic Cardiomyopathy	etiologic diagnosis	The etiological diagnosis of HCM in children is a fundamental step	The etiological diagnosis of HCM in children is a fundamental step	
qc21	74	pathognomonic_for	Neurogenic pulmonary edema	bilateral symmetric interstitial-to-alveolar pattern	A bilaterally symmetric interstitial-to-alveolar pattern most prominent in the caudodorsal lung fields is commonly seen	A bilaterally symmetric interstitial-to-alveolar pattern most prominent in the caudodorsal lung fields is commonly seen	
qc55	74	required_for	Cardiomyopathy	nuclear medicine imaging	Echocardiogram, cardiac MRI, cardiac CT, and nuclear medicine imaging are the primary imaging modalities used	Echocardiogram, cardiac MRI, cardiac CT, and nuclear medicine imaging are the primary imaging modalities used	
qc27	74	pathognomonic_for	digoxin toxicity	bidirectional ventricular tachycardia	bidirectional ventricular tachycardia, classically described as pathognomonic for digoxin toxicity	bidirectional ventricular tachycardia, classically described as pathognomonic for digoxin toxicity	
qc33	74	required_for	Brugada syndrome	high lead 12-lead ambulatory ECG	A high lead 12-lead ambulatory ECG may also help rule out an intermittent Type 1 Brugada pattern	A high lead 12-lead ambulatory ECG may also help rule out an intermittent Type 1 Brugada pattern	
qc0	74	pathognomonic_for	Arrhythmogenic Right Ventricular Cardiomyopathy	Epsilon wave	Epsilon wave (ARVC)	Epsilon wave (ARVC)	
qc67	74	required_for	Epilepsy	two or more unprovoked seizures	Using the definition of epilepsy as two or more unprovoked seizures	Using the definition of epilepsy as two or more unprovoked seizures	
qc22	74	pathognomonic_for	Restrictive cardiomyopathy	ventricular filling pattern	a ventricular filling pattern in which worsening myocardial stiffness raises ventricular pressure precipitously	a ventricular filling pattern in which worsening myocardial stiffness raises ventricular pressure precipitously	
qc6	74	pathognomonic_for	Brugada syndrome	Type 1 Brugada pattern	Type 1 Brugada pattern is pathognomonic for the syndrome	Type 1 Brugada pattern is pathognomonic for the syndrome	
qc61	74	required_for	Channelopathy	24 h Holter monitoring	24 h Holter monitoring	24 h Holter monitoring	
qc15	74	pathognomonic_for	Long QT Syndrome	prolonged QT interval	congenital long QT syndrome	congenital long QT syndrome	
qc79	74	required_for	Neurogenic pulmonary edema	thoracic radiographs	Diagnosis of neurogenic pulmonary edema is made from thoracic radiographs	Diagnosis of neurogenic pulmonary edema is made from thoracic radiographs	
qc50	74	required_for	Cardiomyopathy	echocardiography	Evaluation typically includes echocardiography	Evaluation typically includes echocardiography	
qc49	74	required_for	Cardiomyopathy	echocardiogram	Echocardiogram, cardiac MRI, cardiac CT, and nuclear medicine imaging are the primary imaging modalities used	Echocardiogram, cardiac MRI, cardiac CT, and nuclear medicine imaging are the primary imaging modalities used	
qc24	74	pathognomonic_for	Takotsubo cardiomyopathy	left ventricular apical wall ballooning	a rare form of acute reversible left ventricular apical wall ballooning	a rare form of acute reversible left ventricular apical wall ballooning	
