case_id	cohort	opt@1	opt@2	gold_option_rank	option_rr	gold_letter	gold_option	joint_top1
3	pilot24	1	1	1	1.0000	C	Familial cerebral cavernous malformations	Cerebral Cavernous Malformations (CCM)
4	pilot24	0	1	2	0.5000	C	Microvenular hemangioma (MVH)	Hemangioma
5	pilot24	0	0	2	0.0000	D	Left maxillary giant cell reparative granuloma (GCRG)	Central Giant Cell Granuloma
7	pilot24	1	1	1	1.0000	B	Segmental stiff skin syndrome (SSS)	Segmental Stiff Skin Syndrome
11	pilot24	0	0	3	0.0000	D	Acute dacryocystitis with secondary optic nerve injury	Orbital Abscess
12	pilot24	1	1	1	1.0000	C	Kaposiform hemangioendothelioma (KHE) of the internal auditory canal	Kaposiform Hemangioendothelioma
15	pilot24	1	1	1	1.0000	B	Primary oral histoplasmosis	Histoplasmosis
19	pilot24	1	1	1	1.0000	D	Follicular thyroid carcinoma with manubrial invasion	Follicular Thyroid Carcinoma with Bone Metastasis
21	pilot24	1	1	1	1.0000	C	Saturday night retinopathy with orbital compression syndrome	Orbital Compartment Syndrome
22	pilot24	0	0	2	0.0000	D	Antimelanoma differentiation associated gene 5 clinically amyopathic dermatomyositis	Systemic Lupus Erythematosus
27	pilot24	0	0	2	0.0000	D	Histiocytoid Sweet syndrome	Leukemic cutis
28	pilot24	1	1	1	1.0000	B	Bayés syndrome (Advanced interatrial block with paroxysmal atrial arrhythmias)	Bayes syndrome
29	pilot24	0	1	2	0.5000	A	IgG4-related rhinosinusitis with concurrent Streptococcus constellatus bacterial rhinosinusitis	IgG4-Related Ophthalmic Disease
33	pilot24	1	1	1	1.0000	B	ST-segment elevation due to myocardial metastasis from squamous cell carcinoma of the lung	Metastatic lung cancer to the heart
36	pilot24	1	1	1	1.0000	B	Primary cutaneous cryptococcosis (PCC)	Cutaneous Cryptococcosis
39	pilot24	0	0	2	0.0000	B	Metastatic Crohn disease	Sarcoidosis
40	pilot24	0	1	2	0.5000	D	Invasive squamous cell carcinoma arising in a seborrheic keratosis of the eyelid	Squamous cell carcinoma, clear cell variant
45	pilot24	1	1	1	1.0000	A	Drug-induced dermatomyositis secondary to ipilimumab therapy	Dermatomyositis
57	pilot24	1	1	1	1.0000	A	Eosinophilic annular erythema (EAE)	Eosinophilic annular erythema (EAE)
59	pilot24	0	1	2	0.5000	B	Anastrozole-associated uveitis with cystoid macular edema	Uveitis
60	pilot24	1	1	1	1.0000	D	Ostium secundum atrial septal defect (OS-ASD)	Ostium Secundum Atrial Septal Defect
62	pilot24	1	1	1	1.0000	D	Type I cryoglobulinemia associated with multiple myeloma	Multiple myeloma
63	pilot24	1	1	1	1.0000	D	Synchysis scintillans with morning glory disc anomaly and chronic retinal detachment	Synchysis scintillans with Morning Glory Disc Anomaly
67	pilot24	0	0	4	0.0000	B	Septic shock with anuric kidney failure	pneumonia leading to sepsis and encephalopathy
72	remain76	1	1	1	1.0000	A	Three-vessel obstructive coronary artery disease	Three-vessel obstructive coronary artery disease
74	remain76	0	0	2	0.0000	D	Nonkeratinizing squamous cell carcinoma of the nasal mucosa with Schneiderian features	Malignant Hidradenoma
76	remain76	1	1	1	1.0000	C	Low-grade chondrosarcoma of the mastoid with facial nerve involvement	Low-grade Chondrosarcoma of the Mastoid
81	remain76	1	1	1	1.0000	C	Disseminated Strongyloides stercoralis infection with ocular involvement (choroiditis)	Strongyloidiasis with hyperinfection syndrome
83	remain76	0	0	3	0.3333	C	Enhanced S-cone syndrome (ESCS)	Retinitis Pigmentosa
87	remain76	1	1	1	1.0000	B	Myopericarditis	Myopericarditis
89	remain76	1	1	1	1.0000	D	Accelerated atrioventricular junctional tachycardia with isorhythmic atrioventricular dissociation	Paroxysmal Supraventricular Tachycardia
90	remain76	0	1	2	0.5000	B	Caruncular melanoma	Malignant Melanoma of the Conjunctiva
95	remain76	1	1	1	1.0000	B	Progressive Ataxia and Palatal Tremor (PAPT), sporadic type	Progressive Ataxia and Palatal Tremor (PAPT), sporadic type
97	remain76	0	0	1	0.0000	A	Anti-TIF-1γ juvenile dermatomyositis (JDM)	
99	remain76	1	1	1	1.0000	C	Epidermolysis bullosa pruriginosa (EBP)	Dominant dystrophic epidermolysis bullosa
