file,dataset,slice,case_id,gold,layer,layer_aphhm,e7_correct,B06_correct,B07_correct,APHHM_correct,auto_tags,manual_tag,one_liner
da_d2_seq100_114.md,da,d2_seq100,114,Reversible cerebral vasoconstriction syndrome (RCVS),all_miss_but_recalled,,0,0,0,0,hard_miss|s3_s4_ranking,s3_s4_ranking,至少一臂召回金标但无人Acc@1→排序天花板
da_d2_heldout100_411.md,da,d2_heldout100,411,Left posterior fascicular ventricular tachycardia (FVT),all_miss_but_recalled,,0,0,0,0,hard_miss|s3_s4_ranking,s3_s4_ranking,至少一臂召回金标但无人Acc@1→排序天花板
da_d2_heldout100_352.md,da,d2_heldout100,352,Neurocysticercosis,all_miss_but_recalled,,0,0,0,0,hard_miss|s3_s4_ranking,s3_s4_ranking,至少一臂召回金标但无人Acc@1→排序天花板
da_d2_heldout200b_701.md,da,d2_heldout200b,701,Arteriocolonic fistula of Inferior Mesenteric Artery Aneurysm (IMAA),all_miss_but_recalled,,0,0,0,,hard_miss|s3_s4_ranking,s3_s4_ranking,至少一臂召回金标但无人Acc@1→排序天花板
da_d2_heldout200b_737.md,da,d2_heldout200b,737,Leiomyomatosis peritonealis disseminata (LPD) with endometriosis,all_miss_but_recalled,,0,0,0,,hard_miss|s3_s4_ranking,hard_miss|s3_s4_ranking,并集召回但终值全错
da_d2_heldout200b_627.md,da,d2_heldout200b,627,Complete pancreatic divisum with pancreatic-pleural fistula,all_miss_but_recalled,,0,0,0,,hard_miss|s3_s4_ranking,s3_s4_ranking,至少一臂召回金标但无人Acc@1→排序天花板
da_d2_seq100_4.md,da,d2_seq100,4,Microvenular hemangioma (MVH),base_win_rank,,0,0,1,1,s3_s4_ranking,s3_s4_ranking,e7 S2有金标但S3剪掉；基线排对→骨干剪枝/排序弱点
da_d2_heldout100_314.md,da,d2_heldout100,314,Peeling skin disease (PSD),base_win_rank,,0,1,1,1,s3_s4_ranking,s3_s4_ranking,e7 S2有金标但S3剪掉；基线排对→骨干剪枝/排序弱点
da_d2_heldout200b_770.md,da,d2_heldout200b,770,"Leptospirosis with severe pneumonia, acute kidney injury, and acute liver injury",base_win_rank,,0,0,1,,s3_s4_ranking,s3_s4_ranking,e7 S2有金标但S3剪掉；基线排对→骨干剪枝/排序弱点
da_d2_heldout200b_486.md,da,d2_heldout200b,486,Histoid leprosy,base_win_rank,,0,1,0,,s3_s4_ranking,s3_s4_ranking,e7召回并进短表但S4选错；基线排对
da_d2_heldout200b_579.md,da,d2_heldout200b,579,Gas-containing brain abscess,base_win_rank,,0,1,1,,s3_s4_ranking,s3_s4_ranking,e7召回并进短表但S4选错；基线排对
da_d2_seq100_206.md,da,d2_seq100,206,Acute posterior and inferior myocardial infarction (STEMI equivalent) due to saphenous vein graft occlusion,base_win_rank,,0,1,0,1,s3_s4_ranking,s3_s4_ranking,双方召回，仅基线排对
da_d2_heldout200b_631.md,da,d2_heldout200b,631,Primary Cardiac Angiosarcoma,base_win_recall,,0,1,1,,multiagent_vote,multiagent_vote,e7 S2未召回金标，基线直接命中→基线入口覆盖骨干盲区
da_d2_heldout200b_488.md,da,d2_heldout200b,488,Myelodysplastic syndrome (MDS) with refractory anaemia with excess blasts-1 presenting with leukaemic vasculitis,base_win_recall,,0,1,1,,multiagent_vote,multiagent_vote,e7 S2未召回金标，基线直接命中→基线入口覆盖骨干盲区
da_d2_seq100_150.md,da,d2_seq100,150,Transient left abducens (cranial nerve VI) nerve palsy,base_win_recall,,0,1,1,1,kb_or_rag_hit|multiagent_vote,multiagent_vote,e7 S2未召回金标，基线直接命中→基线入口覆盖骨干盲区
da_d2_heldout200b_477.md,da,d2_heldout200b,477,Multisystem Inflammatory Syndrome in Children (MIS-C) with COVID-19 associated acute ischemic stroke,base_win_recall,,0,1,1,,multiagent_vote,multiagent_vote,e7 S2未召回金标，基线直接命中→基线入口覆盖骨干盲区
da_d2_seq100_63.md,da,d2_seq100,63,Synchysis scintillans with morning glory disc anomaly and chronic retinal detachment,base_win_recall,,0,0,1,1,kb_or_rag_hit|multiagent_vote,multiagent_vote,e7 S2未召回金标，基线直接命中→基线入口覆盖骨干盲区
da_d2_heldout100_317.md,da,d2_heldout100,317,Pyoderma vegetans,base_win_recall,aphhm_lose,0,1,0,0,multiagent_vote,multiagent_vote,e7 S2未召回金标，基线直接命中→基线入口覆盖骨干盲区
da_d2_seq100_228.md,da,d2_seq100,228,Primary systemic (AL) amyloidosis,e7_win_rank,,1,0,0,1,aphhm_prune_loss|s3_s4_ranking,s3_s4_ranking,双方都召回，e7排对而基线排错→选择/裁决差异
