status	case_id	cohort	arm	n_leaves	gold_letter	gold_option_rank	option_top1	option_top2	option_rr	gold_matched	gold_relation	n_disputes	n_rag_snippets	duration_seconds
OK	4	pilot24	typed_llm	5	C	2	0	1	0.5	1	equivalent	0	0	7.986
OK	5	pilot24	typed_llm	4	D	2	0	0	0.0	0	unrelated	0	0	8.261
OK	7	pilot24	typed_llm	4	B	1	1	1	1.0	1	equivalent	0	0	8.258
OK	3	pilot24	typed_llm	5	C	1	1	1	1.0	1	subtype_of	0	0	9.272
OK	11	pilot24	typed_llm	5	D	3	0	0	0.0	0	unrelated	0	0	1.936
OK	12	pilot24	typed_llm	5	C	1	1	1	1.0	1	subtype_of	0	0	2.914
OK	4	pilot24	typed_llm_synonym_kb	5	C	2	0	1	0.5	1	equivalent	4	18	12.913
OK	15	pilot24	typed_llm	4	B	1	1	1	1.0	1	subtype_of	0	0	4.461
OK	7	pilot24	typed_llm_synonym_kb	4	B	1	1	1	1.0	1	equivalent	4	7	14.625
OK	5	pilot24	typed_llm_synonym_kb	4	D	2	0	0	0.0	0	unrelated	4	10	14.693
OK	3	pilot24	typed_llm_synonym_kb	5	C	1	1	1	1.0	1	subtype_of	4	9	16.651
OK	19	pilot24	typed_llm	5	D	1	1	1	1.0	1	equivalent	0	0	3.798
OK	21	pilot24	typed_llm	5	C	1	1	1	1.0	1	subtype_of	0	0	4.422
OK	12	pilot24	typed_llm_synonym_kb	5	C	1	1	1	1.0	1	subtype_of	4	18	11.421
OK	22	pilot24	typed_llm	4	D	2	0	0	0.0	0	unrelated	0	0	4.124
OK	11	pilot24	typed_llm_synonym_kb	5	D	3	0	0	0.0	0	unrelated	4	12	12.251
OK	27	pilot24	typed_llm	4	D	2	0	0	0.0	0	unrelated	0	0	3.327
OK	15	pilot24	typed_llm_synonym_kb	4	B	1	1	1	1.0	1	subtype_of	4	13	11.488
OK	28	pilot24	typed_llm	5	B	1	1	1	1.0	1	equivalent	0	0	3.934
OK	22	pilot24	typed_llm_synonym_kb	4	D	2	0	0	0.0	0	unrelated	4	15	8.494
OK	19	pilot24	typed_llm_synonym_kb	5	D	1	1	1	1.0	1	equivalent	4	12	10.862
OK	21	pilot24	typed_llm_synonym_kb	5	C	2	0	0	0.0	0	unknown	4	16	11.708
OK	29	pilot24	typed_llm	5	A	2	0	1	0.5	1	subtype_of	0	0	4.3
OK	33	pilot24	typed_llm	5	B	2	0	1	0.5	1	subtype_of	0	0	4.417
OK	36	pilot24	typed_llm	5	B	1	1	1	1.0	1	subtype_of	0	0	5.984
OK	39	pilot24	typed_llm	4	B	2	0	0	0.0	0	unrelated	0	0	5.632
OK	27	pilot24	typed_llm_synonym_kb	4	D	2	0	0	0.0	0	unrelated	4	15	12.947
OK	29	pilot24	typed_llm_synonym_kb	5	A	2	0	1	0.5	1	subtype_of	4	17	11.65
OK	28	pilot24	typed_llm_synonym_kb	5	B	1	1	1	1.0	1	equivalent	4	13	13.572
OK	40	pilot24	typed_llm	5	D	2	0	1	0.5	1	equivalent	0	0	2.32
OK	39	pilot24	typed_llm_synonym_kb	4	B	2	0	0	0.0	0	unrelated	4	8	7.886
OK	45	pilot24	typed_llm	5	A	1	1	1	1.0	1	subtype_of	0	0	3.969
OK	33	pilot24	typed_llm_synonym_kb	5	B	1	1	1	1.0	1	subtype_of	4	17	13.495
OK	57	pilot24	typed_llm	5	A	1	1	1	1.0	1	equivalent	0	0	5.235
OK	40	pilot24	typed_llm_synonym_kb	5	D	2	0	1	0.5	1	equivalent	4	9	7.013
OK	36	pilot24	typed_llm_synonym_kb	5	B	1	1	1	1.0	1	subtype_of	4	12	13.262
OK	59	pilot24	typed_llm	4	B	2	0	1	0.5	1	equivalent	0	0	4.497
OK	60	pilot24	typed_llm	4	D	1	1	1	1.0	1	equivalent	0	0	4.116
OK	45	pilot24	typed_llm_synonym_kb	5	A	1	1	1	1.0	1	subtype_of	4	9	9.155
OK	62	pilot24	typed_llm	5	D	1	1	1	1.0	1	subtype_of	0	0	4.491
OK	63	pilot24	typed_llm	5	D	1	1	1	1.0	1	equivalent	0	0	4.381
OK	67	pilot24	typed_llm	5	B	4	0	0	0.0	0	unrelated	0	0	4.564
OK	59	pilot24	typed_llm_synonym_kb	4	B	2	0	1	0.5	1	equivalent	4	20	10.676
OK	57	pilot24	typed_llm_synonym_kb	5	A	1	1	1	1.0	1	equivalent	4	6	13.629
OK	60	pilot24	typed_llm_synonym_kb	4	D	1	1	1	1.0	1	equivalent	4	5	9.447
OK	62	pilot24	typed_llm_synonym_kb	5	D	1	1	1	1.0	1	subtype_of	4	10	9.521
OK	63	pilot24	typed_llm_synonym_kb	5	D	1	1	1	1.0	1	equivalent	4	13	7.43
OK	67	pilot24	typed_llm_synonym_kb	5	B	4	0	0	0.0	0	unrelated	4	20	7.301
