case_key,family,arm,success,gold_exposure_hit,gold_top1,champion_label,runner_up_label,margin,requested_object,candidate_n,relation_n,relation_typing_success,cache_hit,error
DA_d2_heldout100/254,DA,exact_control,True,False,False,Paraspinal abscess,Abscess,high,disease,6,0,True,False,
DA_d2_heldout100/254,DA,generic_non_equivalence,True,False,False,Paraspinal abscess,Abscess,high,disease,6,1,True,False,
DA_d2_heldout100/254,DA,directional_relation,True,False,False,Paraspinal abscess,Abscess,high,disease,6,1,True,False,
DA_d2_heldout100/254,DA,bounded_inheritance,True,False,False,Paraspinal abscess,Abscess,high,disease,6,1,True,False,
DA_d2_heldout100/255,DA,exact_control,True,False,False,Pemphigus,Lupus erythematosus,high,disease,4,0,True,False,
DA_d2_heldout100/255,DA,generic_non_equivalence,True,False,False,Pemphigus,Subacute cutaneous lupus erythematosus,high,disease,4,2,True,False,
DA_d2_heldout100/255,DA,directional_relation,True,False,False,Pemphigus,Lupus erythematosus,high,disease,4,1,True,False,
DA_d2_heldout100/255,DA,bounded_inheritance,True,False,False,Pemphigus,Subacute cutaneous lupus erythematosus,high,disease,4,1,True,False,
DA_d2_heldout100/257,DA,exact_control,True,False,False,HTRA1-related hereditary cerebral small vessel disease,Cerebral Amyloid Angiopathy,high,disease,5,0,True,False,
DA_d2_heldout100/257,DA,generic_non_equivalence,True,False,False,HTRA1-related hereditary cerebral small vessel disease,Cerebral Amyloid Angiopathy,high,disease,5,1,True,False,
DA_d2_heldout100/257,DA,directional_relation,True,False,False,HTRA1-related hereditary cerebral small vessel disease,Cerebral Amyloid Angiopathy,high,disease,5,1,True,False,
DA_d2_heldout100/257,DA,bounded_inheritance,True,False,False,HTRA1-related hereditary cerebral small vessel disease,,high,disease,5,1,True,False,
DA_d2_heldout100/261,DA,exact_control,True,True,True,Cutaneous Malakoplakia,Malakoplakia,high,disease,3,0,True,False,
DA_d2_heldout100/261,DA,generic_non_equivalence,True,True,True,Cutaneous Malakoplakia,Malakoplakia,medium,disease,3,2,True,False,
DA_d2_heldout100/261,DA,directional_relation,True,True,True,Cutaneous Malakoplakia,Malakoplakia,high,disease,3,2,True,False,
DA_d2_heldout100/261,DA,bounded_inheritance,True,True,True,Cutaneous Malakoplakia,Malakoplakia,high,disease,3,2,True,False,
DA_d2_heldout100/268,DA,exact_control,True,False,False,Thalamic hemorrhage,Intracerebral Hemorrhage,high,disease,5,0,True,False,
DA_d2_heldout100/268,DA,generic_non_equivalence,True,False,False,Thalamic hemorrhage,Intracerebral Hemorrhage,high,disease,5,2,True,False,
DA_d2_heldout100/268,DA,directional_relation,True,False,False,Thalamic hemorrhage,Intracerebral Hemorrhage,medium,disease,5,2,True,False,
DA_d2_heldout100/268,DA,bounded_inheritance,True,False,False,Thalamic hemorrhage,Intracerebral Hemorrhage,high,disease,5,2,True,False,
DA_d2_heldout100/269,DA,exact_control,True,False,False,Revertant Mosaicism in Dystrophic Epidermolysis Bullosa,Revertant Mosaicism in Epidermolysis Bullosa,high,disease,3,0,True,False,
DA_d2_heldout100/269,DA,generic_non_equivalence,True,False,False,Revertant Mosaicism in Dystrophic Epidermolysis Bullosa,Dystrophic Epidermolysis Bullosa,high,disease,3,2,True,False,
DA_d2_heldout100/269,DA,directional_relation,True,False,False,Revertant Mosaicism in Dystrophic Epidermolysis Bullosa,Dystrophic Epidermolysis Bullosa,high,disease,3,2,True,False,
DA_d2_heldout100/269,DA,bounded_inheritance,True,False,False,Revertant Mosaicism in Dystrophic Epidermolysis Bullosa,Dystrophic Epidermolysis Bullosa,high,disease,3,2,True,False,
DA_d2_heldout100/270,DA,exact_control,True,False,False,Tachyarrhythmia,Infective endocarditis,high,disease,6,0,True,False,
DA_d2_heldout100/270,DA,generic_non_equivalence,True,False,False,Tachyarrhythmia,Arrhythmia,high,disease,6,1,True,False,
DA_d2_heldout100/270,DA,directional_relation,True,False,False,Tachyarrhythmia,Arrhythmia,high,disease,6,1,True,False,
DA_d2_heldout100/270,DA,bounded_inheritance,True,False,False,Tachyarrhythmia,Arrhythmia,high,disease,6,1,True,False,
