case_id	opt@1	opt@2	gold_letter	gold_option_rank	gold_option	joint_top1	joint_top2
1	0	0	A	3	schwannoma	infected hematometra	leiomyoma
100	0	1	A	2	intraosseous metaplastic meningioma	Osseous Hemangioma	intraosseous metaplastic meningioma
104	1	1	A	1	Langerhans cell histiocytosis	Langerhans cell histiocytosis	Mastoiditis
105	1	1	A	1	heat stroke	Heat Stroke	Severe Hypoxic-Ischemic Encephalopathy
106	0	0	A	3	neuroendocrine tumor	Pituitary Macroadenoma	Pituitary apoplexy
107	0	0	A	1	adrenal hyperplasia	Seminoma	Leydig cell tumor
109	1	1	A	1	Aspergillosis	Progressive multifocal leukoencephalopathy	Subacute Meningoencephalitis
11	1	1	A	1	Multisystem inflammatory syndrome in children	Multisystem Inflammatory Syndrome in Children	Kawasaki Disease
111	1	1	A	1	Giant cell tumor of bone	Giant Cell Tumor of Bone	Tuberculous Spondylitis
112	1	1	A	1	Bath salt intoxication	Sympathomimetic Toxicity	Malignant Hyperthermia
113	0	0	A	3	jejunal adenocarcinoma	Primary umbilical adenocarcinoma	Sister Mary Joseph nodule from gastric adenocarcinoma
114	0	0	A	2	Ependymoma	Desmoid tumor	Epidermoid cyst
116	1	1	A	1	systemic sclerosis sine scleroderma	Systemic Sclerosis	Scleroderma
117	1	1	A	1	Antiphospholipid syndrome	Antiphospholipid syndrome	Vasculitis
119	0	0	A	3	cystadenofibroma	Serous cystadenoma	Mucinous cystadenoma
12	1	1	A	1	Tumor-induced osteomalacia	Tumor-induced osteomalacia	Tumor-induced osteomalacia
121	0	0	A	3	Angioleiomyoma	Lipoma	Ectopic lymph node
122	1	1	A	1	Malignant peripheral nerve sheath tumour	Malignant Peripheral Nerve Sheath Tumor	
123	0	1	A	2	chronic osteomyelitis	Ewing’s sarcoma	Chronic osteomyelitis
124	0	0	A	2	echovirus 11 infection	Polymyositis	Neuromyelitis optica
125	1	1	A	1	Cohen syndrome	Cohen syndrome	
126	1	1	A	1	Extranodal natural killer/T-cell lymphoma nasal type	Extranodal natural killer/T-cell lymphoma nasal type	Vasculitis
128	0	0	A	3	Endosalpingiosis	Urothelial Carcinoma	endometriosis
13	1	1	A	1	Compound odontoma	Compound Odontoma	
15	0	1	A	2	leiomyomatous hamartoma	Lipoma	Leiomyomatous Hamartoma
16	1	1	A	1	LocalizedUrethralAmyloidosis	Localized Urethral Amyloidosis	
17	1	1	A	1	immune-related pneumonitis	ipilimumab-induced pneumonitis	Immune Checkpoint Inhibitor-induced Interstitial Lung Disease
18	0	0	A	2	Schwannoma	Myocardial Infarction	Cardiac Myxoma
19	1	1	A	1	Leiomyosarcoma	Leiomyosarcoma	
2	0	0	A	3	5-oxoprolinemia	Ethylene Glycol Poisoning	Ethylene Glycol Poisoning
20	0	0	A	1	Type 4 renal tubular acidosis	Systemic Lupus Erythematosus	
21	0	1	A	2	Fibrous dysplasia	Meningioma	Meningioma
22	1	1	A	1	adenomatoid tumor	Adenomatoid tumor	Epididymal Leiomyosarcoma
23	0	0	A	2	AdenoidCysticCarcinoma	Chondroid Syringoma	
24	1	1	A	1	Superior mesenteric artery syndrome	Superior Mesenteric Artery Syndrome	
26	0	0	A	2	Self-limited epilepsy with autonomic seizures	Migraine with aura	
27	1	1	A	1	Massive ovarian edema	Ovarian leiomyoma with edema	Ovarian Fibroma
28	1	1	A	1	Toxic epidermal necrolysis	Toxic epidermal necrolysis	Stevens-Johnson syndrome
29	1	1	A	1	cerebral venous thrombosis	Creutzfeldt-Jakob disease	Limbic encephalitis
3	0	1	A	2	Eosinophilic granulomatosis with polyangiitis	Peroneal nerve palsy	Peroneal Neuropathy
30	0	0	A	1	Cronkhite-Canada syndrome		
33	1	1	A	1	Dyke-Davidoff-Masson syndrome	Dyke-Davidoff-Masson syndrome	
34	1	1	A	1	Tonsillolith	Tonsillolith	
35	1	1	A	1	Petersen’s hernia	Internal Hernia	
38	1	1	A	1	trigeminal schwannoma	Trigeminal Schwannoma	Meningioma
39	1	1	A	1	mesalazine-induced myocarditis	myocarditis	
4	1	1	A	1	IgG4-related hypophysitis	IgG4-related Hypophysitis	
40	1	1	A	1	hepatocellular carcinoma	extrahepatic HCC metastasis	
41	0	0	A	1	Gastric lipoma		
42	0	0	A	3	Keratocystic odontogenic tumour	Staphylococcal buccal space abscess	Staphylococcal Botryomycosis
43	0	0	A	2	IgA nephropathy	tuberculosis	Sarcoidosis
44	0	0	A	2	Pyoderma gangrenosum	Prosthetic device infection	Necrotizing fasciitis
45	1	1	A	1	granuloma annulare	Granuloma Annulare	Sarcoidosis
46	1	1	A	1	Sarcoidosis	Sarcoidosis	
47	1	1	A	1	Metastatic melanoma of unknown primary	Metastatic melanoma of unknown primary	
48	0	0	A	2	xanthogranulomatous osteomyelitis	Brodie's abscess	Osteosarcoma
49	1	1	A	1	StumpAppendicitis	Stump Appendicitis	
5	0	0	A	2	cryptococcoma	Primary central nervous system lymphoma	Glioblastoma
50	1	1	A	1	Gastrointestinal clear cell sarcoma	Schwannoma of the Small Intestine	Carcinoid Tumor
52	1	1	A	1	Livedoid vasculopathy	Livedoid vasculopathy	
53	0	0	A	2	hemangioma	Myxoma	
54	1	1	A	1	Trigeminal neuralgia	Classical Trigeminal Neuralgia	
55	0	0	A	2	Post-transplant lymphoproliferative disorder	Urinary tract infection with Escherichia coli	Urothelial carcinoma
56	1	1	A	1	Spindle cell squamous cell carcinoma	Spindle cell squamous cell carcinoma	
58	0	0	A	2	Mixed sex cord-stromal tumor	Seminoma	
6	1	1	A	1	Exophiala xenobiotica keratitis	Exophiala xenobiotica keratitis	
60	1	1	A	1	Polymyalgia rheumatica	Polymyalgia Rheumatica	Psoas Abscess
61	0	0	A	3	Choriocarcinoma	Hepatic adenoma with hemorrhage	Atypical hepatocellular carcinoma
62	1	1	A	1	Lipoblastoma	Lipoblastoma	
63	1	1	A	1	Fibroepithelial polyp	Ureteral Fibroepithelial Polyp	
64	1	1	A	1	small cell lung carcinoma	Small Cell Lung Carcinoma	Primary Colorectal Adenocarcinoma
65	0	0	A	2	myelolipoma	Myelodysplastic Syndrome	Extramedullary Myeloid Sarcoma
66	0	0	A	2	CIC-rearranged sarcoma	Desmoplastic small round cell tumor	
67	1	1	A	1	congenital unilateral hypoplasia of depressor anguli oris	Congenital Unilateral Hypoplasia of Depressor Anguli Oris	
68	1	1	A	1	macrodystrophia lipomatosa	macrodystrophia lipomatosa	
69	1	1	A	1	Gastric lipoma	Gastric lipoma	
7	0	0	A	3	Wunderlich syndrome	Posterior Urethral Valves	Urinoma
72	0	0	A	4	abdominal tuberculosis	ovarian cancer	Peritoneal Carcinomatosis
73	1	1	A	1	metastatic prostate carcinoma	metastatic prostate cancer to cerebellum	
74	1	1	A	1	Catecholaminergic polymorphic ventricular tachycardia	Catecholaminergic polymorphic ventricular tachycardia	Risperidone-induced QT prolongation
75	1	1	A	1	BasosquamousCarcinoma	basosquamous carcinoma	Squamous Cell Carcinoma with Basaloid Features
76	1	1	A	1	drug-induced liver injury	Alfuzosin-induced liver injury	Autoimmune hepatitis
77	1	1	A	1	Accessory extraocular muscle	Accessory extraocular muscle	
78	1	1	A	1	schwannoma	Sciatic Schwannoma	
8	1	1	A	1	Liver metastasis from colon cancer	Liver Metastasis from Colon Cancer	
80	1	1	A	1	Leiomyosarcoma	Leiomyosarcoma	Recurrent Breast Carcinoma
81	0	0	A	3	Macrophage myofasciitis	Juvenile Dermatomyositis	Juvenile Dermatomyositis
82	1	1	A	1	Euglycemic diabetic ketoacidosis	Euglycemic Diabetic Ketoacidosis	
84	1	1	A	1	Lymphoepithelioma-like carcinoma of the breast	Lymphoepithelioma-like carcinoma of the breast	Medullary carcinoma
85	0	0	A	3	Small intestinal perforation	Acute Appendicitis	Plastron Appendicitis
86	0	1	A	2	Restless arms syndrome	Akathisia	Restless Legs Syndrome
87	1	1	A	1	undifferentiated embryonal sarcoma of the liver	undifferentiated embryonal sarcoma of the liver	
90	1	1	A	1	squamous cell carcinoma	Metastatic laryngeal squamous cell carcinoma	
91	1	1	A	1	Angiosarcoma	Angiosarcoma	Hemangiopericytoma
93	1	1	A	1	Serum sickness	Serum Sickness	Prosthetic Valve Thrombosis
94	0	0	A	2	Schwannoma	Branchial cleft cyst	
95	1	1	A	1	Tuberculosis	Disseminated Tuberculosis	Tuberculosis Meningitis
96	0	0	A	2	ParostealOsteosarcoma	Osteoma	
97	1	1	A	1	giant juvenile fibroadenoma	giant juvenile fibroadenoma	
99	1	1	A	1	Histoplasmosis	Sarcoidosis	Ecthyma gangrenosum
