dataset,slice,case_id,gold,layer,layer_aphhm,e7_locus,e7_correct,e7_s2_recall,e7_s3_recall,e7_s4_hit,e7_s2_n,e7_s3_n,e7_champion,v0_locus,v0_correct,v0_s2_recall,v0_s3_recall,v0_s4_hit,v0_s2_n,v0_s3_n,v0_champion,B06_correct,B06_locus,B06_agents_hit,B06_supervisor_hit,B06_gold_first_discussion_turn,B06_discussion_turns,B06_votes,B07_correct,B07_locus,B07_draft_hit,B07_refine_hit,B07_diagnose_hit,B07_has_refine,B07_recovered_after_refine_drop,B07_draft,B07_diagnose,B01_correct,B01_locus,B01_rag_hit,B01_gen_hit,B01_n_queries,B01_n_chunks,APHHM_locus,APHHM_correct,APHHM_tree_recall,APHHM_final_recall,APHHM_tree_n,APHHM_final_n,APHHM_gold_leaf,APHHM_gold_parent,APHHM_human_at1
da,d2_seq100,3,Familial cerebral cavernous malformations,,,ok,1,True,True,True,43,5,Familial cerebral cavernous malformations,ok,1,True,True,True,14,5,Cerebral cavernous malformation,1,supervisor_ok,True,True,0,3,3,1,diagnose_miss_but_scored_ok,False,False,False,True,False,"[""Cerebral Cavernous Malformations (CCM), likely CCM1"", ""Hereditary Hemorrhagic Telangiectasia (HHT)""]","[""Cerebral Cavernous Malformations (CCM), likely CCM1"", ""Hereditary Hemorrhagic Telangiectasia (HHT)""]",1,gen_ok,True,True,4,12,final_ok,1,True,True,18,1,Cerebral Cavernous Malformations,Hereditary Vascular Malformation Syndrome,True
da,d2_seq100,4,Microvenular hemangioma (MVH),base_win_rank,,s2_hit_s3_drop,0,True,False,False,40,5,Retiform hemangioendothelioma,s3_hit_s4_miss,0,True,True,False,16,5,Kaposiform hemangioendothelioma,0,agents_hit_supervisor_drop,True,False,0,3,3,1,diagnose_ok,True,False,True,True,True,"[""Kaposi's Sarcoma"", ""Hemangioma""]","[""Kaposi's Sarcoma"", ""Hemangioma""]",0,rag_miss,False,False,4,12,final_ok,1,True,True,27,2,hemangioma,Vascular Tumors,True
da,d2_seq100,5,Left maxillary giant cell reparative granuloma (GCRG),,aphhm_lose,s2_hit_s3_drop,1,True,False,False,48,5,Giant cell tumor,s2_miss,1,False,False,False,19,5,Giant cell tumor,1,supervisor_miss_but_scored_ok,False,False,,3,3,1,diagnose_miss_but_scored_ok,False,False,False,True,False,"[""Giant Cell Tumor"", ""Fibrous Dysplasia""]","[""Giant Cell Tumor"", ""Fibrous Dysplasia""]",0,rag_miss,False,False,4,12,tree_miss,0,False,False,27,3,,,False
da,d2_seq100,7,Segmental stiff skin syndrome (SSS),,,s3_hit_s4_miss,1,True,True,False,48,5,Linear Scleroderma,s3_hit_s4_miss,1,True,True,False,18,5,Linear Scleroderma,1,supervisor_miss_but_scored_ok,False,False,,3,3,1,diagnose_miss_but_scored_ok,False,False,False,True,False,"[""Localized Scleroderma"", ""Scleroderma""]","[""Localized Scleroderma"", ""Scleroderma""]",1,rag_miss,False,False,4,12,tree_miss,1,False,False,21,5,,,False
da,d2_seq100,11,Acute dacryocystitis with secondary optic nerve injury,all_miss_but_recalled,,s2_hit_s3_drop,0,True,False,False,47,5,Lacrimal sac abscess,s2_hit_s3_drop,0,True,False,False,19,5,Lacrimal sac abscess,0,agents_miss,False,False,,3,3,0,draft_miss,False,False,False,True,False,"[""Lacrimal sac abscess"", ""Orbital cellulitis""]","[""Lacrimal sac abscess"", ""Orbital cellulitis""]",1,rag_hit_gen_miss,True,False,4,12,tree_hit_final_drop,0,True,False,23,1,Dacryocystitis,Infectious Orbital Disease,False
da,d2_seq100,12,Kaposiform hemangioendothelioma (KHE) of the internal auditory canal,,aphhm_lose,s2_hit_s3_drop,1,True,False,False,54,5,Facial nerve hemangioma,s2_miss,0,False,False,False,20,5,Congenital hemangioma,1,supervisor_miss_but_scored_ok,False,False,,3,3,1,diagnose_miss_but_scored_ok,False,False,False,True,False,"[""Lymphangioma"", ""Hemangioma""]","[""Lymphangioma"", ""Hemangioma""]",1,rag_miss,False,False,4,12,tree_miss,0,False,False,16,1,,,False
da,d2_seq100,15,Primary oral histoplasmosis,,,ok,1,True,True,True,47,5,Oral histoplasmosis,s2_miss,1,False,False,False,18,5,Chronic histoplasmosis,1,supervisor_ok,True,True,0,3,3,1,diagnose_ok,True,False,True,True,True,"[""Histoplasmosis"", ""Other fungal infections""]","[""Histoplasmosis"", ""Other fungal infections""]",0,gen_hit_judge_miss,False,True,4,12,final_ok,1,True,True,35,3,Oral Histoplasmosis,Neoplastic Disorder,True
da,d2_seq100,19,Follicular thyroid carcinoma with manubrial invasion,,,s3_hit_s4_miss,1,True,True,False,47,5,Follicular thyroid carcinoma with distant metastasis,ok,1,True,True,True,20,5,Follicular thyroid carcinoma,1,supervisor_miss_but_scored_ok,True,False,0,3,3,1,diagnose_miss_but_scored_ok,False,False,False,True,False,"[""Metastatic Follicular Thyroid Carcinoma"", ""Metastasizing Thyroid Carcinoma Arising from Benign Goiter""]","[""Metastatic Follicular Thyroid Carcinoma"", ""Metastasizing Thyroid Carcinoma Arising from Benign Goiter""]",1,gen_ok,True,True,4,12,final_ok,1,True,True,38,2,Follicular Thyroid Carcinoma,Inflammatory or Infectious Process of the Thyroid or Soft Tissues,True
da,d2_seq100,21,Saturday night retinopathy with orbital compression syndrome,,,s2_miss,1,False,False,False,48,5,Purtscher-like Retinopathy,s2_miss,1,False,False,False,19,5,Purtscher Retinopathy,1,supervisor_miss_but_scored_ok,False,False,,3,3,1,diagnose_miss_but_scored_ok,False,False,False,True,False,"[""Serous Retinal Detachment"", ""Toxic or Vasculitic Retinopathy""]","[""Serous Retinal Detachment"", ""Toxic or Vasculitic Retinopathy""]",0,rag_miss,False,False,4,12,tree_miss,1,False,False,32,3,,,False
da,d2_seq100,22,Antimelanoma differentiation associated gene 5 clinically amyopathic dermatomyositis,all_miss_but_recalled,,s3_hit_s4_miss,0,True,True,False,50,5,Systemic Lupus Erythematosus,s3_hit_s4_miss,0,True,True,False,19,5,Mixed Connective Tissue Disease,0,agents_miss,False,False,,3,3,0,draft_miss,False,False,False,True,False,"[""Systemic Lupus Erythematosus"", ""Sarcoidosis""]","[""Systemic Lupus Erythematosus"", ""Sarcoidosis""]",0,rag_miss,False,False,4,12,tree_miss,0,False,False,23,1,,,False
da,d2_seq100,27,Histiocytoid Sweet syndrome,,aphhm_lose,ok,1,True,True,True,53,5,Sweet syndrome,ok,1,True,True,True,20,5,Sweet syndrome,1,supervisor_ok,True,True,0,3,3,1,diagnose_ok,True,False,True,True,True,"[""Sweet syndrome"", ""Neutrophilic dermatosis""]","[""Sweet syndrome"", ""Neutrophilic dermatosis""]",1,gen_ok,False,True,4,12,final_hit_judge_miss,0,True,True,24,4,Sweet syndrome,Infectious/Inflammatory Condition,False
da,d2_seq100,28,Bayés syndrome (Advanced interatrial block with paroxysmal atrial arrhythmias),,,s2_miss,0,False,False,False,48,5,Heart failure with preserved ejection fraction,s2_miss,0,False,False,False,16,5,Heart failure with preserved ejection fraction,0,agents_miss,False,False,,3,3,0,draft_miss,False,False,False,True,False,"[""Atrial Flutter"", ""Hypertensive Heart Disease""]","[""Atrial Flutter"", ""Hypertensive Heart Disease""]",0,rag_miss,False,False,4,12,tree_miss,0,False,False,84,2,,,False
da,d2_seq100,29,IgG4-related rhinosinusitis with concurrent Streptococcus constellatus bacterial rhinosinusitis,,,s2_miss,1,False,False,False,46,5,IgG4-related disease,s2_miss,0,False,False,False,17,5,Orbital Apex Syndrome,1,supervisor_miss_but_scored_ok,True,False,0,3,3,1,diagnose_miss_but_scored_ok,False,False,False,True,False,"[""Invasive Fungal Sinusitis"", ""IgG4-Related Disease""]","[""Invasive Fungal Sinusitis"", ""IgG4-Related Disease""]",1,rag_miss,False,False,4,12,tree_miss,1,False,False,31,1,,,False
da,d2_seq100,33,ST-segment elevation due to myocardial metastasis from squamous cell carcinoma of the lung,,,s2_hit_s3_drop,1,True,False,False,49,5,Cardiac metastasis from lung cancer,s2_miss,0,False,False,False,18,5,Malignant pericardial effusion,1,supervisor_miss_but_scored_ok,False,False,,3,3,1,diagnose_miss_but_scored_ok,False,False,False,True,False,"[""Cardiac Tamponade"", ""Malignant Cardiac Mass (Metastatic Lung Cancer)""]","[""Cardiac Tamponade"", ""Malignant Cardiac Mass (Metastatic Lung Cancer)""]",1,rag_miss,False,False,4,12,tree_miss,1,False,False,27,3,,,False
da,d2_seq100,36,Primary cutaneous cryptococcosis (PCC),,,ok,1,True,True,True,44,5,Cryptococcosis,ok,1,True,True,True,17,5,Cryptococcosis,1,supervisor_ok,True,True,0,3,3,1,diagnose_ok,True,False,True,True,True,"[""Cutaneous Cryptococcosis"", ""Cutaneous Fungal Infection""]","[""Cutaneous Cryptococcosis"", ""Cutaneous Fungal Infection""]",1,gen_ok,True,True,4,12,final_ok,1,True,True,27,1,Cryptococcosis,Fungal Infection,True
