key,rule_fail_code,adj_fail_code,rule_cluster,adj_cluster,semantic_e7_correct,layer_chain,rationale
mcr_mcr_200b_345,near_synonym_prefer,rationale_overfit,near,sibling_family,0,base_win_rank,Gold HHRH was shortlisted but rejected on contested urine-calcium grounds for a related hypophosphatemic-rickets label.
mcr_mcr_v1_107,s2_gold_low_rank,s3_drop_other,other,unrelated,0,base_win_rank,"Leydig cell tumor is unrelated to adrenal hyperplasia, and gold never entered the S3 shortlist."
mcr_mcr_v1_126,s2_gold_low_rank,s3_drop_other,near,sibling_family,0,base_win_rank,Chose a different T-cell lymphoma subtype while extranodal NK/T nasal-type gold was absent from S3.
da_d2_seq100_177,parent_vs_subtype,parent_vs_subtype,near,parent_subtype,0,base_win_rank,STEMI is the parent event but misses the gold diagnosis of subacute LV free-wall rupture.
da_d2_heldout200b_629,option_echo_da,rationale_overfit,other,sibling_family,0,base_win_rank,TTP and aHUS are sibling TMAs; S4 overfit to TTP and wrongly dismissed HUS.
da_d2_heldout200b_549,parent_vs_subtype,s4_hit_judge_miss,near,parent_subtype,1,base_win_rank,"Lupus nephritis clinically covers the SLE renal disease despite IgA/RPGN qualifiers, but the scorer marked a miss."
da_d2_seq100_40,near_synonym_prefer,parent_vs_subtype,near,parent_subtype,0,base_win_rank,Verrucous carcinoma is an SCC subtype and is not the gold invasive SCC arising in seborrheic keratosis.
mcr_mcr_v2_174,rationale_overfit,rationale_overfit,other,sibling_family,0,base_win_rank,Autoimmune gastritis was shortlisted then rejected on antibody/B12 grounds for Sjögren gastric involvement.
da_d2_seq100_237,s2_near_crowd_out,ok,near,same_entity,1,base_win_rank,Localized hyperhidrosis is the same entity as site-specified intergluteal/sacral hyperhidrosis.
mcr_mcr_v1_116,parent_vs_subtype,s3_drop_other,near,sibling_family,0,base_win_rank,"Limited SSc is a sibling subtype of SSc sine scleroderma, which was never shortlisted."
mcr_mcr_v2_139,parent_vs_subtype,parent_vs_subtype,near,sibling_family,0,base_win_rank,IgG4 pancreatitis equates to type 1 AIP and is the wrong sibling for gold type 2 AIP.
da_d2_seq100_186,near_synonym_prefer,ok,near,same_entity,1,base_win_rank,Champion is a near-synonym of the gold PXE-like coagulation-deficiency disorder.
mcr_mcr_v1_69,rationale_overfit,rationale_overfit,other,unrelated,0,base_win_rank,Lipoma was shortlisted with fat attenuation but S4 rejected it for unrelated GIST.
mcr_mcr_v2_227,rationale_overfit,rationale_overfit,other,unrelated,0,base_win_rank,Pulmonary embolism was shortlisted yet rejected in favor of MINOCA on weak grounds.
mcr_mcr_v1_62,s2_gold_low_rank,s3_drop_other,other,sibling_family,0,base_win_rank,Fibrolipomatous hamartoma is a sibling fatty tumor; lipoblastoma gold never entered S3.
mcr_mcr_200b_388,parent_vs_subtype,rationale_overfit,other,unrelated,0,base_win_rank,Clear cell meningioma was shortlisted but discarded for myxopapillary ependymoma.
mcr_mcr_v1_41,rationale_overfit,rationale_overfit,other,unrelated,0,base_win_rank,Lipoma was shortlisted despite fat-attenuation CT yet rejected for GIST.
