case_key,slice_id,family,source_id,architecture,condition,success,gold_natural_in_body,l1_gold_recall,raw_gold_recall,unique_entity_gold_recall,strict_top1,raw_proposal_n,unique_entity_n,candidate_option_copy_n,candidate_option_copy_rate,champion_option_copy,champion_label,cache_hit,error
DA_d2_heldout100/261,DA_d2_heldout100,DA,261,ab02_flat,clean_fixed,True,False,False,False,False,False,3,3,1,0.333333,True,Malakoplakia,False,
DA_d2_heldout100/261,DA_d2_heldout100,DA,261,ab02_flat,clean_shuffled_blocks,True,False,False,False,False,False,4,4,1,0.25,False,Malakoplakia of the inguinal region,False,
DA_d2_heldout100/261,DA_d2_heldout100,DA,261,ab02_flat,options_fixed,True,False,False,True,True,True,4,4,4,1.0,True,Cutaneous malakoplakia,False,
DA_d2_heldout100/261,DA_d2_heldout100,DA,261,ab02_flat,options_shuffled_blocks,True,False,False,True,True,True,4,4,4,1.0,True,Cutaneous malakoplakia,False,
DA_d2_heldout100/262,DA_d2_heldout100,DA,262,ab02_flat,clean_fixed,True,False,False,False,False,False,6,6,0,0.0,False,Sweet syndrome (acute febrile neutrophilic dermatosis) associated with inflammatory bowel disease,False,
DA_d2_heldout100/262,DA_d2_heldout100,DA,262,ab02_flat,clean_shuffled_blocks,True,False,False,False,False,False,6,6,0,0.0,False,Sweet syndrome (acute febrile neutrophilic dermatosis) with associated inflammatory bowel disease,False,
DA_d2_heldout100/262,DA_d2_heldout100,DA,262,ab02_flat,options_fixed,True,False,False,True,True,True,4,4,4,1.0,True,IBD-associated neutrophilic dermatosis with ulcerative colitis,False,
DA_d2_heldout100/262,DA_d2_heldout100,DA,262,ab02_flat,options_shuffled_blocks,True,False,False,True,True,True,4,4,3,0.75,True,IBD-associated neutrophilic dermatosis with ulcerative colitis,False,
DA_d2_heldout100/276,DA_d2_heldout100,DA,276,ab02_flat,clean_fixed,True,False,False,False,False,False,4,4,0,0.0,False,Breast cancer cutaneous metastasis with dermal lymphatic carcinomatosis,False,
DA_d2_heldout100/276,DA_d2_heldout100,DA,276,ab02_flat,clean_shuffled_blocks,True,False,False,False,False,False,4,4,0,0.0,False,Recurrent inflammatory breast cancer (carcinoma erysipeloides),False,
DA_d2_heldout100/276,DA_d2_heldout100,DA,276,ab02_flat,options_fixed,True,False,False,True,True,True,4,4,4,1.0,True,Carcinoma erysipelatoides arising from triple-negative breast cancer,False,
DA_d2_heldout100/276,DA_d2_heldout100,DA,276,ab02_flat,options_shuffled_blocks,True,False,False,False,False,False,3,3,1,0.333333,False,Carcinoma erysipelatoides (cutaneous lymphatic metastasis) from triple-negative breast cancer,False,
DA_d2_heldout100/289,DA_d2_heldout100,DA,289,ab02_flat,clean_fixed,True,False,False,False,False,False,5,5,0,0.0,False,TBK1-associated frontotemporal dementia-amyotrophic lateral sclerosis (FTD-ALS) spectrum,False,
DA_d2_heldout100/289,DA_d2_heldout100,DA,289,ab02_flat,clean_shuffled_blocks,True,False,False,False,False,False,4,4,0,0.0,False,Amyotrophic lateral sclerosis with frontotemporal dementia (ALS-FTD) due to TBK1 mutation,False,
DA_d2_heldout100/289,DA_d2_heldout100,DA,289,ab02_flat,options_fixed,True,False,False,True,True,False,4,4,2,0.5,False,TBK1-related amyotrophic lateral sclerosis-frontotemporal dementia spectrum disorder,False,
DA_d2_heldout100/289,DA_d2_heldout100,DA,289,ab02_flat,options_shuffled_blocks,True,False,False,True,True,False,4,4,4,1.0,True,Amyotrophic lateral sclerosis-frontotemporal dementia (ALS-FTD) spectrum disorder (TBK1-related),False,
DA_d2_heldout100/290,DA_d2_heldout100,DA,290,ab02_flat,clean_fixed,True,False,False,False,False,False,4,4,1,0.25,False,Wellens syndrome (LAD critical stenosis),False,
DA_d2_heldout100/290,DA_d2_heldout100,DA,290,ab02_flat,clean_shuffled_blocks,True,False,False,False,False,False,4,4,1,0.25,False,Wellens syndrome (left anterior descending artery critical stenosis/occlusion),False,
DA_d2_heldout100/290,DA_d2_heldout100,DA,290,ab02_flat,options_fixed,True,False,False,True,True,True,3,3,3,1.0,True,Wellens syndrome with critical left anterior descending coronary artery stenosis,False,
