case_key,family,arm,label,equivalence,direction,vignette_consistency,explanation
DA_d2_heldout100/259,DA,flat_facts,Acute massive pulmonary embolism with obstructive shock and pulseless electrical activity cardiac arrest,incorrect,different,contradicted,"The output diagnoses pulmonary embolism, which is contradicted by the angiography showing no acute occlusions. The reference diagnoses RBBB and hypoxemia from COPD."
DA_d2_heldout100/259,DA,typed_event_graph,Massive pulmonary embolism causing pulseless electrical activity cardiac arrest,incorrect,different,contradicted,"The output diagnoses pulmonary embolism, which is contradicted by the angiography showing no acute occlusions. The reference diagnoses RBBB and hypoxemia from COPD."
DA_d2_heldout100/259,DA,raw_vignette,Acute massive pulmonary embolism with cardiac arrest (PEA),incorrect,different,contradicted,"The output diagnoses pulmonary embolism, which is contradicted by the angiography showing no acute occlusions. The reference diagnoses RBBB and hypoxemia from COPD."
DA_d2_heldout100/262,DA,typed_event_graph,Ulcerative colitis with extraintestinal manifestations (erythema nodosum and pyoderma gangrenosum),incorrect,different,contradicted,The output misses the core dermatosis and incorrectly identifies specific extraintestinal manifestations not supported by the vignette.
DA_d2_heldout100/262,DA,raw_vignette,"Sweet syndrome (acute febrile neutrophilic dermatosis) with systemic involvement (colitis, panniculitis, arthritis)",compatible_partial,broader,supported,"The output identifies a specific type of neutrophilic dermatosis (Sweet syndrome) and adds other manifestations, but misses the IBD association."
DA_d2_heldout100/262,DA,flat_facts,Ulcerative colitis (active) with Sweet syndrome and erythema nodosum,compatible_partial,broader,supported,"The output identifies a specific type of neutrophilic dermatosis (Sweet syndrome) and adds erythema nodosum, but misses the IBD association."
DA_d2_heldout100/266,DA,raw_vignette,Arrhythmogenic right ventricular cardiomyopathy (ARVC) with sustained monomorphic ventricular tachycardia and right ventricular systolic dysfunction,compatible_partial,narrower,supported,"The output specifies ARVC, which is a subtype of AC, and misses the biventricular involvement. It adds supported details."
DA_d2_heldout100/268,DA,typed_event_graph,Hypertensive intracerebral hemorrhage in the left thalamus/corona radiata with right hemiplegia and right central facial palsy,compatible_partial,different,contradicted,"The output identifies central facial palsy, which contradicts the vignette's description of peripheral-type facial paralysis."
DA_d2_heldout100/268,DA,flat_facts,Acute left thalamic and corona radiata hemorrhage (hypertensive) causing right hemiplegia and right central facial palsy,compatible_partial,different,contradicted,"The output identifies central facial palsy, which contradicts the vignette's description of peripheral-type facial paralysis."
DA_d2_heldout100/268,DA,raw_vignette,Hypertensive left thalamic hemorrhage with intraventricular extension,compatible_partial,narrower,supported,"The output omits the facial paralysis component, making it narrower than the reference. It is otherwise consistent."
DA_d2_heldout100/269,DA,raw_vignette,隐性营养不良型大疱性表皮松解症（RDEB）伴体细胞逆转镶嵌（revertant mosaicism）,compatible_partial,broader,supported,The output identifies the core diagnosis and mosaicism but omits the severity component.
DA_d2_heldout100/269,DA,typed_event_graph,"Recessive dystrophic epidermolysis bullosa (RDEB) with revertant mosaicism, presenting as a chronic non-healing ulcer",compatible_partial,broader,supported,The output identifies the core diagnosis and mosaicism but omits severity. It adds a vignette-supported complication.
DA_d2_heldout100/269,DA,flat_facts,Recessive dystrophic epidermolysis bullosa (COL7A1 compound heterozygous) with chronic non-healing ulcer and revertant mosaicism,compatible_partial,broader,supported,The output identifies the core diagnosis and mosaicism but omits severity. It adds vignette-supported genetic detail and a complication.
DA_d2_heldout100/273,DA,flat_facts,Atopic dermatitis with chronic hand eczema and allergic contact sensitization to nickel and cobalt,compatible_partial,narrower,supported,"Omits severity. Adds specific contact allergens, which are supported by the vignette but not in the reference."
DA_d2_heldout100/273,DA,typed_event_graph,"Chronic allergic contact dermatitis of the hands due to nickel, cobalt, and sesquiterpene lactone mix, on a background of atopic dermatitis (history of asthma, rhinitis, childhood eczema)",incorrect,different,contradicted,"The primary diagnosis is allergic contact dermatitis, not atopic hand eczema as in the reference. Omits severity."
DA_d2_heldout100/273,DA,raw_vignette,"Atopic dermatitis with superimposed allergic contact dermatitis of the hands (chronic hand eczema, atopic and allergic contact type)",compatible_partial,broader,supported,Omits severity. Adds 'superimposed allergic contact dermatitis' and 'allergic contact type' which are not in the reference.
