case_id	opt@1	opt@2	gold_letter	gold_option_rank	gold_option	joint_top1	joint_top2
100	1	1	C	1	Telangiectatic metastatic breast carcinoma (TMBC)	Cutaneous Metastasis from Breast Carcinoma	
102	0	0	D	2	Annular epidermolytic ichthyosis (AEI)	Epidermolytic Hyperkeratosis	
103	0	0	B	1	Intra-atrial reentrant tachycardia (IART) with variable atrioventricular block	Orthodromic Atrioventricular Reentrant Tachycardia	
107	0	0	D	1	Keloidal scleroderma	Scleromyxedema	
11	0	0	D	2	Acute dacryocystitis with secondary optic nerve injury	Lacrimal Sac Abscess	
111	0	0	B	1	Inverse lichen planus	Granuloma annulare	
114	0	0	B	1	Reversible cerebral vasoconstriction syndrome (RCVS)		
117	1	1	A	1	Pyoderma with Staphylococcus simulans	Cellulitis	
118	0	0	D	2	Inflammation-induced ocular neuropathy associated with SARS-CoV-2–induced panuveitis	SARS-CoV-2 Associated Optic Neuritis	
119	0	0	A	1	Eruptive pruritic papular porokeratosis (EPPP)	Darier's disease	
12	0	0	C	1	Kaposiform hemangioendothelioma (KHE) of the internal auditory canal	Lymphangioma	
120	1	1	C	1	Myopic macular pit	Scleral ectasia	
122	0	0	B	1	Vagus-mediated paroxysmal atrioventricular block (VP-AVB)	Brugada syndrome	
124	0	0	B	2	Primary invasive lobular breast carcinoma in heterotopic cutaneous breast tissue	apocrine gland carcinoma	
125	0	0	A	1	Tumors of the follicular infundibulum (TFI)	Nevus depigmentosus	
128	1	1	D	1	Cutaneous angiosarcoma	Kaposi's sarcoma	
129	0	0	A	2	Short-coupled polymorphic ventricular tachycardia/ventricular fibrillation (SC-PMVT/VF) variant of idiopathic ventricular fibrillation	Catecholaminergic Polymorphic Ventricular Tachycardia	
132	0	0	D	1	Trifascicular heart block (Bifascicular block with first-degree AV block progressing to complete heart block)	Hypertrophic Cardiomyopathy	
134	1	1	D	1	Lymphomatosis cerebri variant of diffuse large B-cell lymphoma (DLBCL)	Primary Central Nervous System Lymphoma	
137	0	0	B	1	Papillary hemangioma	Epithelioid Hemangioendothelioma	
139	0	0	C	2	Radioiodine-refractory vesicular thyroid carcinoma (VTC) with sinonasal metastasis	Follicular Thyroid Carcinoma with Vascular Metastasis	
140	0	0	A	2	Pheochromocytoma-induced cardiomyopathy	Apical Ballooning Syndrome	
147	0	0	B	1	Linear or annular lupus erythematosus panniculitis of the scalp (LALPS)	frontal fibrosing alopecia	
149	1	1	D	1	Giant cell tumor of soft tissue (GCT-ST)	Giant Cell Tumor	
15	1	1	B	1	Primary oral histoplasmosis	Chronic Histoplasmosis	
150	0	0	B	1	Transient left abducens (cranial nerve VI) nerve palsy	Relapsing polychondritis	
151	1	1	D	1	Large middle cerebral artery territory embolic stroke	Ischemic Stroke	
156	1	1	D	1	Drug-induced blepharitis and ectropion associated with TNF-α inhibitors (infliximab and adalimumab)	Blepharitis	
158	1	1	A	1	Bullous pilomatricoma	bullous pilomatricoma	
161	1	1	C	1	Hemosiderotic fibrolipomatous tumor (HFLT)	Nora's lesion	
163	1	1	C	1	FIP1L1-PDGFRA–positive chronic eosinophilic leukemia (CEL) with associated generalized eruptive histiocytosis (GEH)	Hypereosinophilic Syndrome	
164	0	0	A	1	Blastic plasmacytoid dendritic cell neoplasm (BPDCN) with polyradiculopathy	Acute Lymphoblastic Leukemia	
165	1	1	B	1	Nocardia brasiliensis skin infection	Nocardia infection	
167	1	1	D	1	Chikungunya virus-induced bilateral stromal keratouveitis	Chikungunya virus ocular infection	
173	0	0	C	2	Netherton syndrome	atopic dermatitis	
174	0	0	A	1	Intravascular NK/T-cell lymphoma, nasal type	Subcutaneous panniculitis-like T-cell lymphoma	
177	1	1	D	1	Subacute left ventricular free wall rupture (LVFWR) complicating acute myocardial infarction	ST-Elevation Myocardial Infarction	
181	1	1	C	1	Benign lymphangioendothelioma (BLAE)	targetoid hemosiderotic hemangioma	
182	0	0	C	1	Fibrofatty residua of involuted infantile hemangioma	Angiolipoma	
183	0	0	D	1	Glioblastoma (World Health Organization grade IV) with optic nerve invasion and intraocular extension	Central Retinal Artery Occlusion	
186	1	1	D	1	Pseudoxanthoma elasticum-like disorder with coagulation deficiency	Pseudoxanthoma Elasticum	
187	0	0	B	2	Xanthoma disseminatum	Erdheim-Chester disease	
188	0	0	D	1	Coronary Artery Disease (CAD) with Giant R-wave Syndrome	Catecholaminergic Polymorphic Ventricular Tachycardia	
19	1	1	D	1	Follicular thyroid carcinoma with manubrial invasion	Substernal Goiter	
190	0	0	D	2	Pott's puffy tumor with sinocutaneous fistula secondary to chronic sinusitis	Frontal Sinus Mucocele	
194	0	0	C	2	Hyperoleon within a lamellar macular hole	Emulsified Silicone Oil Syndrome	
198	0	0	C	2	Stage IA endometrial cancer	Lynch syndrome	
202	1	1	C	1	Type B lactic acidosis secondary to diffuse large B-cell lymphoma	Lymphoma	
205	1	1	A	1	Methimazole-induced vasculitis	Leukocytoclastic vasculitis	
206	1	1	D	1	Acute posterior and inferior myocardial infarction (STEMI equivalent) due to saphenous vein graft occlusion	myocardial infarction	
