arm,case_id,replicate,option_letter,is_gold,option_text,auto_leaf_id,auto_leaf_label,auto_rank,corrected_leaf_id,corrected_leaf_label,corrected_rank,binding_verdict,changed,binding_rationale
A,mb11_pancoast,1,A,True,Apical lung tumor,B4.3,Pancoast tumor,1,B4.3,Pancoast tumor,1,correct,False,
A,mb11_pancoast,1,B,False,Brachial plexopathy,B3.3,Brachial plexopathy,,B3.3,Brachial plexopathy,,correct,False,
A,mb11_pancoast,1,C,False,Cerebral infarction,B3.4,Cerebral infarction,,B3.4,Cerebral infarction,,correct,False,
A,mb11_pancoast,1,D,False,Scalenus anticus syndrome,,,,,,,correct,False,
A,mb11_pancoast,1,E,False,Subclavian steal syndrome,B3.1,Subclavian steal syndrome,,B3.1,Subclavian steal syndrome,,correct,False,
A,mb11_pancoast,2,A,True,Apical lung tumor,B1.1,Pancoast tumor,2,B1.1,Pancoast tumor,2,correct,False,
A,mb11_pancoast,2,B,False,Brachial plexopathy,B4.1,Brachial plexopathy,1,B4.1,Brachial plexopathy,1,correct,False,
A,mb11_pancoast,2,C,False,Cerebral infarction,B3.4,Cerebral infarction,,B3.4,Cerebral infarction,,correct,False,
A,mb11_pancoast,2,D,False,Scalenus anticus syndrome,B4.3,Scalenus anticus syndrome,,B4.3,Scalenus anticus syndrome,,correct,False,
A,mb11_pancoast,2,E,False,Subclavian steal syndrome,B3.1,Subclavian steal syndrome,,B3.1,Subclavian steal syndrome,,correct,False,
A,mb11_pancoast,3,A,True,Apical lung tumor,B2.4,Pancoast Tumor,2,B2.4,Pancoast Tumor,2,correct,False,
A,mb11_pancoast,3,B,False,Brachial plexopathy,B4.1,Brachial plexopathy,1,B4.1,Brachial plexopathy,1,correct,False,
A,mb11_pancoast,3,C,False,Cerebral infarction,B3.4,Cerebral infarction,,B3.4,Cerebral infarction,,correct,False,
A,mb11_pancoast,3,D,False,Scalenus anticus syndrome,B3.8,Scalenus anticus syndrome,,B3.8,Scalenus anticus syndrome,,correct,False,
A,mb11_pancoast,3,E,False,Subclavian steal syndrome,B3.1,Subclavian steal syndrome,,B3.1,Subclavian steal syndrome,,correct,False,
A,mb34_leukemoid,1,A,False,Acute lymphoblastic lymphoma,B2.3,Acute Lymphoblastic Lymphoma,,B2.3,Acute Lymphoblastic Lymphoma,,correct,False,
A,mb34_leukemoid,1,B,False,Chronic lymphocytic leukemia,B3.1,Chronic Myeloid Leukemia,5,B2.1,Chronic Lymphocytic Leukemia,,wrong_leaf,True,"CLL option must bind to Chronic Lymphocytic Leukemia leaf, not CML"
A,mb34_leukemoid,1,C,False,Chronic myeloid leukemia,B3.1,Chronic Myeloid Leukemia,5,B3.1,Chronic Myeloid Leukemia,5,correct,False,
A,mb34_leukemoid,1,D,True,Leukemoid reaction,B4.1,Leukemoid reaction,1,B4.1,Leukemoid reaction,1,correct,False,
A,mb34_leukemoid,1,E,False,Multiple myeloma,B2.4,Multiple Myeloma,,B2.4,Multiple Myeloma,,correct,False,
A,mb34_leukemoid,2,A,False,Acute lymphoblastic lymphoma,B1.6,Acute Lymphoblastic Leukemia,,B1.6,Acute Lymphoblastic Leukemia,,correct,False,
A,mb34_leukemoid,2,B,False,Chronic lymphocytic leukemia,B3.1,Chronic Myeloid Leukemia,3,B2.1,Chronic Lymphocytic Leukemia,,wrong_leaf,True,"CLL option must bind to Chronic Lymphocytic Leukemia leaf, not CML"
A,mb34_leukemoid,2,C,False,Chronic myeloid leukemia,B3.1,Chronic Myeloid Leukemia,3,B3.1,Chronic Myeloid Leukemia,3,correct,False,
A,mb34_leukemoid,2,D,True,Leukemoid reaction,B2.5,Leukemoid Reaction,1,B2.5,Leukemoid Reaction,1,correct,False,
A,mb34_leukemoid,2,E,False,Multiple myeloma,B2.4,Multiple Myeloma,,B2.4,Multiple Myeloma,,correct,False,
A,mb34_leukemoid,3,A,False,Acute lymphoblastic lymphoma,B2.2,Acute Lymphoblastic Lymphoma,,B2.2,Acute Lymphoblastic Lymphoma,,correct,False,
A,mb34_leukemoid,3,B,False,Chronic lymphocytic leukemia,B3.1,Chronic Myeloid Leukemia,4,B2.1,Chronic Lymphocytic Leukemia,,wrong_leaf,True,"CLL option must bind to Chronic Lymphocytic Leukemia leaf, not CML"
A,mb34_leukemoid,3,C,False,Chronic myeloid leukemia,B3.1,Chronic Myeloid Leukemia,4,B3.1,Chronic Myeloid Leukemia,4,correct,False,
A,mb34_leukemoid,3,D,True,Leukemoid reaction,B1.3,Leukemoid Reaction,1,B1.3,Leukemoid Reaction,1,correct,False,
A,mb34_leukemoid,3,E,False,Multiple myeloma,B2.4,Multiple Myeloma,,B2.4,Multiple Myeloma,,correct,False,
A,mb55_glucagonoma,1,A,True,Alpha cell tumor,B4.1,Glucagonoma,1,B4.1,Glucagonoma,1,correct,False,
A,mb55_glucagonoma,1,B,False,Beta cell destruction,,,,,,,correct,False,
