[02:40:17]   launch nc_rp_on_bk_off_1 on cuda:0  flags='--fix-a2 --fix-b --retrieval-priority --no-secondary-cache '
================================================================================
CONCURRENT PIPELINE EVAL — 9 dx cases (9 text-only, 0 image-dependent)  [rerun subset: [1, 9, 13, 14, 17, 18, 22, 23, 24]]
  model=qwen/qwen3-32b  workers=9  case_timeout=25640s  injection=ON  protocol_retries=2  temp=0.0
  CFG tag='nc_rp_on_bk_off_1' age_prior=True rag_override=False ruleout=True present_first=True ruleout_min_sp=0.0 fixA=False fixA2=True fixB=True branchKB=False retrievalPriority=True matchGuards=False confCascade=False lrDetox=False lrClean=False mandKBbranch=False phaseSubaxis=False
  log=/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/logs/medbullets_conc_nc_rp_on_bk_off_1_20260619_024019.log
================================================================================
[LLM] Error in 'SubBranchCreator' attempt 1: Token limit exceeded.
[LLM]  → Token/context overflow for 'SubBranchCreator'; fast-failing (no retry).
[LLM] Error: [Unable to generate SubBranchCreator after 5 attempts]
[LLM] Warning: Could not parse JSON for SubBranchCreator. Raw: [Unable to generate SubBranchCreator after 5 attempts]
[LLM] Warning: Could not parse JSON for SubBranchCreator. Raw: {
  "needs_expansion": true,
  "reason_if_not": "",
  "sub_branches": [
    {
      "id": "B1.1",
      "label": "Periorbital Abscess",
      "parent_id": "B1",
      "level": 2,
      "level_role": "specific_disease",
      "classification_axis": "anatomy",
      "status": "live",
      "prior_esti
[XX   ] case 14  gold=A pred=C (txt,3144s) Diastolic murmur best heard along 
[LLM] Error in 'SubBranchCreator' attempt 1: Token limit exceeded.
[LLM]  → Token/context overflow for 'SubBranchCreator'; fast-failing (no retry).
[LLM] Error: [Unable to generate SubBranchCreator after 5 attempts]
[LLM] Warning: Could not parse JSON for SubBranchCreator. Raw: [Unable to generate SubBranchCreator after 5 attempts]
[XX   ] case 1   gold=A pred=B (txt,3489s) Apical lung tumor
[XX   ] case 9   gold=D pred=C (txt,3556s) Leukemoid reaction
[LLM] Warning: Could not parse JSON for EvidenceAnnotator. Raw: {
  "result_summary": "The presence of 35% blasts in peripheral blood, pancytopenia (anemia and thrombocytopenia), and constitutional symptoms (fever, weight loss) provide moderate to strong support for myeloid neoplasm (B1) and acute myelogenous leukemia (B3.1), while arguing against chronic myelop
[XX   ] case 24  gold=B pred=E (txt,4333s) Foreign body obstruction
[XX   ] case 18  gold=E pred=A (txt,4395s) Vascular ectasia within the liver
[XX   ] case 13  gold=A pred=E (txt,4398s) Alpha cell tumor
[OK   ] case 17  gold=D pred=D (txt,4540s) Chronic myelogenous leukemia
[XX   ] case 23  gold=A pred=C (txt,4666s) Adhesions
[OK   ] case 22  gold=C pred=C (txt,4759s) Increased parathyroid hormone

================================================================================
RESULTS (two口径)
================================================================================
  全量    (full):     2/9 = 22.2%   (scored cases; 0 unscored)
  不含图像(no-image): 2/9 = 22.2%
  protocol failures (skipped): 0   runtime errors: 0   timeouts: 0   no-answer: 0   degraded/low-trust(scored): 0
  results JSON: /data2/wanghongyi/Agentclinic-Tree-Dx-Spec/logs/medbullets_conc_nc_rp_on_bk_off_1_20260619_024019.json

