cell,l1,local,replicate,case_id,selected_arm,tree_hash,gold_present,gold_parent_route_entered,acceptable_local_champion_entered,technical_failure,top1,top2,rr,rank,funnel,aa_reused,champion_ids,accepted_parent_ids,acceptable_l2_ids,true_f2_fact_ids,calls
AA,actual,actual,1,mb11_pancoast,ALL_B_b1_GR_PG,84fb3615c830bae88cc22e2cfb8061661d94a3502f2ec540c13657f15d538379,True,True,True,False,True,True,1.0,1,success,False,"[""B1.1"", ""B2.1"", ""B3.4"", ""B4.4""]","[""B1""]","[""B1.1"", ""B1.5""]","[""F17"", ""F7""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AO,actual,oracle,1,mb11_pancoast,ALL_B_b1_GR_PG,84fb3615c830bae88cc22e2cfb8061661d94a3502f2ec540c13657f15d538379,True,True,True,False,True,True,1.0,1,success,False,"[""B1.1"", ""B2.1"", ""B3.4"", ""B4.4""]","[""B1""]","[""B1.1"", ""B1.5""]","[""F17"", ""F7""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OA,oracle,actual,1,mb11_pancoast,ALL_B_b1_GR_PG,84fb3615c830bae88cc22e2cfb8061661d94a3502f2ec540c13657f15d538379,True,True,True,False,True,True,1.0,1,success,False,"[""B1.1""]","[""B1""]","[""B1.1"", ""B1.5""]","[""F17"", ""F7""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OO,oracle,oracle,1,mb11_pancoast,ALL_B_b1_GR_PG,84fb3615c830bae88cc22e2cfb8061661d94a3502f2ec540c13657f15d538379,True,True,True,False,True,True,1.0,1,success,False,"[""B1.1""]","[""B1""]","[""B1.1"", ""B1.5""]","[""F17"", ""F7""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AA,actual,actual,1,mb34_leukemoid,ALL_B_b1_GR_PG,3d509bb7818e08cd27915abace415966eba8b7bb3a15501bbaf3d7bb50dee8e6,True,True,True,False,True,True,1.0,1,success,False,"[""B1.1"", ""B2.1"", ""B3.1"", ""B4.5"", ""B5.1"", ""OTHER.1""]","[""B4""]","[""B4.5""]","[""F13"", ""F15""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AO,actual,oracle,1,mb34_leukemoid,ALL_B_b1_GR_PG,3d509bb7818e08cd27915abace415966eba8b7bb3a15501bbaf3d7bb50dee8e6,True,True,True,False,True,True,1.0,1,success,False,"[""B1.1"", ""B2.1"", ""B3.1"", ""B4.5"", ""B5.1"", ""OTHER.1""]","[""B4""]","[""B4.5""]","[""F13"", ""F15""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OA,oracle,actual,1,mb34_leukemoid,ALL_B_b1_GR_PG,3d509bb7818e08cd27915abace415966eba8b7bb3a15501bbaf3d7bb50dee8e6,True,True,True,False,True,True,1.0,1,success,False,"[""B4.5""]","[""B4""]","[""B4.5""]","[""F13"", ""F15""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
OO,oracle,oracle,1,mb34_leukemoid,ALL_B_b1_GR_PG,3d509bb7818e08cd27915abace415966eba8b7bb3a15501bbaf3d7bb50dee8e6,True,True,True,False,True,True,1.0,1,success,False,"[""B4.5""]","[""B4""]","[""B4.5""]","[""F13"", ""F15""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AA,actual,actual,1,mb55_glucagonoma,ALL_B_b1_GR_PG,b70df4c765dd3c4f7a089a9ee8e2149105bc92b9ebaedf9e9506824c97874d03,True,True,True,False,False,True,0.5,2,success,False,"[""B1.1"", ""B2.3"", ""B3.3"", ""B4.1"", ""B5.2""]","[""B1""]","[""B1.1""]","[""F13"", ""F11""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
AO,actual,oracle,1,mb55_glucagonoma,ALL_B_b1_GR_PG,b70df4c765dd3c4f7a089a9ee8e2149105bc92b9ebaedf9e9506824c97874d03,True,True,True,False,False,True,0.5,2,success,False,"[""B1.1"", ""B2.3"", ""B3.3"", ""B4.1"", ""B5.2""]","[""B1""]","[""B1.1""]","[""F13"", ""F11""]","{""requested"": 1, ""model"": 0, ""cache_hits"": 1, ""by_module"": {""L2BranchGenJointArbiter"": 1}}"
