case_id	cohort	compat_branch	stratum_at1	compat_opt1	compat_opt2	typed_opt1	typed_opt2	delta_opt1	delta_opt2	n_leaves	n_extra	gold_letter	compat_gold_option_rank	typed_gold_option_rank	gold_option_rank_delta	compat_gold_relation	typed_gold_relation	relation_changed	gold_matched_leaves_compat	gold_matched_leaves_typed	gold_leaf_in_ranking_topk	gold_leaf_newly_in_vs_ranking	gold_leaf_new_vs_compat_bind	matched_leaf_jaccard_all_options	ranking_topk_vs_typed_gold_jaccard	ranking_topk	matched_present_typed	rank_worsened	harm_unbind_style	is_mapper_unbind_audit	is_tree_parent_absent_audit	typed_proj_ok	compat_proj_ok
3	pilot24	merge_only	both_hit	1	1	1	1	0	0	19	18	C	1	1	0	subtype_of	equivalent	1	B1.1,B2.1,B3.1,B4.1,B5.1	B1.1,B3.1	1	0	0	0.3333	0.4	B5.1,B4.1,B1.1,B3.1,B2.1	1	0	0	0	0	1	1
4	pilot24	merge_only	compat_hit_typed_miss	1	1	0	0	-1	-1	19	18	C	2	2	0	equivalent	unrelated	1	B2.2		0	0	0	0.2	0.0	B1.1,B2.2,B3.2,B4.2,B5.2	0	0	1	0	0	1	1
5	pilot24	merge_only	both_miss	0	0	0	0	0	0	14	13	D	2	3	1	unrelated	subtype_of	1		B1.4	0	1	1	0.0	0.0	B3.1,B2.1,B1.1,B4.2	1	1	0	1	0	1	1
7	pilot24	merge_only	compat_hit_typed_miss	1	1	0	0	-1	-1	16	15	B	1	4	3	equivalent	equivalent	0	B1.2,B2.2,B3.2,B4.2	B4.2	1	0	0	0.2222	0.25	B3.2,B1.2,B4.2,B2.2	1	1	0	0	0	1	1
11	pilot24	merge_only	both_miss	0	0	0	1	0	1	19	18	D	3	2	-1	unrelated	subtype_of	1		B1.1	1	0	1	0.4	0.2	B4.4,B2.1,B3.1,B5.1,B1.1	1	0	0	1	0	1	1
12	pilot24	merge_only	both_hit	1	1	1	1	0	0	20	18	C	1	1	0	subtype_of	subtype_of	0	B1.3,B2.3,B3.2,B4.2	B1.3,B4.3,B5.1	1	1	1	0.2	0.3333	B1.3,B4.2,B2.3,B3.2,B5.1	1	0	0	0	0	1	1
15	pilot24	merge_only	both_hit	1	1	1	1	0	0	15	14	B	1	1	0	subtype_of	subtype_of	0	B1.1,B2.1,B4.1	B1.1	1	0	0	0.2	0.25	B1.1,B4.1,B2.1,B3.1	1	0	0	0	0	1	1
19	pilot24	merge_only	both_hit	1	1	1	1	0	0	18	17	D	1	1	0	equivalent	subtype_of	1	B1.2,B2.2	B1.2,B5.1	1	1	1	0.2	0.1667	B3.1,B1.2,B2.2,B4.1,B5.2	1	0	0	0	0	1	1
21	pilot24	calib_only	compat_hit_typed_miss	1	1	0	0	-1	-1	20	15	C	1	3	2	subtype_of	equivalent	1	B4.2	B5.3	0	1	1	0.0	0.0	B4.2,B1.2,B5.2,B3.2,B2.1	1	1	0	0	0	1	1
22	pilot24	merge_only	both_miss	0	0	0	0	0	0	20	19	D	2	2	0	unrelated	unrelated	0			0	0	0	0.25	0.0	B5.3,B3.3,B2.2,B1.1	0	0	0	1	0	1	1
27	pilot24	merge_only	both_miss	0	0	0	0	0	0	15	13	D	2	4	2	unrelated	subtype_of	1		B2.3	0	1	1	0.2857	0.0	B2.2,B3.2,B1.1,B4.2	1	1	0	1	0	1	1
28	pilot24	calib_only	compat_hit_typed_miss	1	1	0	0	-1	-1	22	17	B	1	4	3	equivalent	equivalent	0	B1.2,B5.2	B1.4	0	1	1	0.25	0.0	B1.2,B5.2,B2.20,B3.1,B4.17	1	1	0	0	0	1	1
29	pilot24	merge_only	both_hit	1	1	1	1	0	0	20	19	A	2	1	-1	subtype_of	subtype_of	0	B2.1,B4.1,B5.1	B1.1,B2.1	1	0	1	0.4	0.4	B3.1,B4.1,B2.1,B5.1,B1.1	1	0	0	0	0	1	1
33	pilot24	calib_only	both_hit	1	1	1	1	0	0	20	15	B	1	1	0	subtype_of	subtype_of	0	B4.2	B1.1	1	0	1	0.25	0.2	B1.1,B4.2,B5.3,B2.2,B3.3	1	0	0	0	0	1	1
36	pilot24	merge_only	both_hit	1	1	1	1	0	0	20	19	B	1	1	0	subtype_of	subtype_of	0	B3.1,B5.1	B1.1	1	0	1	0.2	0.2	B5.1,B1.1,B2.1,B4.2,B3.1	1	0	0	0	0	1	1
39	pilot24	merge_only	both_miss	0	0	0	1	0	1	16	15	B	2	2	0	unrelated	subtype_of	1		B1.1,B4.1	0	1	1	0.3333	0.0	B1.2,B4.2,B2.2,B3.4	1	0	0	1	0	1	1
40	pilot24	merge_only	compat_hit_typed_miss	1	1	0	0	-1	-1	20	19	D	2	3	1	equivalent	equivalent	0	B2.4,B3.3,B5.4	B5.1	0	1	1	0.0	0.0	B1.2,B4.1,B2.4,B5.4,B3.3	1	1	0	0	0	1	1
