dataset,slice,case_id,gold,layer,layer_aphhm,e7_correct,v0_correct,B06_correct,B07_correct,B01_correct,APHHM_correct,e7_win_vs_base,base_win_vs_e7,exclusive_arm,vig_chars,vig_words,vig_sents,vig_lab_hits,vig_diff_hits,vig_lab_dens,vig_diff_dens,gold_chars,gold_words,gold_has_eponym,gold_has_subtype,gold_has_paren,gold_comma_parts,n_options,gold_in_options,max_opt_gold_overlap,n_opts_near_gold,e7_s2_n,e7_s2_recall,e7_s3_recall,e7_s4_hit,e7_fail_mode,v0_s2_n,v0_s2_recall,v0_s3_recall,v0_s4_hit,v0_fail_mode,e7_s2_gold_rank,e7_mapper_rescue,B06_recall,B06_fail_mode,B07_recall,B07_fail_mode,B01_recall,B01_fail_mode,e7_s3_n,e7_s3_near_gold_n
da,d2_seq100,3,Familial cerebral cavernous malformations,,,1,1,1,1,1,1,0,0,,1603,224,19,1,0,0.4464285714285714,0.0,41,4,False,False,False,1,4,True,1.0,3,43.0,1,1,1,s4_ok,14.0,1,1,1,s4_ok,1,False,1,cand_ok,0,recall_miss,1,cand_ok,5,2
da,d2_seq100,4,Microvenular hemangioma (MVH),base_win_rank,,0,0,0,1,0,1,0,1,B07,1917,248,11,0,0,0.0,0.0,29,3,False,False,True,1,4,True,1.0,1,40.0,1,0,0,prune_miss_s3,16.0,1,1,0,rank_miss_s4,3,False,0,recall_miss,1,cand_ok,0,recall_miss,5,0
da,d2_seq100,5,Left maxillary giant cell reparative granuloma (GCRG),,aphhm_lose,1,1,1,1,0,0,0,0,,1303,193,19,2,1,1.0362694300518136,0.5181347150259068,53,7,False,False,True,1,4,True,1.0,1,48.0,1,0,0,prune_miss_s3,19.0,0,0,0,recall_miss_s2,35,True,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,7,Segmental stiff skin syndrome (SSS),,,1,1,1,1,1,1,0,0,,1421,197,13,2,0,1.015228426395939,0.0,35,5,False,False,True,1,4,True,1.0,2,48.0,1,1,0,rank_miss_s4,18.0,1,1,0,rank_miss_s4,13,True,0,recall_miss,0,recall_miss,0,recall_miss,5,1
da,d2_seq100,11,Acute dacryocystitis with secondary optic nerve injury,all_miss_but_recalled,,0,0,0,0,1,0,0,0,,1549,193,9,4,0,2.072538860103627,0.0,54,7,False,True,False,1,4,True,1.0,1,47.0,1,0,0,prune_miss_s3,19.0,1,0,0,prune_miss_s3,4,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,12,Kaposiform hemangioendothelioma (KHE) of the internal auditory canal,,aphhm_lose,1,0,1,1,1,0,0,0,,1327,186,10,3,0,1.6129032258064515,0.0,68,8,False,False,True,1,4,True,1.0,1,54.0,1,0,0,prune_miss_s3,20.0,0,0,0,recall_miss_s2,23,True,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,15,Primary oral histoplasmosis,,,1,1,1,1,0,1,0,0,,1765,254,17,3,0,1.1811023622047243,0.0,27,3,False,False,False,1,4,True,1.0,3,47.0,1,1,1,s4_ok,18.0,0,0,0,recall_miss_s2,1,False,1,cand_ok,1,cand_ok,1,cand_ok,5,1
da,d2_seq100,19,Follicular thyroid carcinoma with manubrial invasion,,,1,1,1,1,1,1,0,0,,1374,192,17,2,0,1.0416666666666665,0.0,52,6,False,True,False,1,4,True,1.0,1,47.0,1,1,0,rank_miss_s4,20.0,1,1,1,s4_ok,2,True,0,recall_miss,0,recall_miss,1,cand_ok,5,2
da,d2_seq100,21,Saturday night retinopathy with orbital compression syndrome,,,1,1,1,1,0,1,0,0,,1830,258,20,1,0,0.3875968992248062,0.0,60,7,False,True,False,1,4,True,1.0,1,48.0,0,0,0,recall_miss_s2,19.0,0,0,0,recall_miss_s2,,True,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,22,Antimelanoma differentiation associated gene 5 clinically amyopathic dermatomyositis,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,2118,271,16,4,1,1.4760147601476015,0.36900369003690037,84,8,False,False,False,1,4,True,1.0,2,50.0,1,1,0,rank_miss_s4,19.0,1,1,0,rank_miss_s4,6,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,27,Histiocytoid Sweet syndrome,,aphhm_lose,1,1,1,1,1,0,0,0,,1954,263,19,4,1,1.520912547528517,0.38022813688212925,27,3,False,False,False,1,4,True,1.0,2,53.0,1,1,1,s4_ok,20.0,1,1,1,s4_ok,1,False,1,cand_ok,1,cand_ok,1,cand_ok,5,1
da,d2_seq100,28,Bayés syndrome (Advanced interatrial block with paroxysmal atrial arrhythmias),,,0,0,0,0,0,0,0,0,,1081,152,9,1,0,0.6578947368421052,0.0,78,9,False,True,True,1,4,True,1.0,1,48.0,0,0,0,recall_miss_s2,16.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,29,IgG4-related rhinosinusitis with concurrent Streptococcus constellatus bacterial rhinosinusitis,,,1,0,1,1,1,1,0,0,,1873,261,13,2,0,0.7662835249042145,0.0,95,9,False,True,False,1,4,True,1.0,1,46.0,0,0,0,recall_miss_s2,17.0,0,0,0,recall_miss_s2,,True,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,33,ST-segment elevation due to myocardial metastasis from squamous cell carcinoma of the lung,,,1,0,1,1,1,1,0,0,,1750,250,18,1,0,0.4,0.0,90,14,False,False,False,1,4,True,1.0,1,49.0,1,0,0,prune_miss_s3,18.0,0,0,0,recall_miss_s2,7,True,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,36,Primary cutaneous cryptococcosis (PCC),,,1,1,1,1,1,1,0,0,,1702,219,16,5,0,2.28310502283105,0.0,38,4,False,False,True,1,4,True,1.0,2,44.0,1,1,1,s4_ok,17.0,1,1,1,s4_ok,1,False,1,cand_ok,1,cand_ok,1,cand_ok,5,0
da,d2_seq100,39,Metastatic Crohn disease,,aphhm_lose,1,1,1,1,1,0,0,0,,2121,271,20,4,0,1.4760147601476015,0.0,24,3,False,False,False,1,4,True,1.0,2,50.0,0,0,0,recall_miss_s2,19.0,0,0,0,recall_miss_s2,,True,0,recall_miss,0,recall_miss,0,recall_miss,5,1
da,d2_seq100,40,Invasive squamous cell carcinoma arising in a seborrheic keratosis of the eyelid,,,1,1,1,1,1,1,0,0,,1591,215,13,0,0,0.0,0.0,80,12,False,False,False,1,4,True,1.0,2,47.0,1,1,0,rank_miss_s4,15.0,1,1,1,s4_ok,1,True,1,cand_ok,1,cand_ok,1,cand_ok,5,0
da,d2_seq100,45,Drug-induced dermatomyositis secondary to ipilimumab therapy,,,1,1,1,0,1,1,0,0,,1729,232,11,3,0,1.293103448275862,0.0,60,7,False,False,False,1,4,True,1.0,2,46.0,1,1,0,rank_miss_s4,16.0,1,1,0,rank_miss_s4,1,True,1,cand_ok,0,recall_miss,1,cand_ok,5,0
da,d2_seq100,57,Eosinophilic annular erythema (EAE),,,0,0,0,0,0,0,0,0,,1602,227,11,2,0,0.881057268722467,0.0,35,4,False,False,True,1,4,True,1.0,1,49.0,0,0,0,recall_miss_s2,18.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,59,Anastrozole-associated uveitis with cystoid macular edema,,,1,0,1,1,1,1,0,0,,1750,252,23,0,0,0.0,0.0,57,7,False,True,False,1,4,True,1.0,2,47.0,0,0,0,recall_miss_s2,18.0,0,0,0,recall_miss_s2,,True,1,cand_ok,0,recall_miss,1,cand_ok,5,0
da,d2_seq100,60,Ostium secundum atrial septal defect (OS-ASD),,,1,1,1,1,1,1,0,0,,1427,210,11,0,0,0.0,0.0,45,7,False,False,True,1,4,True,1.0,2,42.0,1,1,1,s4_ok,16.0,1,1,1,s4_ok,1,False,1,cand_ok,1,cand_ok,1,cand_ok,5,2
da,d2_seq100,62,Type I cryoglobulinemia associated with multiple myeloma,,,1,1,1,1,1,1,0,0,,1923,270,14,5,1,1.8518518518518516,0.3703703703703704,56,7,False,True,False,1,4,True,1.0,2,53.0,1,1,1,s4_ok,16.0,1,1,1,s4_ok,1,False,1,cand_ok,1,cand_ok,1,cand_ok,5,0
da,d2_seq100,63,Synchysis scintillans with morning glory disc anomaly and chronic retinal detachment,base_win_recall,,0,1,0,1,1,1,0,1,,1142,155,10,0,0,0.0,0.0,84,11,False,True,False,1,4,True,1.0,2,48.0,0,0,0,recall_miss_s2,16.0,0,0,0,recall_miss_s2,,False,0,recall_miss,1,cand_ok,0,recall_miss,5,0
da,d2_seq100,67,Septic shock with anuric kidney failure,,aphhm_lose,1,1,1,1,0,0,0,0,,1117,162,15,0,0,0.0,0.0,39,6,False,True,False,1,4,True,1.0,1,52.0,0,0,0,recall_miss_s2,17.0,0,0,0,recall_miss_s2,,True,0,recall_miss,0,recall_miss,0,recall_miss,5,0
da,d2_seq100,72,Three-vessel obstructive coronary artery disease,,aphhm_lose,1,1,1,1,0,0,0,0,,1204,168,11,1,0,0.5952380952380952,0.0,48,6,False,False,False,1,4,True,1.0,1,47.0,0,1,1,recall_miss_s2,18.0,0,0,0,recall_miss_s2,,False,1,cand_ok,1,cand_ok,1,cand_ok,5,1
da,d2_seq100,74,Nonkeratinizing squamous cell carcinoma of the nasal mucosa with Schneiderian features,base_win_rank,,0,0,1,1,1,1,0,1,,1593,230,13,1,1,0.43478260869565216,0.43478260869565216,86,11,False,True,False,1,4,True,1.0,2,49.0,1,1,0,rank_miss_s4,20.0,1,1,0,rank_miss_s4,2,False,1,cand_ok,1,cand_ok,1,cand_ok,5,0
da,d2_seq100,76,Low-grade chondrosarcoma of the mastoid with facial nerve involvement,,aphhm_lose,1,1,1,0,1,0,0,0,,1663,238,17,4,1,1.680672268907563,0.42016806722689076,69,10,False,True,False,1,4,True,1.0,1,51.0,1,1,0,rank_miss_s4,20.0,1,1,0,rank_miss_s4,3,True,1,cand_ok,0,recall_miss,0,recall_miss,5,0
