arm,replicate,case_id,tree_hash,status,coverage,l1_parent_coverage,gold_l2_coverage,clean_parent_coverage,gold_hint_recall,b_mapping_recall,b_mapping_recall_conditional,generator_retention,gap_gain,duplicate_rate,leaf_burden,llm_calls,generation_llm_calls,generation_model_calls,generation_cache_hits,retrieval_calls,mapping_calls,downstream_llm_calls,oracle_capability_llm_calls,production_e2e_llm_calls,oracle_top1,oracle_top2,oracle_rr,oracle_parent_f4_local_top1,oracle_parent_f4_local_top2,oracle_parent_f4_local_rr,actual_top1,actual_top2,actual_rr,added_leaves,added_specific_rate,added_specific_count,added_duplicate_rate,added_duplicate_count,added_parent_invalid_rate,added_parent_invalid_count,gold_added_yield,gold_added_count,within_parent_duplicate_count,cross_parent_duplicate_count,filter_rejections,budget_rejections,trigger_rate,triggered_parents,topology_loss,c_success_preservation,semantic_gate_rejections,parent_gate_rejections,gate_llm_calls,raw_proposal_count,final_tree_semantic_duplicate_count,final_tree_semantic_duplicate_rate,actual_top1,actual_top2,actual_rr,oracle_parent_f4_local_top1,oracle_parent_f4_local_top2,oracle_parent_f4_local_rr,oracle_capability_model_calls,production_e2e_model_calls
ALL_B_b1,1,mb11_pancoast,1f1548f1523db528b40ccb4a8c28a90360ed97c642562a1edce3c99e76684029,unique,1.0,1.0,True,1.0,,,,,False,0.0,4.0,12,12,0,0,0,0,9,4,5,True,True,1.0,True,True,1.0,True,True,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,6,0,1.0,4,0.0,True,0,0,0,0,0,0.0,True,True,1.0,True,True,1.0,0,0
ALL_B_b1,1,mb34_leukemoid,4bc8712479e0abbadb1736e6460c31378e8520a7c98b9584532f52791b0d0836,absent,1.0,1.0,False,1.0,,,,,False,0.038461538461538464,4.333333333333333,18,18,0,0,0,0,0,0,0,False,False,0.0,False,False,0.0,False,False,0.0,2,1.0,2,0.5,1,1.0,2,0.0,0,0,1,5,0,1.0,6,0.0,,0,0,0,4,0,0.0,False,False,0.0,False,False,0.0,0,0
ALL_B_b1,1,mb55_glucagonoma,2cc2ef5124fe60684a8cd28f4e2f4ed885ea847bf8b6a47019627621da108f88,unique,1.0,1.0,True,1.0,,,,,False,0.0,4.0,11,11,0,0,0,0,10,4,6,True,True,1.0,True,True,1.0,True,True,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,1,0,1.0,5,0.0,True,0,0,0,0,0,0.0,True,True,1.0,True,True,1.0,0,0
ALL_B_b1,1,mb57_kartagener,a13412bc48d93500f6c3cab9dd8fd84daabfcbc572899f0e102b3a1218bd8c9a,duplicated_across_l1,1.0,1.0,True,1.0,,,,,False,0.19047619047619047,4.2,13,13,0,0,0,0,18,12,6,True,True,1.0,True,True,1.0,True,True,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,0,4,1,0,0.8,4,0.0,True,0,0,0,1,0,0.0,True,True,1.0,True,True,1.0,0,0
ALL_B_b1,1,mb65_cml,316fc6b7342a93b2208b8d46093d9cbeede7e739ba0c24be0bdf596becee8b45,duplicated_across_l1,1.0,1.0,True,1.0,,,,,False,0.21052631578947367,3.8,15,15,0,0,0,0,19,13,6,True,True,1.0,True,True,1.0,False,False,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0,4,0,0,1.0,5,0.0,,0,0,0,0,0,0.0,False,False,0.25,True,True,1.0,0,0
ALL_B_b1,1,mb66_peliosis,fb65d1c51f91ec728a546776a13bee8792f97947f629ee36d2cea10d418c41d5,unique,1.0,1.0,True,1.0,,,,,False,0.0,4.0,15,15,0,0,0,0,4,4,0,False,True,0.5,False,True,0.5,False,False,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,5,0,1.0,5,0.0,,0,0,0,0,0,0.0,False,False,0.0,False,True,0.5,0,0
ALL_B_b1,1,mb77_hyperpara,33db5aeb01f441dcd41c0d142b1f6472f2b1e79ed9a124a4c12e870c59d69483,unique,1.0,1.0,True,1.0,,,,,False,0.047619047619047616,4.2,15,15,0,0,0,0,9,3,6,True,True,1.0,True,True,1.0,True,True,1.0,1,0.0,0,1.0,1,0.0,0,0.0,0,0,1,1,0,1.0,5,0.0,True,0,0,0,1,0,0.0,True,True,1.0,True,True,1.0,0,0
ALL_B_b1,1,mb82_adhesions,ee4ac5fb68c2ccd1a82c6f2edbaf8c0ddea6d66344cc01b0e32bd353cc3ca174,unique,1.0,1.0,True,1.0,,,,,False,0.0,4.4,15,15,0,0,0,0,11,5,6,False,True,0.5,False,True,0.5,False,False,0.0,2,1.0,2,1.0,2,0.5,1,0.0,0,0,0,5,0,1.0,5,0.0,,0,0,0,7,0,0.0,False,False,0.0,False,True,0.5,0,0
ALL_B_b1,1,mb83_foreignbody,ef33efa9080b2097374d5b5ec443522417b20c270652134ec3598800406b9049,unique,1.0,1.0,True,1.0,,,,,False,0.0,4.0,12,12,0,0,0,0,11,6,5,True,True,1.0,True,True,1.0,False,True,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,1.0,4,0.0,True,0,0,0,0,0,0.0,False,True,0.5,True,True,1.0,0,0
ALL_B_b1,1,mxh011,372ef55ade8f97ff42bdb614ec8eacd7c99d1a33244125b058cf7e8133c422bb,duplicated_across_l1,1.0,1.0,True,1.0,,,,,False,0.045454545454545456,4.4,15,15,0,0,0,0,14,8,6,True,True,1.0,True,True,1.0,True,True,1.0,2,1.0,2,0.5,1,0.0,0,0.0,0,0,1,6,0,1.0,5,0.0,True,0,0,0,5,0,0.0,True,True,1.0,True,True,1.0,0,0
