rank	arm	category	n	n_error	diagnostic_micro_precision	diagnostic_micro_recall	diagnostic_micro_f1	diagnostic_macro_precision	diagnostic_macro_recall	diagnostic_macro_f1	interpretation_accuracy	interpretation_n_correct	interpretation_n_total	list_k	judge	protocol
—	Ours-noemit-fopt-live-closed_live	tree_method	100	0	0.6313	0.6716	0.6508	0.6310	0.6762	0.6434	0.3545	357	1007	5	llm	paper_aligned_judge_v1
1	B06-mac-single-vendor	API pure	100	0	0.5520	0.5885	0.5697	0.5520	0.6087	0.5698	0.2214	199	899	5	llm	paper_aligned_judge_v1
2	B00-direct-cot	API pure	100	0	0.5260	0.5608	0.5428	0.5260	0.5817	0.5437	0.2329	204	876	5	llm	paper_aligned_judge_v1
3	B05-mdagents	API pure	100	0	0.5260	0.5608	0.5428	0.5260	0.5804	0.5430	0.4242	372	877	5	llm	paper_aligned_judge_v1
4	B12-sc-cot-5	API pure	100	0	0.5220	0.5565	0.5387	0.5220	0.5736	0.5377	0.0000	0	860	5	llm	paper_aligned_judge_v1
5	B13-self-refine-1	API pure	100	0	0.5140	0.5480	0.5304	0.5140	0.5615	0.5289	0.2059	175	850	5	llm	paper_aligned_judge_v1
6	B15-medprompt-style	API+shared RAG	100	0	0.5060	0.5394	0.5222	0.5060	0.5639	0.5245	0.0000	0	829	5	llm	paper_aligned_judge_v1
7	B03-flat-beam	API+shared RAG	100	0	0.4940	0.5267	0.5098	0.4940	0.5431	0.5089	0.6421	522	813	5	llm	paper_aligned_judge_v1
8	B04-dual-inf	API pure	100	0	0.5042	0.5096	0.5069	0.5157	0.5278	0.5025	0.3195	254	795	5	llm	paper_aligned_judge_v1
9	B02-flat-matched-rerank	API+shared RAG	100	0	0.4800	0.5117	0.4954	0.4800	0.5415	0.5000	0.4194	333	794	5	llm	paper_aligned_judge_v1
10	B07-meddxagent-complete	API+shared RAG	100	0	0.4760	0.5075	0.4912	0.4760	0.5293	0.4927	0.4028	317	787	5	llm	paper_aligned_judge_v1
11	B16-medrag-kg	API+shared RAG	100	0	0.4736	0.4968	0.4849	0.4660	0.5228	0.4846	0.2235	169	756	5	llm	paper_aligned_judge_v1
12	B11b-cod-prompt-shared-kb	API+shared RAG	100	0	0.4609	0.4904	0.4752	0.4605	0.5135	0.4775	0.2151	162	753	5	llm	paper_aligned_judge_v1
13	B01-cot-rag	API+shared RAG	100	0	0.4520	0.4819	0.4665	0.4520	0.5017	0.4673	0.2400	180	750	5	llm	paper_aligned_judge_v1
14	B17-imedrag	API+shared RAG	100	0	0.7000	0.2985	0.4185	0.7000	0.3198	0.4313	0.2372	116	489	5	llm	paper_aligned_judge_v1
