idx	case	relation	subject	predicate	quote	context	licensed
0	DA_d2_heldout200b/529	sufficient_for	Cytomegalovirus infection	PCR	Diagnosis of CMV infection is generally established with PCR	Cytomegalovirus infection is usually seen in patients with HIV/AIDS with CD4 counts of <100 cells/mm3.[12] Diagnosis of CMV infection is generally established with PCR or serologic testing.[4][11] Kaposi sarcoma is diagnosed via biopsy, and a PCR identifies the HHV-8.[4][11] Verruca Vulgaris, Oral Squamous Papillomas, Condyloma Acuminatum, and Heck's Disease	
1	MCR_seq200b/291	pathognomonic_for	Necrolytic acral erythema	vacuolar degeneration of basal cells	necrosis of keratinocytes and vacuolar degeneration of some basal cells are critical diagnostic features	erythema, including its impact on enzymatic processes and skin integrity, underscores the importance of addressing zinc levels in affected patients.[9] In addition, malabsorption of essential nutrients, including amino acids and vitamins, can contribute to skin manifestations. The resultant hypoaminoacidemia may impair protein synthesis and skin barrier function, exacerbating the symptoms of necro	
2	DA_d2_heldout100/261	pathognomonic_for	Malakoplakia	MG bodies	MG bodies	Histologic sections reveal a dense inflammatory infiltrate composed mainly of lymphocytes, plasma cells, histiocytes, and associated nuclear debris. The foamy histiocytes are enlarged with ecentric nucleaus having granular cytoplasm exhibiting variably sized, round cytoplasmic inclusions, many displaying concentrically layered structures with a central basophilic focus and surrounding pale halo. T	
3	DA_d2_heldout200b/529	sufficient_for	Immune reconstitution inflammatory syndrome (IRIS)	paracetamol	paracetamol or with the use of nonsteroidal anti-inflammatory drugs (NSAIDs)	Approaches to prevent IRIS in HIV patients: [37] The management of immune reconstitution inflammatory syndrome should focus on symptom control. It is equally important that the treatment includes initiating anti-microbial agents for the underlying opportunistic infection associated with the IRIS. It is also highly recommended to continue HAART unless there is evidence of severe HAART-related toxic	
4	DA_d2_heldout100/261	pathognomonic_for	Malakoplakia	Michaelis-Gutmann bodies	The pathognomonic Michaelis-Gutmann bodies	t frequently associated organism, although a variety of other bacterial pathogens have also been reported. Management strategies range from antimicrobial therapy to surgical resection, depending on the extent of disease and clinical context.[1] The precise pathogenesis of malakoplakia remains incompletely characterized, representing a significant gap in our understanding of this distinctive chroni	
5	MCR_v1_seq100/114	sufficient_for	Leiomyosarcoma	Coagulative tumor cell necrosis	Coagulative tumor cell necrosis	Benign Malignant Low mitotic index (<5 mitotic figures for 10 High Power Field)No cell atypiaNo tumor cell necrosis (with the exception of ischemic necrosis)Typical presentation of the smooth muscle cells, with uniform shape and sizeNo intravascular componentWell-demarcated Numerous mitotic figures (≥5 for 10 High-Power Field)Significant cell atypiaAreas of tumor cell necrosis with island-like pre	
6	DA_d2_heldout100/261	required_for	COVID-19	molecular testing	confirmation by molecular testing	Viral hepatitis (A through E) can enter the differential when prominent hepatic manifestations accompany systemic symptoms, and diagnosis is established using pathogen-specific serology and PCR-based testing as appropriate. In contemporary practice, COVID-19 and seasonal influenza should be considered based on circulating community transmission and respiratory features, with confirmation by molecu	
7	MCR_v1_seq100/114	required_for	Pilonidal disease	incision and drainage	The mainstay of acute pilonidal disease, or abscess, is similar to any abscess and requires incision and drainage (I&D)	Pilonidal disease is largely considered a surgical disease, despite the many nonoperative approaches. The mainstay of acute pilonidal disease, or abscess, is similar to any abscess and requires incision and drainage (I&D). An early study looking at simple incision and drainage reported an immediate return to work, with 58% of patients healing within ten weeks; 21% of patients developed recurrence,	
8	DA_d2_seq100/100	sufficient_for	Angiosarcoma	local control	local control which involves surgery with perioperative RT	The patients and physicians must understand the rarity and the aggressive nature of the disease, and the need for multidisciplinary discussions. Although no large randomized trials have been done specifically for AS, retrospective data clearly shows the survival benefit of local control which involves surgery with perioperative RT. Despite of good local control measures, recurrence rates are high,	
9	DA_d2_heldout100/261	required_for	Dermatitis Herpetiformis	serological testing	Diagnosis of dermatitis herpetiformis is based on clinical signs and symptoms, serological testing	Routine screening for asymptomatic individuals is generally not recommended. However, testing should be considered for certain high-risk groups, including first-degree relatives of individuals with celiac disease, as they have a 10% to 15% increased risk of developing the condition. Celiac disease is also strongly associated with autoimmune disorders such as type 1 diabetes, autoimmune thyroid dis	
10	DA_d2_heldout100/261	pathognomonic_for	Xanthoma	small nodule	the presence of the small, tender, flesh-colored or red nodule	Symptoms and signs develop at the top edge of the posterior shoe counter. Early symptoms may be limited to redness, pain, and warmth. Later, superficial skin erosion may occur. After months or longer, a fluctuant, tender, cystic nodule 1- to 3-cm in diameter develops. It is red or flesh-colored. In chronic cases, the bursa becomes fibrotic. The presence of the small, tender, flesh-colored or red n	
11	DA_d2_heldout200b/529	required_for	Herpes simplex virus infection	renal function	renal function has to be monitored during long-term treatment	mg 2 times daily increases graft survival and should be given to patients in whom optical penetrating keratoplasty is attempted for herpetic eye disease. The prophylaxis should be continued in patients with severe atopic eye disease but with no history of ocular HSV involvement. The treatment duration and optimum drug dose have not been established yet. Immunohistochemistry can confirm the presenc	
12	74	required_for	Catecholaminergic Polymorphic VT (CPVT)	genetic testing	genetic testing	genetic testing	
13	DA_d2_heldout200b/529	pathognomonic_for	Hydrocele	fluid surrounding the testis	The ultrasound scan revealed fluid surrounding the testis, which is diagnostic of a hydrocele	Further examination of the scrotal mass was required. A transillumination test of the scrotum on the affected side was positive. An ultrasound scan revealed normal right and left testes and a large fluid collection around the right testis. A diagnosis of a right-sided hydrocele was made. Scrotal masses are common in young males, and determining the exact anatomical site of the scrotal mass is of u	
14	MCR_seq200b/291	pathognomonic_for	Scabies	burrow	The presence of a burrow	f age) 3. History of generally dry skin in the past year 4. Onset in a child <2 years of age (criterion not used if child is <4 years of age) 5. Visible flexural dermatitis (including dermatitis affecting cheeks, forehead, and outer aspects of limbs in children <4 years of age) Visible flexural dermatitis (including dermatitis affecting cheeks, forehead, and outer aspects of limbs in children <4 y	
15	DA_d2_seq100/100	required_for	Kaposi sarcoma	systemic treatment	systemic treatment is required	Challenges in treatment include achieving negative margins on surgical excision due to the possibility of skin lesions or the inability to visualize the entire malignancy. In some institutions, patients are also offered neoadjuvant taxane-based chemotherapy, though no benefit was seen with the addition of chemotherapy at that institution.[24] However, other institutions experienced a 5-year surviv	
