case_key,family,arm,transition_class,gold,base_champion,arm_champion,arm_champion_relation,base_hit,arm_hit,base_gold_rank,arm_gold_rank
DA_d2_heldout100/257,DA,nested_width6,shared_candidate_context_harm,Heterozygous HTRA1-related cerebral small vessel disease (CSVD),Heterozygous HTRA1-related cerebral small vessel disease (CSVD),HTRA1-related autosomal dominant cerebral small vessel disease,base,True,False,1,2
DA_d2_heldout100/257,DA,nested_width8,shared_candidate_context_harm,Heterozygous HTRA1-related cerebral small vessel disease (CSVD),Heterozygous HTRA1-related cerebral small vessel disease (CSVD),HTRA1-related autosomal dominant cerebral small vessel disease,base,True,False,1,2
DA_d2_heldout100/259,DA,add_sibling5,direct_new_candidate_harm,Right Bundle Branch Block (RBBB) with cardiac arrest due to hypoxemia from COPD exacerbation,Right Bundle Branch Block (RBBB) with cardiac arrest due to hypoxemia from COPD exacerbation,Cardiac arrest due to acute pulmonary embolism,sibling,True,False,1,2
DA_d2_heldout100/259,DA,add_synonym5,shared_candidate_context_harm,Right Bundle Branch Block (RBBB) with cardiac arrest due to hypoxemia from COPD exacerbation,Right Bundle Branch Block (RBBB) with cardiac arrest due to hypoxemia from COPD exacerbation,Acute exacerbation of COPD leading to respiratory failure,base,True,False,1,3
DA_d2_heldout100/259,DA,nested_width6,shared_candidate_context_harm,Right Bundle Branch Block (RBBB) with cardiac arrest due to hypoxemia from COPD exacerbation,Right Bundle Branch Block (RBBB) with cardiac arrest due to hypoxemia from COPD exacerbation,Acute exacerbation of COPD leading to respiratory failure,base,True,False,1,3
DA_d2_heldout100/302,DA,remove_non_gold3,removed_candidate_rescue,Unilesional folliculotropic mycosis fungoides,Folliculotropic mycosis fungoides,Unilesional folliculotropic mycosis fungoides,base,False,True,3,1
DA_d2_heldout100/302,DA,add_parent5,shared_candidate_context_gain,Unilesional folliculotropic mycosis fungoides,Folliculotropic mycosis fungoides,Unilesional folliculotropic mycosis fungoides,base,False,True,3,1
DA_d2_heldout100/302,DA,add_unrelated5,shared_candidate_context_gain,Unilesional folliculotropic mycosis fungoides,Folliculotropic mycosis fungoides,Unilesional folliculotropic mycosis fungoides,base,False,True,3,1
DA_d2_heldout100/302,DA,add_synonym5,shared_candidate_context_gain,Unilesional folliculotropic mycosis fungoides,Folliculotropic mycosis fungoides,Unilesional folliculotropic mycosis fungoides,base,False,True,3,1
DA_d2_heldout100/302,DA,add_component5,shared_candidate_context_gain,Unilesional folliculotropic mycosis fungoides,Folliculotropic mycosis fungoides,Unilesional folliculotropic mycosis fungoides,base,False,True,3,1
DA_d2_heldout100/302,DA,nested_width6,shared_candidate_context_gain,Unilesional folliculotropic mycosis fungoides,Folliculotropic mycosis fungoides,Unilesional folliculotropic mycosis fungoides,base,False,True,3,1
DA_d2_heldout100/302,DA,nested_width8,shared_candidate_context_gain,Unilesional folliculotropic mycosis fungoides,Folliculotropic mycosis fungoides,Unilesional folliculotropic mycosis fungoides,base,False,True,3,1
