case_key,family,gold,d0d3_local,n_methods_correct,discriminator,in_guideline,in_vignette,extracted_by_methods,used_correctly,failure_mode,failure_mode_zh,note
DA_d2_heldout100/272,DA,Window-Period Acute Myocardial Infarction,D3,1,"hyperacute broad-based T waves in V2-V5 as the earliest ischaemic sign, plus the rule that troponin only rises 1-2 h after onset and MI is excluded only if it is still normal at 3 h",yes,yes,yes,no,polarity,极性/归属倒置,"StatPearls states hyperacute T waves indicate early ischaemia progressing to ST elevation; the ACC/AHA ACS guideline gives the troponin timing rule. Pain lasted ~20 min, so the single normal troponin is uninformative. All four methods extracted both facts and three used the normal troponin as evidence against myocardial infarction."
DA_d2_heldout100/348,DA,Asymptomatic posterior corneal dystrophy,D1,3,posterior crocodile shagreen with concentric posterior stromal rings in an asymptomatic 20/20 eye,no,yes,yes,no,source,指南源缺口,"Posterior corneal dystrophies are named only in lists; no source describes the ring morphology or the asymptomatic-incidental rule, so no method could separate it from PPCD or pre-Descemet dystrophy. Two methods were nevertheless scored correct by the option mapper."
DA_d2_heldout200b/522,DA,Catatonia related to underlying Lewy body dementia,D1,2,"catatonic signs (echopraxia, mitmachen, mutism, staring) co-occurring with the DLB core features",partial,yes,yes,no,grain,粒度损失,"Catatonia and Lewy body dementia are each described but never causally linked (D1). Each method answered one half of the composite: collapse3c/multistance/forest said catatonia, IMPC said DLB. No method proposed the conjunction."
DA_d2_heldout200b/551,DA,Linagliptin-induced acute pancreatitis,D2,3,exposure to linagliptin,yes,no,no,no,benchmark,基准缺陷（vignette 缺决定性 finding）,The medication list names eleven drugs and linagliptin is not among them. The drug-attribution step the gold requires cannot be performed from the vignette; three methods answered acute pancreatitis and were credited through the parent-class option mapping.
DA_d2_heldout200b/566,DA,"High-grade (3A) follicular lymphoma, stage IVB",D2,2,follicular architecture with grade-3A centroblast counts and stage-IVB assignment,partial,no,n/a,no,benchmark,基准缺陷（vignette 缺决定性 finding）,"The vignette gives CD5-/CD10-negative B cells with aberrant BCL2 and high Ki-67, no follicular grading and no staging. CD10 negativity argues against follicular lymphoma, so the stated findings do not support the gold over the DLBCL option."
DA_d2_heldout200b/646,DA,Radiation-induced solitary rectal ulcer,D2,1,solitary deep anterior ulcer with an otherwise normal rectum after prostate radiotherapy,partial,yes,yes,n/a,options,选项集缺陷,"Options A, C and D denote the same entity (radiation-induced rectal ulcer / proctopathy / proctitis with ulceration). All four methods answered radiation proctitis; the scoring difference between them is produced by option mapping, not by reasoning."
DA_d2_heldout200b/773,DA,Idiopathic Pulmonary Arterial Hypertension (IPAH) with Patent Foramen Ovale (PFO),D3,1,"a patent foramen ovale is not a large systemic-to-pulmonary shunt, so it cannot produce Eisenmenger physiology; PAH with a coincidental PFO shunting right-to-left is the alternative",yes,yes,yes,no,polarity,极性/归属倒置,"All four methods extracted the PFO and the right-to-left shunt and used them as positive support for Eisenmenger syndrome, which requires the shunt to have been left-to-right first. The rule that separates the two was never applied."
DA_d2_seq100/119,DA,Eruptive pruritic papular porokeratosis (EPPP),D2,0,well-developed cornoid lamella,yes,yes,yes,no,polarity,极性/归属倒置,StatPearls calls the cornoid lamella the distinct histologic hallmark of porokeratosis and gives Darier and Grover disease an acantholysis/dyskeratosis histology instead. All four methods quoted the cornoid lamella and used it in the selector rationale as support for Darier or Grover disease.
DA_d2_seq100/19,DA,Follicular thyroid carcinoma with manubrial invasion,D2,3,contiguity between the substernal thyroid bed and the manubrium (direct invasion) versus haematogenous bone metastasis,no,partial,yes,no,grain,粒度损失,No source describes manubrial/sternal invasion or the route from the thyroid bed to the sternum (D2). Three methods answered metastatic thyroid carcinoma; the option mapper credited them.
DA_d2_seq100/5,DA,Left maxillary giant cell reparative granuloma (GCRG),D3,3,"absence of cytologic atypia in a giant-cell lesion of the maxilla, which separates the reparative granuloma from a true giant cell tumour",yes,yes,yes,partial,grain,粒度损失,"Collapse3c and MultiStance extracted the lack of atypia and still answered giant cell tumour, the parent form; IMPC and Forest answered juvenile nasopharyngeal angiofibroma on the basis of the site alone."
