arm,case_id,replicate,option_letter,is_gold,option_text,auto_leaf_id,auto_leaf_label,auto_rank,corrected_leaf_id,corrected_leaf_label,corrected_rank,binding_verdict,changed,binding_rationale
ALL_B_b1,mb11_pancoast,1,A,True,Apical lung tumor,B1.1,Pancoast Tumor,1,B1.1,Pancoast Tumor,1,correct,False,
ALL_B_b1,mb11_pancoast,1,B,False,Brachial plexopathy,,,,,,,correct,False,
ALL_B_b1,mb11_pancoast,1,C,False,Cerebral infarction,,,,,,,correct,False,
ALL_B_b1,mb11_pancoast,1,D,False,Scalenus anticus syndrome,,,,,,,correct,False,
ALL_B_b1,mb11_pancoast,1,E,False,Subclavian steal syndrome,B3.3,Subclavian Steal Syndrome,,B3.3,Subclavian Steal Syndrome,,correct,False,
ALL_B_b1,mb11_pancoast,2,A,True,Apical lung tumor,B1.1,Pancoast Tumor,1,B1.1,Pancoast Tumor,1,correct,False,
ALL_B_b1,mb11_pancoast,2,B,False,Brachial plexopathy,,,,,,,correct,False,
ALL_B_b1,mb11_pancoast,2,C,False,Cerebral infarction,,,,,,,correct,False,
ALL_B_b1,mb11_pancoast,2,D,False,Scalenus anticus syndrome,,,,,,,correct,False,
ALL_B_b1,mb11_pancoast,2,E,False,Subclavian steal syndrome,B3.3,Subclavian Steal Syndrome,,B3.3,Subclavian Steal Syndrome,,correct,False,
ALL_B_b1,mb11_pancoast,3,A,True,Apical lung tumor,B1.1,Pancoast Tumor,1,B1.1,Pancoast Tumor,1,correct,False,
ALL_B_b1,mb11_pancoast,3,B,False,Brachial plexopathy,,,,,,,correct,False,
ALL_B_b1,mb11_pancoast,3,C,False,Cerebral infarction,,,,,,,correct,False,
ALL_B_b1,mb11_pancoast,3,D,False,Scalenus anticus syndrome,,,,,,,correct,False,
ALL_B_b1,mb11_pancoast,3,E,False,Subclavian steal syndrome,B3.3,Subclavian Steal Syndrome,3,B3.3,Subclavian Steal Syndrome,3,correct,False,
ALL_B_b1,mb34_leukemoid,1,A,False,Acute lymphoblastic lymphoma,B2.1,Acute Lymphoblastic Leukemia,,B2.1,Acute Lymphoblastic Leukemia,,correct,False,
ALL_B_b1,mb34_leukemoid,1,B,False,Chronic lymphocytic leukemia,B2.3,Chronic Lymphocytic Leukemia,,B2.3,Chronic Lymphocytic Leukemia,,correct,False,
ALL_B_b1,mb34_leukemoid,1,C,False,Chronic myeloid leukemia,B2.3,Chronic Lymphocytic Leukemia,,B2.3,Chronic Lymphocytic Leukemia,,correct,False,
ALL_B_b1,mb34_leukemoid,1,D,True,Leukemoid reaction,B1.5,Leukemoid reaction,,B1.5,Leukemoid reaction,,correct,False,
ALL_B_b1,mb34_leukemoid,1,E,False,Multiple myeloma,OTHER.5,multiple myeloma,,OTHER.5,multiple myeloma,,correct,False,
ALL_B_b1,mb34_leukemoid,2,A,False,Acute lymphoblastic lymphoma,B2.1,Acute Lymphoblastic Leukemia,,B2.1,Acute Lymphoblastic Leukemia,,correct,False,
ALL_B_b1,mb34_leukemoid,2,B,False,Chronic lymphocytic leukemia,B2.3,Chronic Lymphocytic Leukemia,,B2.3,Chronic Lymphocytic Leukemia,,correct,False,
ALL_B_b1,mb34_leukemoid,2,C,False,Chronic myeloid leukemia,B2.3,Chronic Lymphocytic Leukemia,,B2.3,Chronic Lymphocytic Leukemia,,correct,False,
ALL_B_b1,mb34_leukemoid,2,D,True,Leukemoid reaction,,,,,,,correct,False,
ALL_B_b1,mb34_leukemoid,2,E,False,Multiple myeloma,,,,,,,correct,False,
ALL_B_b1,mb34_leukemoid,3,A,False,Acute lymphoblastic lymphoma,B2.1,Acute Lymphoblastic Leukemia,,B2.1,Acute Lymphoblastic Leukemia,,correct,False,
ALL_B_b1,mb34_leukemoid,3,B,False,Chronic lymphocytic leukemia,B2.3,Chronic Lymphocytic Leukemia,,B2.3,Chronic Lymphocytic Leukemia,,correct,False,
ALL_B_b1,mb34_leukemoid,3,C,False,Chronic myeloid leukemia,B2.3,Chronic Lymphocytic Leukemia,,B2.3,Chronic Lymphocytic Leukemia,,correct,False,
ALL_B_b1,mb34_leukemoid,3,D,True,Leukemoid reaction,,,,,,,correct,False,
ALL_B_b1,mb34_leukemoid,3,E,False,Multiple myeloma,,,,,,,correct,False,
ALL_B_b1,mb55_glucagonoma,1,A,True,Alpha cell tumor,B1.1,Glucagonoma,1,B1.1,Glucagonoma,1,correct,False,
ALL_B_b1,mb55_glucagonoma,1,B,False,Beta cell destruction,,,,,,,correct,False,
ALL_B_b1,mb55_glucagonoma,1,C,False,Beta cell tumor,,,,,,,correct,False,
ALL_B_b1,mb55_glucagonoma,1,D,False,Hypercortisolism,,,,,,,correct,False,
ALL_B_b1,mb55_glucagonoma,1,E,False,Insulin resistance,B1.2,Insulin Resistance Syndrome,,B1.2,Insulin Resistance Syndrome,,correct,False,
ALL_B_b1,mb55_glucagonoma,2,A,True,Alpha cell tumor,B1.1,Glucagonoma,1,B1.1,Glucagonoma,1,correct,False,
ALL_B_b1,mb55_glucagonoma,2,B,False,Beta cell destruction,,,,,,,correct,False,
ALL_B_b1,mb55_glucagonoma,2,C,False,Beta cell tumor,,,,,,,correct,False,
ALL_B_b1,mb55_glucagonoma,2,D,False,Hypercortisolism,,,,,,,correct,False,
ALL_B_b1,mb55_glucagonoma,2,E,False,Insulin resistance,B1.2,Insulin Resistance Syndrome,,B1.2,Insulin Resistance Syndrome,,correct,False,
ALL_B_b1,mb55_glucagonoma,3,A,True,Alpha cell tumor,B1.1,Glucagonoma,1,B1.1,Glucagonoma,1,correct,False,
ALL_B_b1,mb55_glucagonoma,3,B,False,Beta cell destruction,,,,,,,correct,False,
ALL_B_b1,mb55_glucagonoma,3,C,False,Beta cell tumor,,,,,,,correct,False,
ALL_B_b1,mb55_glucagonoma,3,D,False,Hypercortisolism,,,,,,,correct,False,
ALL_B_b1,mb55_glucagonoma,3,E,False,Insulin resistance,B1.2,Insulin Resistance Syndrome,,B1.2,Insulin Resistance Syndrome,,correct,False,
ALL_B_b1,mb57_kartagener,1,A,True,Diastolic murmur best heard along the right lower sternal border,B4.1,Primary Ciliary Dyskinesia,,B4.1,Primary Ciliary Dyskinesia,,correct,False,
ALL_B_b1,mb57_kartagener,1,B,False,Hypocalcemia,,,,,,,correct,False,
ALL_B_b1,mb57_kartagener,1,C,False,Increased chloride in the patient's sweat,,,,,,,correct,False,
ALL_B_b1,mb57_kartagener,1,D,False,Repeat sinus infections secondary to seasonal allergies,,,,,,,correct,False,
ALL_B_b1,mb57_kartagener,1,E,False,Social withdrawal and avoidance of eye contact,,,,,,,correct,False,
ALL_B_b1,mb57_kartagener,2,A,True,Diastolic murmur best heard along the right lower sternal border,B4.1,Primary Ciliary Dyskinesia,,B4.1,Primary Ciliary Dyskinesia,,correct,False,
ALL_B_b1,mb57_kartagener,2,B,False,Hypocalcemia,,,,,,,correct,False,
ALL_B_b1,mb57_kartagener,2,C,False,Increased chloride in the patient's sweat,,,,,,,correct,False,
ALL_B_b1,mb57_kartagener,2,D,False,Repeat sinus infections secondary to seasonal allergies,,,,,,,correct,False,
ALL_B_b1,mb57_kartagener,2,E,False,Social withdrawal and avoidance of eye contact,,,,,,,correct,False,
ALL_B_b1,mb57_kartagener,3,A,True,Diastolic murmur best heard along the right lower sternal border,B4.1,Primary Ciliary Dyskinesia,,B4.1,Primary Ciliary Dyskinesia,,correct,False,
ALL_B_b1,mb57_kartagener,3,B,False,Hypocalcemia,,,,,,,correct,False,
ALL_B_b1,mb57_kartagener,3,C,False,Increased chloride in the patient's sweat,,,,,,,correct,False,
ALL_B_b1,mb57_kartagener,3,D,False,Repeat sinus infections secondary to seasonal allergies,,,,,,,correct,False,
ALL_B_b1,mb57_kartagener,3,E,False,Social withdrawal and avoidance of eye contact,,,,,,,correct,False,
ALL_B_b1,mb65_cml,1,A,False,Acute lymphoblastic leukemia,B1.1,De Novo Acute Myeloid Leukemia,1,B1.1,De Novo Acute Myeloid Leukemia,1,correct,False,
ALL_B_b1,mb65_cml,1,B,False,Acute myelogenous leukemia,B1.1,De Novo Acute Myeloid Leukemia,1,B1.1,De Novo Acute Myeloid Leukemia,1,correct,False,
ALL_B_b1,mb65_cml,1,C,False,Chronic lymphocytic leukemia,B3.1,Chronic Myeloid Leukemia (CML),4,B3.1,Chronic Myeloid Leukemia (CML),4,correct,False,
ALL_B_b1,mb65_cml,1,D,True,Chronic myelogenous leukemia,B3.1,Chronic Myeloid Leukemia (CML),4,B3.1,Chronic Myeloid Leukemia (CML),4,correct,False,
ALL_B_b1,mb65_cml,1,E,False,Multiple myeloma,,,,,,,correct,False,
ALL_B_b1,mb65_cml,2,A,False,Acute lymphoblastic leukemia,B1.1,De Novo Acute Myeloid Leukemia,1,B1.1,De Novo Acute Myeloid Leukemia,1,correct,False,
ALL_B_b1,mb65_cml,2,B,False,Acute myelogenous leukemia,B1.1,De Novo Acute Myeloid Leukemia,1,B1.1,De Novo Acute Myeloid Leukemia,1,correct,False,
ALL_B_b1,mb65_cml,2,C,False,Chronic lymphocytic leukemia,B3.1,Chronic Myeloid Leukemia (CML),2,B3.1,Chronic Myeloid Leukemia (CML),2,correct,False,
ALL_B_b1,mb65_cml,2,D,True,Chronic myelogenous leukemia,B3.1,Chronic Myeloid Leukemia (CML),2,B3.1,Chronic Myeloid Leukemia (CML),2,correct,False,
ALL_B_b1,mb65_cml,2,E,False,Multiple myeloma,B5.5,multiple myeloma,,B5.5,multiple myeloma,,correct,False,
ALL_B_b1,mb65_cml,3,A,False,Acute lymphoblastic leukemia,B1.1,De Novo Acute Myeloid Leukemia,1,B1.1,De Novo Acute Myeloid Leukemia,1,correct,False,
ALL_B_b1,mb65_cml,3,B,False,Acute myelogenous leukemia,B1.1,De Novo Acute Myeloid Leukemia,1,B1.1,De Novo Acute Myeloid Leukemia,1,correct,False,
ALL_B_b1,mb65_cml,3,C,False,Chronic lymphocytic leukemia,B3.1,Chronic Myeloid Leukemia (CML),4,B3.1,Chronic Myeloid Leukemia (CML),4,correct,False,
ALL_B_b1,mb65_cml,3,D,True,Chronic myelogenous leukemia,B3.1,Chronic Myeloid Leukemia (CML),4,B3.1,Chronic Myeloid Leukemia (CML),4,correct,False,
ALL_B_b1,mb65_cml,3,E,False,Multiple myeloma,,,,,,,correct,False,
ALL_B_b1,mb66_peliosis,1,A,False,Ectopic implantation of a blastocyst,,,,,,,correct,False,
ALL_B_b1,mb66_peliosis,1,B,False,Inflammation of the pancreas,,,,,,,correct,False,
ALL_B_b1,mb66_peliosis,1,C,False,Obstruction of blood flow through the hepatic vein,,,,,,,correct,False,
ALL_B_b1,mb66_peliosis,1,D,False,Obstruction of the common bile duct by radio-opaque stones,B2.2,Obstruction of the Common Bile Duct,,B2.2,Obstruction of the Common Bile Duct,,correct,False,
ALL_B_b1,mb66_peliosis,1,E,True,Vascular ectasia within the liver,B5.1,Peliosis Hepatis,5,B5.1,Peliosis Hepatis,5,correct,False,
ALL_B_b1,mb66_peliosis,2,A,False,Ectopic implantation of a blastocyst,,,,,,,correct,False,
ALL_B_b1,mb66_peliosis,2,B,False,Inflammation of the pancreas,,,,,,,correct,False,
ALL_B_b1,mb66_peliosis,2,C,False,Obstruction of blood flow through the hepatic vein,,,,,,,correct,False,
ALL_B_b1,mb66_peliosis,2,D,False,Obstruction of the common bile duct by radio-opaque stones,,,,,,,correct,False,
ALL_B_b1,mb66_peliosis,2,E,True,Vascular ectasia within the liver,B5.1,Peliosis Hepatis,,B5.1,Peliosis Hepatis,,correct,False,
