idx	defect	useful
0	OK	1
1	OK	1
2	E12	0
3	OK	1
4	OK	1
5	E13	1
6	OK	1
7	E13	1
8	NEW:predicate_truncated	0
9	OK	0
10	E12	0
11	OK	1
12	OK	1
13	E11	0
14	OK	0
15	OK	1
16	OK	0
17	OK	1
18	OK	1
19	E4	0
20	OK	0
21	E13	0
22	OK	1
23	OK	0
24	OK	0
25	E13	0
26	E5	0
27	E12	0
28	E11	0
29	OK	0
30	E11	0
31	OK	1
32	OK	0
33	OK	1
34	OK	1
35	E11	0
36	OK	1
37	E7	0
38	NEW:predicate_truncated	0
39	E12	0
40	OK	0
41	OK	1
42	OK	1
43	OK	0
44	E12	0
45	E2	0
46	E12	0
47	E7	1
48	OK	0
49	OK	0
50	E13	0
51	E11	0
52	OK	0
53	OK	0
54	OK	0
55	OK	1
56	E4	0
57	E11	0
58	OK	0
59	OK	1
60	OK	0
61	OK	0
62	E13	0
63	OK	0
64	E5	0
65	E7	0
66	OK	1
67	OK	1
68	OK	1
69	E7	0
70	OK	1
71	E11	0
72	OK	1
73	E7	0
74	OK	1
75	OK	0
76	OK	0
77	E12	0
78	OK	0
79	OK	1
80	OK	1
81	E11	0
82	OK	1
83	OK	0
84	OK	0
85	OK	0
86	OK	0
87	E2	1
88	OK	0
89	OK	0
90	OK	1
91	NEW:predicate_truncated	0
92	E11	0
93	OK	1
94	OK	1
95	E11	0
96	E7	0
97	OK	0
98	OK	1
99	E7	0
100	OK	0
101	OK	1
102	OK	1
103	E11	0
104	OK	1
105	NEW:predicate_truncated	0
106	E7	0
107	OK	0
108	OK	1
109	NEW:predicate_truncated	1
110	OK	0
111	OK	0
112	OK	0
113	OK	0
114	E12	0
115	OK	0
116	OK	0
117	NEW:predicate_truncated	0
118	E3	1
119	E13	0
120	OK	0
121	E12	0
122	E12	0
123	OK	1
124	E12	0
125	OK	1
126	OK	1
127	E13	0
128	OK	1
129	OK	1
130	OK	1
131	OK	0
132	OK	1
133	E3	1
134	OK	0
135	OK	0
136	OK	0
137	E3	1
138	OK	0
139	OK	0
140	OK	1
141	E7	0
142	OK	1
143	OK	0
144	E7	1
145	E12	0
146	OK	0
147	OK	0
148	OK	1
149	E12	0
150	E7	0
151	OK	1
152	E3	0
153	NEW:prognostic_as_diagnostic	0
154	OK	1
155	OK	1
156	E8	1
157	E9	1
158	E5	0
159	OK	0
160	OK	0
161	E11	0
162	OK	1
163	NEW:prognostic_as_diagnostic	0
164	E11	0
165	OK	1
166	OK	1
167	OK	1
168	OK	1
169	OK	0
170	OK	0
171	E11	0
172	OK	0
173	OK	1
174	OK	0
175	OK	1
176	E11	0
177	OK	1
178	OK	0
179	E1	0
180	E11	0
181	E2	1
182	OK	0
183	OK	0
184	E7	0
185	OK	0
186	OK	1
187	OK	1
188	NEW:prognostic_as_diagnostic	0
189	OK	0
190	NEW:predicate_truncated	0
191	OK	0
192	OK	0
193	OK	0
194	OK	0
195	OK	1
196	OK	0
197	E5	0
198	E11	0
199	E7	0
200	OK	1
201	E12	0
202	OK	1
203	OK	1
204	OK	0
205	OK	1
206	OK	1
207	E11	0
208	OK	0
209	OK	1
210	OK	0
211	E12	0
212	OK	0
213	E12	0
214	OK	0
215	NEW:predicate_truncated	0
216	E11	0
217	E7	0
218	OK	1
219	E12	0
220	OK	1
221	E12	0
222	E12	0
223	OK	0
224	OK	1
225	OK	0
226	OK	0
227	OK	0
228	OK	0
229	OK	0
230	E1	0
231	OK	1
232	OK	0
233	OK	0
234	OK	1
235	OK	1
236	E11	0
237	OK	0
238	OK	1
239	OK	1
240	OK	1
241	OK	0
242	OK	1
243	E5	0
244	OK	0
245	OK	1
246	OK	0
247	OK	1
248	E9	1
249	OK	1
250	E12	0
251	E9	1
252	E11	0
253	OK	0
254	E11	0
255	E11	0
256	OK	0
257	E14	1
258	E12	0
259	OK	0
