arm,case_id,replicate,tree_hash,gold_l2_coverage,actual_top1,actual_top2,mrr_at_2,oracle_parent_f4_local_top2,leaf_burden,leaf_clean_rate,leaf_parent_invalid_rate,semantic_duplicate_excess_rate,reused_ab_downstream_baseline,downstream_required,gold_absent,gold_provenance,ranking_provenance,calls_requested,calls_model,calls_cache_hits,blockers
C-prod,mb11_pancoast,1,1f1548f1523db528b40ccb4a8c28a90360ed97c642562a1edce3c99e76684029,True,True,True,1.0,True,4.0,1.0,0.0,0.0,True,False,False,ab_gold_tree_hash,frozen_ab_evaluation_tree_hash_match,0,0,0,
C-prod,mb11_pancoast,2,6187016afe096f4fa8e927281f0664466e099a51a71728b5dd87ff621255558d,True,True,True,1.0,True,4.0,0.8125,0.0,0.0625,True,False,False,ab_gold_tree_hash,frozen_ab_evaluation_tree_hash_match,0,0,0,
C-prod,mb11_pancoast,3,6d4056fd3e07cd1ccd7e615422d91e3bd081936af48920e955fca2c9bc228022,True,True,True,1.0,True,4.0,0.875,0.0,0.0625,True,False,False,ab_gold_tree_hash,frozen_ab_evaluation_tree_hash_match,0,0,0,
C-prod,mb34_leukemoid,1,e6b28297b42f6951de5631d106d062ba2deefb8c30e7f725eb889f3211f4fdc4,False,False,False,0.0,False,4.0,0.5416666666666666,0.0,0.16666666666666666,True,False,False,ab_gold_tree_hash,frozen_ab_evaluation_tree_hash_match,0,0,0,
C-prod,mb34_leukemoid,2,3774c2b4f90e5a24caaaf3dd634a80406c4355eee1e00f5e0a17e0f15a63580f,False,False,False,0.0,False,3.8333333333333335,0.6956521739130435,0.0,0.0,True,False,False,ab_gold_tree_hash,frozen_ab_evaluation_tree_hash_match,0,0,0,
C-prod,mb34_leukemoid,3,64626c4893dfa52cd7b3b9fdc242a8b690c435045e4a3c875390580526385a42,False,False,False,0.0,False,4.0,0.7083333333333334,0.0,0.0,True,False,False,ab_gold_tree_hash,frozen_ab_evaluation_tree_hash_match,0,0,0,
C-prod,mb55_glucagonoma,1,2cc2ef5124fe60684a8cd28f4e2f4ed885ea847bf8b6a47019627621da108f88,True,True,True,1.0,True,4.0,0.35,0.0,0.0,True,False,False,ab_gold_tree_hash,frozen_ab_evaluation_tree_hash_match,0,0,0,
C-prod,mb55_glucagonoma,2,ccc957b64d2aaad7b0f925cff8910397df1398115550bda066fce53c688bac04,True,True,True,1.0,True,4.0,0.35,0.0,0.0,True,False,False,ab_gold_tree_hash,frozen_ab_evaluation_tree_hash_match,0,0,0,
C-prod,mb55_glucagonoma,3,a9fea78b3282638cb2f86fa60c1177c4b0a35ff3370b198e14cf9bac331ba988,True,True,True,1.0,True,4.0,0.35,0.0,0.0,True,False,False,ab_gold_tree_hash,frozen_ab_evaluation_tree_hash_match,0,0,0,
C-prod,mb57_kartagener,1,6ce939d5e0e0391e231df2a44e14d43b636249dd5272c3ad89753b21a4d3224d,True,True,True,1.0,True,4.0,0.25,0.05,0.25,True,False,False,ab_gold_tree_hash,frozen_ab_evaluation_tree_hash_match,0,0,0,
C-prod,mb57_kartagener,2,04defdfbf10076c78a9ac0baa2da889e7c41a4440710b1fe21dddbfa0677f4ee,True,True,True,1.0,True,4.0,0.2,0.0,0.2,True,False,False,ab_gold_tree_hash,frozen_ab_evaluation_tree_hash_match,0,0,0,
C-prod,mb57_kartagener,3,2276045c51921fa9bcac376b34a9ec6132f0b7cb9e897fc83857fffe336055a3,True,True,True,1.0,True,3.8,0.3157894736842105,0.0,0.15789473684210525,True,False,False,ab_gold_tree_hash,frozen_ab_evaluation_tree_hash_match,0,0,0,
C-prod,mb65_cml,1,316fc6b7342a93b2208b8d46093d9cbeede7e739ba0c24be0bdf596becee8b45,True,False,False,0.0,True,3.8,0.47368421052631576,0.0,0.21052631578947367,True,False,False,ab_gold_tree_hash,frozen_ab_evaluation_tree_hash_match,0,0,0,
C-prod,mb65_cml,2,39f5a6a6cb8be91bd208eead5f431256d23da2ec7e0d71d222f09d66910ad244,True,False,False,0.0,True,3.8,0.47368421052631576,0.0,0.21052631578947367,True,False,False,ab_gold_tree_hash,frozen_ab_evaluation_tree_hash_match,0,0,0,
