idx	case	candidate	subject	relation	polarity	modality	predicate	quote	joined_finding	finding_polarity	defect	useful
0	DA_d2_heldout200b/522	Catatonia	Catatonia	feature_of	asserted	typical	echolalia	Inability to suppress motor functions (stereotypy, echolalia, echopraxia)	echopraxia	present		
1	DA_d2_heldout200b/522	Catatonia	catatonia	caused_by	asserted	typical	psychiatric diseases	Psychiatric diseases are the most common causes of catatonia	major depressive disorder	present		
2	DA_d2_heldout200b/522	Catatonia	Catatonia	sufficient_for	asserted	typical	lorazepam challenge test	lorazepam challenge test	HIV tests	absent		
3	DA_d2_heldout200b/522	Vitamin B12 deficiency	Vitamin B12 deficiency	feature_of	asserted	typical	low vitamin B12 intake	If the person has suspected or confirmed vitamin B12 deficiency because their diet is lacking in vitamin B12	decreased oral intake	present		
4	DA_d2_heldout200b/522	Vitamin B12 deficiency	Vitamin B12 deficiency	caused_by	asserted	typical	lack of vitamin B12 in the diet	it can be caused by either, or both, a lack of vitamin B12 in the diet	B12	present		
5	DA_d2_heldout200b/773	Idiopathic Pulmonary Arterial Hypertension	Pulmonary thromboembolism	excludes	asserted	obligatory	pulmonary hypertension	rule out pulmonary thromboembolism	widened pulmonary arteries	present		
6	DA_d2_heldout200b/773	Patent Foramen Ovale	Patent Foramen Ovale	feature_of	asserted	typical	right-to-left shunting of deoxygenated blood	right-to-left shunting of deoxygenated blood	right-to-left shunt	present		
7	DA_d2_heldout200b/773	Patent Foramen Ovale	Patent Foramen Ovale	caused_by	asserted	typical	shunt	shunts from early congestive heart failure in the case of a significant atrial septal defect to asymptomatic in small and relatively common patent foramen ovale	right-to-left shunt	present		
8	DA_d2_heldout200b/773	Eisenmenger Syndrome	Eisenmenger syndrome	feature_of	asserted	obligatory	mean pulmonary arterial pressure	mean pulmonary arterial pressure greater than 25 mmHg	widened pulmonary arteries	present		
9	DA_d2_heldout200b/773	Eisenmenger Syndrome	Eisenmenger Syndrome	caused_by	asserted	typical	increased pulmonary vascular resistance	increased pulmonary vascular resistance	widened pulmonary arteries	present		
10	DA_d2_seq100/119	Porokeratosis	Porokeratosis	feature_of	asserted	obligatory	biopsy	the best method for definitive diagnosis is a biopsy	skin biopsy	present		
11	DA_d2_seq100/119	Porokeratosis	Porokeratosis	caused_by	asserted	typical	biologic use	biologic use, phototherapy, and radiotherapy.	concurrent medications	absent		
12	DA_d2_seq100/119	Porokeratosis	Porokeratosis	pathognomonic_for	asserted	obligatory	cornoid lamella	will show the cornoid lamella and will be diagnostic	cornoid lamellae	present		
13	MCR_seq200b/257	Abscess	Spontaneous soft tissue hematomas	feature_of	asserted	typical	age	spontaneous muscle hematomas have a significantly increased incidence in the elderly	age	present		
14	MCR_seq200b/257	Abscess	Abscess	caused_by	asserted	occasional	infection	infection, and abscess formation	fever	absent		
15	MCR_seq200b/257	Septic Arthritis	Septic arthritis	feature_of	asserted	typical	pain, erythema, and effusion of any of the joints of the hand or wrist	Septic arthritis may be signified by pain, erythema, and effusion of any of the joints of the hand or wrist, with significant pain upon passive or active range of motion	right hand pain	present		
16	MCR_seq200b/257	Septic Arthritis	Septic Arthritis	caused_by	asserted	typical	advancing age	patients with pre-existing risk factors such as immunodeficiency, advancing age, diabetes mellitus, prosthetic joints, rheumatoid arthritis, and intravenous drug abuse are at a higher risk	age	present		
17	MCR_seq200b/326	Brucellosis	Brucellosis	feature_of	asserted	typical	cyclical fever	Symptoms of brucellosis include ... cyclical fever	high fever	present		
18	MCR_seq200b/326	Brucellosis	Brucellosis	caused_by	asserted	typical	unpasteurized milk	may be contracted by consumption of ... unpasteurized milk	exposure to unpasteurized sheep stomach	present		
19	MCR_seq200b/326	Brucellosis	Brucellosis	required_for	asserted	typical	bacteriologic tests	the clinical diagnosis usually must be supported by the results of bacteriologic and/or serologic tests	serological test for tuberculosis	absent		
20	MCR_seq200b/326	Epidural abscess	Epidural abscess	feature_of	asserted	typical	weakness	weakness	weakness	present		
21	MCR_seq200b/326	Epidural abscess	Epidural Abscess	caused_by	asserted	typical	irreversible neurologic injury	can rapidly progress to irreversible neurologic injury or death	injured hand	present		
22	MCR_seq200b/475	Neuralgic Amyotrophy	Neuralgic Amyotrophy	feature_of	asserted	occasional	sensory deficits	Sensory deficits may also be noted in some patients	sensory deficits	absent		
23	MCR_seq200b/475	Anterior Interosseous Nerve Syndrome	Anterior Interosseous Nerve Syndrome	feature_of	asserted	typical	weakness	demonstrable weakness	weakness of the left upper limb	present		
24	MCR_v1_seq100/49	Appendiceal stump appendicitis	appendicitis	feature_of	asserted	typical	pain localized to the right lower quadrant	then localizes to the right lower quadrant	right iliac fossa pain	present		
25	MCR_v1_seq100/49	Appendiceal stump appendicitis	Acute appendicitis	caused_by	asserted	occasional	peritonitis	at risk for peritonitis	peritoneal signs	absent		
26	MCR_v1_seq100/49	Cecal diverticulitis	Complicated diverticulitis	feature_of	asserted	typical	purulent peritonitis	stage III is associated with purulent peritonitis	peritoneal signs	absent		
27	MCR_v1_seq100/49	Cecal diverticulitis	complicated acute diverticulitis	variant_of	asserted	occasional	ultrasound scan	an ultrasound scan	abdominal CT scan	present		
28	MCR_v1_seq100/56	Carcinoma	Bone tumors	feature_of	asserted	typical	unexplained pain	unexplained, progressive pain	pain	present		
29	MCR_v1_seq100/56	Carcinoma	Basal Cell Carcinoma	caused_by	asserted	typical	smoking	UV radiation and smoking have been implicated as the major risk factor	tobacco use	absent		
30	MCR_v1_seq100/56	Leiomyosarcoma	Kaposi sarcoma	feature_of	asserted	typical	spindle cell vascular lesions	spindle cell vascular lesions	atypical spindle cells	present		
31	MCR_v1_seq100/56	Leiomyosarcoma	Leiomyosarcoma	caused_by	asserted	occasional	radiation therapy	History of radiation therapy, exposure to carcinogens like vinyl chloride, or exposure to Agent Orange, are associated with the development of soft tissue sarcoma	previous chemoradiotherapy	present		
32	MCR_v1_seq100/74	Catecholaminergic Polymorphic Ventricular Tachycardia	Polymorphic ventricular tachycardia	feature_of	asserted	typical	cardiac arrest	leading to cardiac arrest	cardiac arrest	absent		
33	MCR_v1_seq100/74	Catecholaminergic Polymorphic Ventricular Tachycardia	Polymorphic ventricular tachycardia	caused_by	asserted	typical	myocardial ischemia	most likely due to myocardial ischemia	evidence of infarction	absent		
34	MCR_v1_seq100/74	Catecholaminergic Polymorphic Ventricular Tachycardia	CPVT	required_for	asserted	obligatory	structurally normal heart	in the presence of a structurally normal heart	pulse	present		
35	MCR_v1_seq100/91	Hemangioma	Angiosarcoma	feature_of	asserted	typical	CD31 and ERG positivity	CD31 and ERG Positive in angiosarcoma	CD31 immunoreactivity	present		
36	MCR_v1_seq100/91	Cavernous Angioma	Cerebral Cavernous Malformations	feature_of	asserted	frequent	intracranial hemorrhage	intracranial hemorrhage (25%)	left occipital intraparenchymal hemorrhage	present		
37	MCR_v1_seq100/91	Cavernous Angioma	cavernous angiomas	caused_by	asserted	occasional	hemorrhage	Hemorrhagic events particularly those found in relatively young patients ought to be characterized further	left occipital intraparenchymal hemorrhage	present		
38	MCR_v2_seq100/179	Thrombocytopenia	Inherited platelet disorders (IPDs)	feature_of	asserted	typical	mean platelet volume (MPV)	an MPV >12.4 fL showed 83% sensitivity and 89% specificity to differentiate IPDs and ITP	platelet count	present		
39	MCR_v2_seq100/179	Pulmonary Atresia with Ventricular Septal Defect	Ventricular septal defects	feature_of	asserted	typical	membranous portion of the ventricular septum	within the membranous portion of the ventricular septum	ventricular septal defect	present		
40	MCR_v2_seq100/179	Pulmonary Atresia with Ventricular Septal Defect	Infundibular (Outlet) Ventricular Septal Defect	variant_of	asserted	typical	Ventricular Septal Defect	Infundibular (Outlet) Ventricular Septal Defect	ventricular septal defect	present		
41	DA_d2_heldout200b/522	Catatonia	Catatonic type	feature_of	asserted	typical	prominent psychomotor abnormalities	prominent psychomotor abnormalities	abnormal behaviors	present		
42	DA_d2_heldout200b/522	Catatonia	catatonia	caused_by	asserted	typical	primary psychiatric disorders	primary psychiatric disorders	major depressive disorder	present		
43	DA_d2_heldout200b/522	Vitamin B12 deficiency	Vitamin B12 deficiency	feature_of	asserted	rare	visual changes	dyspnea, headaches, paresthesias, visual changes, or ataxia	visual hallucinations	present		
44	DA_d2_heldout200b/522	Vitamin B12 deficiency	vitamin B12 deficiency	caused_by	asserted	typical	problems with vitamin B12 processing	problems with the way the body processes the vitamin	B12	present		
45	DA_d2_heldout200b/773	Patent Foramen Ovale	patent foramen ovale	feature_of	asserted	typical	intrapulmonary shunts	patent foramen ovale is not the only mechanism of arteriovenous shunting of bubbles	right-to-left shunt	present		
46	DA_d2_heldout200b/773	Patent Foramen Ovale	Patent Foramen Ovale	caused_by	asserted	typical	failure of closure of the foramen ovale	PFOs result when, in approximately 25% of the population, there is a failure of closure of the foramen ovale created by the septa	patent foramen ovale width	present		
47	DA_d2_heldout200b/773	Eisenmenger Syndrome	Eisenmenger syndrome	feature_of	asserted	typical	pulmonary fibrosis	pulmonary fibrosis	widened pulmonary arteries	present		
48	DA_d2_heldout200b/773	Eisenmenger Syndrome	Eisenmenger syndrome	caused_by	asserted	typical	pulmonary vascular resistance	Unrepaired VSDs can elevate pulmonary vascular resistance, leading to Eisenmenger syndrome	widened pulmonary arteries	present		
49	DA_d2_seq100/119	Porokeratosis	porokeratosis	feature_of	asserted	occasional	expansion of abnormal epidermal keratinocytes	there can be an expansion of a clone of abnormal epidermal keratinocytes	atrophy of the epidermis	present		
50	DA_d2_seq100/119	Porokeratosis	porokeratosis	caused_by	asserted	rare	malignant degeneration	due to the risk of malignant degeneration	vacuolar degeneration of the basal cell layer	present		
51	MCR_seq200b/257	Abscess	Traumatic Soft Tissue Injury	feature_of	asserted	typical	bruise location	Bruises can be characterized by the following: Bruising in nonabused children is most commonly found on the knees, shins, and bony prominences	bruise	present		
52	MCR_seq200b/257	Septic Arthritis	Septic Arthritis	feature_of	asserted	typical	elevated peripheral blood WBC count	The peripheral blood WBC count is typically elevated	WBC count	present		
53	MCR_seq200b/257	Septic Arthritis	Septic Arthritis	caused_by	asserted	typical	diabetes mellitus	patients with pre-existing risk factors such as immunodeficiency, advancing age, diabetes mellitus, prosthetic joints, rheumatoid arthritis, and intravenous drug abuse are at a higher risk	type 2 diabetes	present		
54	MCR_seq200b/326	Brucellosis	Brucellosis	feature_of	asserted	typical	musculoskeletal pain	fever, fatigue, diaphoresis, and musculoskeletal pain are predominantly presenting	back pain	present		
55	MCR_seq200b/326	Brucellosis	Brucellosis	caused_by	asserted	typical	consumption of unpasteurized milk and dairy products	consuming unpasteurized milk and dairy products	exposure to unpasteurized sheep stomach	present		
56	MCR_seq200b/326	Brucellosis	Brucellosis	required_for	asserted	typical	serologic tests	the clinical diagnosis usually must be supported by the results of bacteriologic and/or serologic tests	serological test for tuberculosis	absent		
57	MCR_seq200b/326	Epidural abscess	Epidural metastasis	feature_of	asserted	frequent	leg weakness	Leg weakness is seen in about 50% of patients	weakness	present		
58	MCR_seq200b/326	Epidural abscess	Epidural abscess	caused_by	asserted	typical	infection	infection, inflammation, or tumors	high fever	present		
59	MCR_seq200b/475	Neuralgic Amyotrophy	Neuralgic amyotrophy	feature_of	asserted	typical	sensory symptoms	leads to both motor and sensory symptoms	sensory deficits	absent		
60	MCR_seq200b/475	Anterior Interosseous Nerve Syndrome	Anterior Interosseous Neuropathy	feature_of	asserted	typical	motor deficits	presents solely with motor deficits	sensory deficits	absent		
61	MCR_v1_seq100/49	Appendiceal stump appendicitis	Appendicitis	feature_of	asserted	typical	low-grade fever	Low-grade fever (rectal temperature 37.7 to 38.3° C [100 to 101° F])	febrile	present		
62	MCR_v1_seq100/49	Appendiceal stump appendicitis	Appendicitis	caused_by	asserted	typical	severe peritonitis	Free perforation normally causes severe peritonitis	peritoneal signs	absent		
63	MCR_v1_seq100/49	Cecal diverticulitis	Diverticulitis	feature_of	asserted	occasional	generalized peritonitis	In <25% of cases, patients may present with generalized peritonitis	peritoneal signs	absent		
64	MCR_v1_seq100/56	Carcinoma	Large Cell Carcinoma	feature_of	negated	obligatory	small cell carcinoma features	lack cytologic features of small cell carcinoma	atypical spindle cells	present		
65	MCR_v1_seq100/56	Carcinoma	Esophageal carcinoma	variant_of	asserted	typical	squamous cell carcinomas	squamous cell carcinomas	atypical spindle cells	present		
66	MCR_v1_seq100/56	Leiomyosarcoma	Leiomyosarcoma	feature_of	asserted	typical	interlacing fascicles of spindle cells	leiomyosarcomas contain interlacing fascicles of spindle cells resembling smooth muscle	atypical spindle cells	present		
67	MCR_v1_seq100/74	Catecholaminergic Polymorphic Ventricular Tachycardia	Ventricular tachycardia	feature_of	asserted	typical	concurrent myocardial ischemia	concurrent myocardial ischemia	evidence of infarction	absent		
68	MCR_v1_seq100/74	Catecholaminergic Polymorphic Ventricular Tachycardia	Polymorphic ventricular tachycardia	caused_by	asserted	occasional	electrolyte abnormalities	electrolyte abnormalities	electrolytes	normal		
69	MCR_v1_seq100/91	Cavernous Angioma	Cavernous angioma	feature_of	asserted	typical	age	Patients may present at any age, ranging from 20 to 80 years of age	age	present		
70	MCR_v2_seq100/179	Thrombocytopenia	Gray platelet syndrome (GPS)	feature_of	asserted	typical	decreased or absence of platelet granules	'Gray' or 'pale' platelets, which mean decreased or absence of platelet granules, can be an important clue of gray platelet syndrome (GPS)	platelet count	present		
71	MCR_v2_seq100/179	Pulmonary Atresia with Ventricular Septal Defect	Partial Atrioventricular Septal Defect	feature_of	asserted	typical	inlet ventricular septal defect	inlet ventricular septal defect	ventricular septal defect	present		
72	DA_d2_heldout200b/522	Catatonia	Catatonia	feature_of	asserted	occasional	loss of communication ability	intact awareness but a loss of communication ability.	weight loss	present		
73	DA_d2_heldout200b/522	Catatonia	Catatonia	caused_by	asserted	typical	functional disturbances in the brain	structural or functional disturbances in the brain	MRI brain	present		
74	DA_d2_heldout200b/522	Vitamin B12 deficiency	Vitamin B12 deficiency	feature_of	negated	obligatory	normal serum B12	B12 levels >300 pg/mL are considered normal	B12	present		
75	DA_d2_heldout200b/522	Vitamin B12 deficiency	Vitamin B12 deficiency	treated_by	asserted	typical	timely vitamin B12 supplementation	timely vitamin B12 supplementation	B12	present		
76	DA_d2_heldout200b/773	Pulmonary Arterial Hypertension	PAH	feature_of	asserted	typical	right ventricular enlargement	right atrial and ventricular enlargement	right ventricle size	present		
77	DA_d2_heldout200b/773	Patent Foramen Ovale	Patent Foramen Ovale	caused_by	asserted	typical	size of PFO	The risk is predictably related to the size of the PFO	right atrium size	present		
