arm	n	option_top1	option_top2	mrr2	option_top1_nobind	option_top2_nobind	mrr2_nobind	n_bind_repaired	pred_dir
B00-direct-cot	100	0.69	0.88	0.785	0.54	0.61	0.575	73	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_remaining_v1/B00-direct-cot/replicate_01
B01-cot-rag	100	0.8	0.95	0.875	0.55	0.63	0.59	67	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_rag_smoke_live/B01-cot-rag/replicate_01
B02-flat-matched-rerank	100	0.78	0.96	0.87	0.56	0.63	0.595	71	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_fixed_v1/B02-flat-matched-rerank/replicate_01
B02-flat-compute-matched	100	0.68	0.93	0.805	0.48	0.59	0.535	72	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_b02_compute_matched_v1/B02-flat-compute-matched/replicate_01
B02-flat-compute-matched-sc10	100	0.66	0.92	0.79	0.47	0.59	0.53	75	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_b02_compute_matched_sc10_v1/B02-flat-compute-matched-sc10/replicate_01
B03-flat-beam	100	0.7	0.91	0.805	0.52	0.6	0.56	74	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_remaining_v1/B03-flat-beam/replicate_01
B04-dual-inf	100	0.74	0.92	0.83	0.6	0.7	0.65	64	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_fixed_v1/B04-dual-inf/replicate_01
B05-mdagents	100	0.7	0.9	0.8	0.58	0.67	0.625	76	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_fixed_v1/B05-mdagents/replicate_01
B06-mac-single-vendor	100	0.77	0.92	0.845	0.61	0.67	0.64	72	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_fixed_v1/B06-mac-single-vendor/replicate_01
B07-meddxagent-complete	100	0.78	0.96	0.87	0.62	0.71	0.665	69	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_remaining_v1/B07-meddxagent-complete/replicate_01
B11a-official-diagnosisgpt	100	0.71	0.8	0.755	0.14	0.14	0.14	87	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_b11a_smoke/B11a-official-diagnosisgpt/replicate_01
B11b-cod-prompt-shared-kb	100	0.8	0.91	0.855	0.54	0.55	0.545	74	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_rag_smoke_live/B11b-cod-prompt-shared-kb/replicate_01
B12-sc-cot-5	100	0.74	0.9	0.82	0.52	0.61	0.565	74	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_remaining_v1/B12-sc-cot-5/replicate_01
B13-self-refine-1	100	0.75	0.92	0.835	0.57	0.62	0.595	78	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_remaining_v1/B13-self-refine-1/replicate_01
B15-medprompt-style	100	0.81	0.95	0.88	0.52	0.57	0.545	74	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_fixed_v1/B15-medprompt-style/replicate_01
B16-medrag-kg	100	0.8	0.94	0.87	0.48	0.52	0.5	72	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_fixed_v1/B16-medrag-kg/replicate_01
B17-imedrag	100	0.81	0.95	0.88	0.6	0.67	0.635	68	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_imedrag_v1/B17-imedrag/replicate_01
