idx	src	relation	subject	predicate	quote	gate_rule	verdict	note
0	case74	pathognomonic_for	Brugada syndrome	type 1 Brugada ECG pattern	characteristic ECG pattern (type 1 Brugada ECG pattern	E12_or_E4_patho_no_cue		
1	case74	pathognomonic_for	Status epilepticus	seizures lasting more than 5 minutes	Seizures lasting more than 5 minutes	E12_or_E4_patho_no_cue		
2	case74	pathognomonic_for	arrhythmogenic right ventricular cardiomyopathy	ε sign	ε sign indicative of arrhythmogenic right ventricular cardiomyopathy	E12_or_E4_patho_no_cue		
3	case74	required_for	Myotonia congenita	clinical, electrophysiological, and genetic studies	The diagnosis is made with a combination of clinical, electrophysiological, and genetic studies	E4_procedure_not_finding		
4	case74	sufficient_for	CPVT	pathogenic mutation	who have a pathogenic mutation	E15_sufficiency_no_cue		
5	pool6	pathognomonic_for	Mature cystic teratomas	multiple fat-fluid levels	Multiple fat-fluid levels are highly specific	E12_or_E4_patho_no_cue		
6	pool6	required_for	ETEC infection	inoculum size	a large inoculum (106–1010 CFU) is needed to produce disease	E4_required_no_cue+E14_threshold_cleared+threshold_from_quote		
7	pool6	required_for	Bacterial infection	laboratory confirmation of pathogen presence	laboratory confirmation of pathogen presence in recipients	E4_required_no_cue		
8	pool6	pathognomonic_for	solitary fibrous tumor	ALDH1 and STAT6 positivity	Combined specificity of STAT6 and ALDH1 is 100% for SFTs of this region	E12_or_E4_patho_no_cue		
9	pool6	required_for	Sarcoidosis	exclusion of alternative diagnoses	exclusion of all alternative diagnoses	E4_required_no_cue		
10	pool6	pathognomonic_for	Pneumocystis jirovecii pneumonia (PCP)	demonstration of organisms in bronchoalveolar lavage fluid	The demonstration of organisms in bronchoalveolar lavage fluid is almost 100% sensitive and specific for PCP	E12_or_E4_patho_no_cue		
11	pool6	pathognomonic_for	CMV colitis	CMV culture	CMV culture offers high sensitivity and specificity for diagnosing CMV colitis	E12_or_E4_patho_no_cue		
