case_id	opt@1	opt@2	gold_letter	gold_option_rank	gold_option	joint_top1	joint_top2
100	1	1	C	1	Telangiectatic metastatic breast carcinoma (TMBC)	Cutaneous metastasis from breast carcinoma	Stewart-Treves syndrome
102	1	1	D	1	Annular epidermolytic ichthyosis (AEI)	Epidermolytic Hyperkeratosis	
103	1	1	B	1	Intra-atrial reentrant tachycardia (IART) with variable atrioventricular block	Paroxysmal Supraventricular Tachycardia	Orthodromic Atrioventricular Reentrant Tachycardia
107	0	0	D	2	Keloidal scleroderma	Limited Systemic Sclerosis	
11	0	0	D	2	Acute dacryocystitis with secondary optic nerve injury	Lacrimal Sac Abscess	
111	1	1	B	1	Inverse lichen planus	Annular Atrophic Lichen Planus	Mycosis Fungoides
114	0	0	B	3	Reversible cerebral vasoconstriction syndrome (RCVS)	Toxic Leukoencephalopathy	Posterior Reversible Encephalopathy Syndrome (PRES)
117	1	1	A	1	Pyoderma with Staphylococcus simulans	Staphylococcal skin infection	Erysipeloid
118	1	1	D	1	Inflammation-induced ocular neuropathy associated with SARS-CoV-2–induced panuveitis	optic neuritis	
119	1	1	A	1	Eruptive pruritic papular porokeratosis (EPPP)	Porokeratosis	Lichen Planus
12	0	0	C	1	Kaposiform hemangioendothelioma (KHE) of the internal auditory canal	Lymphangioma	
120	1	1	C	1	Myopic macular pit	Scleral Ectasia	Pathologic Myopia
122	1	1	B	1	Vagus-mediated paroxysmal atrioventricular block (VP-AVB)	Complete atrioventricular block	Sick Sinus Syndrome
124	0	0	B	2	Primary invasive lobular breast carcinoma in heterotopic cutaneous breast tissue	Apocrine gland carcinoma	
125	0	0	A	1	Tumors of the follicular infundibulum (TFI)	Nevus depigmentosus	tuberous sclerosis
128	1	1	D	1	Cutaneous angiosarcoma	Angiosarcoma	
129	0	0	A	2	Short-coupled polymorphic ventricular tachycardia/ventricular fibrillation (SC-PMVT/VF) variant of idiopathic ventricular fibrillation	Catecholaminergic Polymorphic Ventricular Tachycardia	
132	1	1	D	1	Trifascicular heart block (Bifascicular block with first-degree AV block progressing to complete heart block)	AV Block	Hypertrophic Cardiomyopathy
134	0	0	D	2	Lymphomatosis cerebri variant of diffuse large B-cell lymphoma (DLBCL)	Primary Central Nervous System Lymphoma	
137	0	0	B	2	Papillary hemangioma	epithelioid hemangioendothelioma	Pyogenic Granuloma
139	0	0	C	2	Radioiodine-refractory vesicular thyroid carcinoma (VTC) with sinonasal metastasis	Papillary Thyroid Carcinoma with Vertebral and Costal Metastases	
140	0	0	A	2	Pheochromocytoma-induced cardiomyopathy	Apical Ballooning Syndrome	Takotsubo Cardiomyopathy
147	1	1	B	1	Linear or annular lupus erythematosus panniculitis of the scalp (LALPS)	linear scleroderma	Frontal Fibrosing Alopecia
149	1	1	D	1	Giant cell tumor of soft tissue (GCT-ST)	Giant Cell Tumor	
15	1	1	B	1	Primary oral histoplasmosis	Histoplasmosis	Chromoblastomycosis
150	1	1	B	1	Transient left abducens (cranial nerve VI) nerve palsy	Abducens Nerve Palsy	
151	1	1	D	1	Large middle cerebral artery territory embolic stroke	Ischemic Stroke	Cardioembolic Stroke
156	1	1	D	1	Drug-induced blepharitis and ectropion associated with TNF-α inhibitors (infliximab and adalimumab)	Infliximab-induced blepharitis	Crohn Disease
158	1	1	A	1	Bullous pilomatricoma	Pilomatrixoma	Pilomatricoma
161	0	0	C	2	Hemosiderotic fibrolipomatous tumor (HFLT)	Dermatofibrosarcoma Protuberans	Nora's lesion
163	1	1	C	1	FIP1L1-PDGFRA–positive chronic eosinophilic leukemia (CEL) with associated generalized eruptive histiocytosis (GEH)	Hypereosinophilic Syndrome	Mastocytosis
164	0	0	A	1	Blastic plasmacytoid dendritic cell neoplasm (BPDCN) with polyradiculopathy	Acute Myeloid Leukemia with Leukemia Cutis	Plasma Cell Leukemia
165	1	1	B	1	Nocardia brasiliensis skin infection	Nocardia infection	
167	1	1	D	1	Chikungunya virus-induced bilateral stromal keratouveitis	Chikungunya Virus Ocular Infection	Uveitis
173	1	1	C	1	Netherton syndrome	psoriasis	Netherton Syndrome
174	1	1	A	1	Intravascular NK/T-cell lymphoma, nasal type	Intravascular Lymphoma	Pembrolizumab-induced Immune-mediated Dermatitis
177	1	1	D	1	Subacute left ventricular free wall rupture (LVFWR) complicating acute myocardial infarction	Acute Myocardial Infarction	Acute Coronary Syndrome
181	1	1	C	1	Benign lymphangioendothelioma (BLAE)	targetoid hemosiderotic hemangioma	Glomuvenous malformation
182	0	0	C	3	Fibrofatty residua of involuted infantile hemangioma	Fibrous hamartoma of infancy	Lipoblastoma
183	0	0	D	2	Glioblastoma (World Health Organization grade IV) with optic nerve invasion and intraocular extension	Glioblastoma	Astrocytoma
186	1	1	D	1	Pseudoxanthoma elasticum-like disorder with coagulation deficiency	Pseudoxanthoma Elasticum	
187	0	0	B	2	Xanthoma disseminatum	Erdheim-Chester disease	Sarcoidosis
188	0	0	D	3	Coronary Artery Disease (CAD) with Giant R-wave Syndrome	Catecholaminergic Polymorphic Ventricular Tachycardia	Cardiac Arrest
19	1	1	D	1	Follicular thyroid carcinoma with manubrial invasion	follicular thyroid carcinoma	Hürthle Cell Carcinoma
190	1	1	D	1	Pott's puffy tumor with sinocutaneous fistula secondary to chronic sinusitis	Pott's Puffy Tumor	Granulomatosis with Polyangiitis
194	0	1	C	2	Hyperoleon within a lamellar macular hole	Emulsified Silicone Oil Syndrome	Rhegmatogenous Retinal Detachment
198	0	0	C	2	Stage IA endometrial cancer	Lynch Syndrome	
202	1	1	C	1	Type B lactic acidosis secondary to diffuse large B-cell lymphoma	Mesenteric Lymphoma	Bowel Obstruction
205	1	1	A	1	Methimazole-induced vasculitis	Leukocytoclastic vasculitis	Pyoderma gangrenosum
206	1	1	D	1	Acute posterior and inferior myocardial infarction (STEMI equivalent) due to saphenous vein graft occlusion	myocardial infarction	acute coronary syndrome
207	0	1	D	2	Mucous membrane pemphigoid (MMP)	Ocular Cicatricial Pemphigoid	Ocular Cicatricial Pemphigoid
21	1	1	C	1	Saturday night retinopathy with orbital compression syndrome	Central Retinal Artery Occlusion	Anterior Ischemic Optic Neuropathy
211	1	1	D	1	Brown tumor secondary to primary hyperparathyroidism due to parathyroid carcinoma	brown tumor of primary hyperparathyroidism	
214	1	1	B	1	Macular retinal vein occlusion with chronic cystoid macular edema	Cystoid Macular Edema	Retinal Vein Occlusion
216	1	1	A	1	Coronavirus Disease 2019 (COVID-19) with Acute Respiratory Distress Syndrome (ARDS)	COVID-19 pneumonia	Influenza Pneumonia
219	1	1	A	1	Multiple hereditary infundibulocystic basal cell carcinoma syndrome (MHIBCC)	SUFU-related multiple hereditary infundibulocystic basal cell carcinoma	Gorlin syndrome
22	0	0	D	2	Antimelanoma differentiation associated gene 5 clinically amyopathic dermatomyositis	Systemic Lupus Erythematosus	
220	1	1	D	1	Plasmablastic lymphoma (PBL), stage 1 with high-risk features	Extranodal Natural Killer/T-cell Lymphoma	plasmablastic lymphoma
225	0	0	D	2	Richter's transformation presenting as penile ulcer (transformation of chronic lymphocytic leukemia to diffuse large B-cell lymphoma)	Primary Cutaneous Diffuse Large B-Cell Lymphoma	
226	0	0	B	2	Actinic prurigo with associated cheilitis	Mycosis Fungoides	atopic dermatitis
227	1	1	B	1	Bullous amyloidosis	Primary systemic amyloidosis	Paraneoplastic Pemphigus
228	1	1	C	1	Primary systemic (AL) amyloidosis	Light-Chain Amyloidosis	
229	1	1	D	1	Rheumatoid meningitis	Multiple Sclerosis	Acute Disseminated Encephalomyelitis
231	0	0	B	2	Stage IV invasive renal urothelial carcinoma	Metastatic Renal Cell Carcinoma	Howel-Evans syndrome
233	1	1	C	1	Multisystem Langerhans cell histiocytosis	Langerhans cell histiocytosis	Letterer-Siwe disease
237	0	0	A	1	Intergluteal and sacral hyperhidrosis	Eccrine Nevus	Fabry Disease
241	0	0	D	2	Endogenous endophthalmitis with iris abscess	Streptococcal endophthalmitis	
242	1	1	D	1	Branch retinal vein occlusion with preretinal neovascularization	Age-related Macular Degeneration	Uveal Lymphoma
243	1	1	C	1	Juvenile spring eruption (JSE) associated with parvovirus B19 infection	Erythema Infectiosum	Parvovirus B19-associated Dermatitis
246	1	1	B	1	Tufted angioma with somatic KDR mutation	Atypical Vascular Proliferation	Angiosarcoma
249	0	0	D	2	CD8-positive granulomatous cutaneous T-cell lymphoma	Primary cutaneous CD8+ aggressive epidermotropic cytotoxic T-cell lymphoma	
27	0	1	D	2	Histiocytoid Sweet syndrome	Myeloid sarcoma	Leukemic cutis
28	0	0	B	2	Bayés syndrome (Advanced interatrial block with paroxysmal atrial arrhythmias)	Atrial Fibrillation	Atrial Flutter
29	1	1	A	1	IgG4-related rhinosinusitis with concurrent Streptococcus constellatus bacterial rhinosinusitis	IgG4-Related Orbital Disease	
3	1	1	C	1	Familial cerebral cavernous malformations	Cerebral Cavernous Malformations	
33	1	1	B	1	ST-segment elevation due to myocardial metastasis from squamous cell carcinoma of the lung	Metastatic Lung Cancer to the Heart	Cardiac Tamponade
36	1	1	B	1	Primary cutaneous cryptococcosis (PCC)	Cryptococcosis	
39	0	0	B	2	Metastatic Crohn disease	Sarcoidosis	
4	1	1	C	1	Microvenular hemangioma (MVH)	angioma	Arteriovenous Malformation
40	1	1	D	1	Invasive squamous cell carcinoma arising in a seborrheic keratosis of the eyelid	Squamous Cell Carcinoma	
