scope,arm,proxy,n,tp,fp,fn,tn,sensitivity,specificity,ppv,npv,f1,balanced_accuracy,mcc,false_positive_relation_counts,false_negative_relation_counts
DA,collapse3c,safe_exact,400,3,0,12,385,0.2,1.0,1.0,0.9697732997481109,0.3333333333333333,0.6,0.4404028382624505,{},"{""complete_equivalent"": 12}"
DA,collapse3c,legacy_chain,400,7,73,8,312,0.4666666666666667,0.8103896103896104,0.0875,0.975,0.14736842105263157,0.6385281385281385,0.1315903389919538,"{""partial_parent_or_component"": 73}","{""complete_equivalent"": 8}"
DA,collapse3c,task,400,15,237,0,148,1.0,0.38441558441558443,0.05952380952380952,1.0,0.11235955056179775,0.6922077922077923,0.1512675775727805,"{""conflicting_subtype_or_scope"": 28, ""manifestation_or_related"": 12, ""not_equivalent"": 20, ""partial_parent_or_component"": 177}",{}
DA,multistance,safe_exact,400,3,0,14,383,0.17647058823529413,1.0,1.0,0.964735516372796,0.3,0.5882352941176471,0.41261052345497384,{},"{""complete_equivalent"": 14}"
DA,multistance,legacy_chain,400,9,84,8,299,0.5294117647058824,0.7806788511749347,0.0967741935483871,0.9739413680781759,0.16363636363636364,0.6550453079404086,0.14808184242890413,"{""manifestation_or_related"": 1, ""partial_parent_or_component"": 83}","{""complete_equivalent"": 8}"
DA,multistance,task,400,16,231,1,152,0.9411764705882353,0.3968668407310705,0.06477732793522267,0.9934640522875817,0.12121212121212122,0.6690216556596529,0.14031432224232676,"{""conflicting_subtype_or_scope"": 26, ""manifestation_or_related"": 13, ""not_equivalent"": 16, ""partial_parent_or_component"": 176}","{""complete_equivalent"": 1}"
DA,lite,safe_exact,400,5,0,11,384,0.3125,1.0,1.0,0.9721518987341772,0.47619047619047616,0.65625,0.5511782546095504,{},"{""complete_equivalent"": 11}"
DA,lite,legacy_chain,400,7,96,9,288,0.4375,0.75,0.06796116504854369,0.9696969696969697,0.11764705882352941,0.59375,0.08402916318031355,"{""conflicting_subtype_or_scope"": 2, ""partial_parent_or_component"": 94}","{""complete_equivalent"": 9}"
DA,lite,task,400,14,227,2,157,0.875,0.4088541666666667,0.058091286307053944,0.9874213836477987,0.10894941634241245,0.6419270833333334,0.11366160742664932,"{""conflicting_subtype_or_scope"": 21, ""manifestation_or_related"": 12, ""not_equivalent"": 13, ""partial_parent_or_component"": 181}","{""complete_equivalent"": 2}"
DA,forest,safe_exact,400,2,0,12,386,0.14285714285714285,1.0,1.0,0.9698492462311558,0.25,0.5714285714285714,0.3722229067625158,{},"{""complete_equivalent"": 12}"
DA,forest,legacy_chain,400,7,105,7,281,0.5,0.727979274611399,0.0625,0.9756944444444444,0.1111111111111111,0.6139896373056994,0.09331420973586939,"{""conflicting_subtype_or_scope"": 1, ""manifestation_or_related"": 2, ""partial_parent_or_component"": 102}","{""complete_equivalent"": 7}"
DA,forest,task,400,14,241,0,145,1.0,0.3756476683937824,0.054901960784313725,1.0,0.10408921933085502,0.6878238341968912,0.14360986581316176,"{""conflicting_subtype_or_scope"": 22, ""manifestation_or_related"": 22, ""not_equivalent"": 19, ""partial_parent_or_component"": 178}",{}
DA,impc,safe_exact,400,5,0,8,387,0.38461538461538464,1.0,1.0,0.979746835443038,0.5555555555555556,0.6923076923076923,0.6138613083910974,{},"{""complete_equivalent"": 8}"
DA,impc,legacy_chain,400,9,108,4,279,0.6923076923076923,0.7209302325581395,0.07692307692307693,0.9858657243816255,0.13846153846153847,0.7066189624329159,0.16107983721114272,"{""conflicting_subtype_or_scope"": 1, ""manifestation_or_related"": 1, ""partial_parent_or_component"": 106}","{""complete_equivalent"": 4}"
DA,impc,task,400,13,237,0,150,1.0,0.3875968992248062,0.052,1.0,0.09885931558935361,0.6937984496124031,0.14196844283040483,"{""conflicting_subtype_or_scope"": 23, ""manifestation_or_related"": 19, ""not_equivalent"": 17, ""partial_parent_or_component"": 178}",{}
DA,e7,safe_exact,400,4,0,11,385,0.26666666666666666,1.0,1.0,0.9722222222222222,0.42105263157894735,0.6333333333333333,0.5091750772173156,{},"{""complete_equivalent"": 11}"
DA,e7,legacy_chain,400,8,73,7,312,0.5333333333333333,0.8103896103896104,0.09876543209876543,0.9780564263322884,0.16666666666666666,0.6718614718614719,0.162497493279709,"{""manifestation_or_related"": 1, ""partial_parent_or_component"": 72}","{""complete_equivalent"": 7}"
DA,e7,task,400,12,216,3,169,0.8,0.43896103896103894,0.05263157894736842,0.9825581395348837,0.09876543209876543,0.6194805194805195,0.09170044541476037,"{""conflicting_subtype_or_scope"": 28, ""manifestation_or_related"": 9, ""not_equivalent"": 15, ""partial_parent_or_component"": 164}","{""complete_equivalent"": 3}"
DA,v0,safe_exact,400,1,0,8,391,0.1111111111111111,1.0,1.0,0.9799498746867168,0.2,0.5555555555555556,0.32997472541034895,{},"{""complete_equivalent"": 8}"
DA,v0,legacy_chain,400,4,66,5,325,0.4444444444444444,0.8312020460358056,0.05714285714285714,0.9848484848484849,0.10126582278481013,0.637823245240125,0.10758608669558241,"{""partial_parent_or_component"": 66}","{""complete_equivalent"": 5}"
DA,v0,task,400,8,213,1,178,0.8888888888888888,0.45524296675191817,0.03619909502262444,0.994413407821229,0.06956521739130435,0.6720659278204035,0.1026388689019164,"{""conflicting_subtype_or_scope"": 27, ""manifestation_or_related"": 14, ""not_equivalent"": 12, ""partial_parent_or_component"": 160}","{""complete_equivalent"": 1}"
DA,B06,safe_exact,400,0,0,9,391,0.0,1.0,,0.9775,0.0,0.5,,{},"{""complete_equivalent"": 9}"
DA,B06,legacy_chain,400,2,96,7,295,0.2222222222222222,0.7544757033248082,0.02040816326530612,0.9768211920529801,0.037383177570093455,0.4883489627735152,-0.008035033830421496,"{""manifestation_or_related"": 1, ""partial_parent_or_component"": 95}","{""complete_equivalent"": 7}"
DA,B06,task,400,9,237,0,154,1.0,0.3938618925831202,0.036585365853658534,1.0,0.07058823529411765,0.69693094629156,0.12003991601116609,"{""conflicting_subtype_or_scope"": 20, ""manifestation_or_related"": 15, ""not_equivalent"": 19, ""partial_parent_or_component"": 183}",{}
DA,B07,safe_exact,400,4,0,8,388,0.3333333333333333,1.0,1.0,0.9797979797979798,0.5,0.6666666666666666,0.5714886933258843,{},"{""complete_equivalent"": 8}"
DA,B07,legacy_chain,400,6,79,6,309,0.5,0.7963917525773195,0.07058823529411765,0.9809523809523809,0.12371134020618557,0.6481958762886597,0.12359698045751276,"{""conflicting_subtype_or_scope"": 1, ""manifestation_or_related"": 1, ""partial_parent_or_component"": 77}","{""complete_equivalent"": 6}"
DA,B07,task,400,11,235,1,153,0.9166666666666666,0.3943298969072165,0.044715447154471545,0.9935064935064936,0.08527131782945736,0.6554982817869416,0.10902702508408182,"{""conflicting_subtype_or_scope"": 27, ""manifestation_or_related"": 15, ""not_equivalent"": 13, ""partial_parent_or_component"": 180}","{""complete_equivalent"": 1}"
DA,MACRO_OUTPUT,safe_exact,3600,27,0,93,3480,0.225,1.0,1.0,0.9739714525608733,0.3673469387755102,0.6125,0.46812773558741044,{},"{""complete_equivalent"": 93}"
DA,MACRO_OUTPUT,legacy_chain,3600,59,780,61,2700,0.49166666666666664,0.7758620689655172,0.07032181168057211,0.9779065555957986,0.12304483837330553,0.6337643678160919,0.11358905809562844,"{""conflicting_subtype_or_scope"": 5, ""manifestation_or_related"": 7, ""partial_parent_or_component"": 768}","{""complete_equivalent"": 61}"
DA,MACRO_OUTPUT,task,3600,112,2074,8,1406,0.9333333333333333,0.40402298850574714,0.05123513266239707,0.9943422913719944,0.0971379011274935,0.6686781609195402,0.12399932310759762,"{""conflicting_subtype_or_scope"": 222, ""manifestation_or_related"": 131, ""not_equivalent"": 144, ""partial_parent_or_component"": 1577}","{""complete_equivalent"": 8}"
MCR,collapse3c,safe_exact,400,65,0,42,293,0.6074766355140186,1.0,1.0,0.8746268656716418,0.7558139534883721,0.8037383177570093,0.7289138396877786,{},"{""complete_equivalent"": 42}"
MCR,collapse3c,legacy_chain,400,75,14,32,279,0.7009345794392523,0.9522184300341296,0.8426966292134831,0.8971061093247589,0.7653061224489796,0.826576504736691,0.6951290420439231,"{""partial_parent_or_component"": 14}","{""complete_equivalent"": 32}"
