case_id	opt@1	opt@2	gold_letter	gold_option_rank	gold_option	joint_top1	joint_top2
252	1	1	C	1	Folliculocentric lichen sclerosus et atrophicus	Keratosis pilaris	Lichen planopilaris
254	1	1	C	1	Pyomyositis of the levator scapulae muscle caused by Fusobacterium necrophorum	Fusobacterium necrophorum infection	Epidural abscess
255	0	0	D	2	Pemphigus erythematosus (Senear-Usher syndrome)	Subacute Cutaneous Lupus Erythematosus	
256	1	1	C	1	Paracentral acute middle maculopathy in sickle cell disease	Sickle Cell Retinopathy	
257	1	1	D	1	Heterozygous HTRA1-related cerebral small vessel disease (CSVD)	Familial Cerebral Amyloid Angiopathy related to HTRA1 mutation	Cerebral Autosomal Dominant Arteriopathy with Subcortical Infarcts and Leukoencephalopathy (CADASIL)
259	1	1	A	1	Right Bundle Branch Block (RBBB) with cardiac arrest due to hypoxemia from COPD exacerbation	Brugada Syndrome	Chronic Obstructive Pulmonary Disease Exacerbation
261	0	0	D	1	Cutaneous malakoplakia		
262	0	1	D	2	IBD-associated neutrophilic dermatosis with ulcerative colitis	Sweet syndrome	Neutrophilic dermatosis
266	1	1	C	1	Arrhythmogenic cardiomyopathy (AC) with biventricular involvement	Arrhythmogenic Right Ventricular Cardiomyopathy	
268	0	0	B	3	Ipsilateral hemisphere hemorrhagic stroke with peripheral-type facial paralysis	Intracerebral Hemorrhage	Thalamic hemorrhage
269	1	1	D	1	Severe generalized recessive dystrophic epidermolysis bullosa (RDEB) with revertant mosaicism	Dystrophic Epidermolysis Bullosa	
270	0	0	B	2	Dual atrioventricular (AV) nonreentrant tachycardia	Infective Endocarditis	Tricuspid Valve Endocarditis
272	1	1	D	1	Window-Period Acute Myocardial Infarction	myocardial infarction	acute coronary syndrome
273	0	0	B	2	Very severe chronic atopic hand eczema with moderate to severe atopic dermatitis	allergic contact dermatitis	
276	1	1	D	1	Carcinoma erysipelatoides arising from triple-negative breast cancer	carcinoma erysipeloides	metastases
281	0	0	A	2	Stage IIA Malignant Melanoma with subsequent development of metastasis and a second primary melanoma	metastatic melanoma	
283	1	1	C	1	Recurrent infiltrative basal cell carcinoma	Basal Cell Carcinoma	
284	1	1	C	1	Low-grade epithelioid pleural mesothelioma with tongue metastasis	Malignant Mesothelioma	
289	1	1	C	1	Frontotemporal lobar degeneration–motor neuron disease (FTLD-MND)	Progressive Supranuclear Palsy	
290	0	1	C	2	Wellens syndrome with critical left anterior descending coronary artery stenosis	Myocardial Infarction	Acute Coronary Syndrome
293	0	0	B	1	TEMPI syndrome	Hereditary Hemorrhagic Telangiectasia	
299	1	1	B	1	Exophytic Schneiderian papilloma	Inverted Papilloma	Verrucous Carcinoma
301	1	1	D	1	Paroxysmal Atrioventricular Block	Atrioventricular Block	Cardiac Syncope
302	1	1	B	1	Unilesional folliculotropic mycosis fungoides	Mycosis Fungoides	
303	1	1	C	1	Cutaneous Bacillus cereus infection with bacteremia	Bacillus cereus infection	Nocardia infection
306	0	0	B	1	Candida tropicalis meningoencephalitis	Anti-NMDAR Encephalitis	Inflammatory Pseudotumor
308	0	0	C	2	Periorbital Discoid Lupus Erythematosus (DLE)	Subacute Cutaneous Lupus Erythematosus	
310	1	1	D	1	Complete spinal cord injury (SCI) at C4-C5 level with intramedullary hemorrhage	Traumatic spinal cord injury	
312	0	0	D	3	Pseudo-α-galactosidase deficiency (PAGD) syndrome with mild neurocognitive disorder	Fabry disease	Multiple System Atrophy
313	0	0	C	2	Community-acquired methicillin-resistant Staphylococcus aureus (CA-MRSA) sepsis with septic vasculopathy	Neisseria meningitidis sepsis	Streptococcal Toxic Shock Syndrome
314	1	1	B	1	Peeling skin disease (PSD)	Acral Peeling Skin Syndrome	
317	0	0	B	1	Pyoderma vegetans	Pyoderma gangrenosum	Sweet syndrome
318	0	0	B	3	Dual tachycardia: Atrial flutter with accelerated idioventricular rhythm (AIVR)	Heart Failure with Reduced Ejection Fraction	Ischemic Cardiomyopathy
320	1	1	C	1	Peristomal localized pemphigus vulgaris	Pemphigus Vulgaris	
321	1	1	D	1	Syringocystadenocarcinoma papilliferum in situ (SCACPIS) arising in a precursor lesion of syringocystadenoma papilliferum (SCAP) with macular amyloidosis	hidradenoma papilliferum	Apocrine Papillary Carcinoma
325	1	1	A	1	Pigmented extramammary Paget disease	Extramammary Paget's Disease	
328	0	1	B	2	Chronic idiopathic urticaria (CIU) due to methylisothiazolinone contact sensitization	Dermatographic Urticaria	Chronic Idiopathic Urticaria
329	1	1	B	1	Secondary cardiac lymphoma	Cardiac Lymphoma	Lymphomatous Pericarditis
330	0	0	B	1	Trifascicular block (Right bundle-branch block with alternating left anterior and left posterior fascicular block)	Hypertrophic Cardiomyopathy	Left Ventricular Hypertrophy
333	0	0					
334	1	1	C	1	Phaeohyphomycosis	Chromoblastomycosis	Relapsing Polychondritis
337	0	0	B	2	Spindle cell lipoma (SCL) with focal intramuscular involvement	Madelung disease	Congenital infiltrative lipomatosis
341	1	1	C	1	Leukemia cutis secondary to juvenile myelomonocytic leukemia (JMML)	Langerhans cell histiocytosis	Juvenile Myelomonocytic Leukemia
347	0	0	D	2	Nonbullous neutrophilic lupus erythematosus	Subacute Cutaneous Lupus Erythematosus	
348	1	1	A	1	Asymptomatic posterior corneal dystrophy	Crocodile Shagreen Corneal Dystrophy	Primary lipoidal degeneration of the cornea
349	1	1	A	1	Cutaneous histoplasmosis	Cryptococcosis	Kaposi's sarcoma
350	1	1	B	1	Infrahisian Mobitz type I second-degree AV block (Wenckebach phenomenon occurring in His-Purkinje system)	Sick Sinus Syndrome	Intrinsic Cardiac Conduction Disease
352	0	0	B	1	Neurocysticercosis	Idiopathic Intracranial Hypertension	
353	1	1	A	1	Atypical epidermolysis bullosa nevus (benign)	Congenital Melanocytic Nevus	Atypical Nevus
354	1	1	B	1	COVID-19-associated papulovesicular eruption with endotheliitis-like changes	Paraneoplastic Pemphigus	Stevens-Johnson syndrome
355	0	0	C	2	Advanced interatrial block (IAB) with Bayés syndrome	Atrial Fibrillation	Cardiac Amyloidosis
356	0	0	B	2	Cutaneous cystinosis	Tuberous Sclerosis Complex	
357	0	0	D	2	Hailey-Hailey disease (HHD)	pyoderma gangrenosum	Mycosis Fungoides
359	1	1	C	1	Wolff-Parkinson-White (WPW) pattern with heart failure exacerbation	Heart failure with reduced ejection fraction	Cardiomyopathy
361	0	0	B	1	Slow-fast atrioventricular nodal reentry tachycardia (AVNRT)	Ventricular Tachycardia	
364	1	1	C	1	Actinic folliculitis	Pustular Psoriasis	Rosacea Fulminans
365	0	0	A	2	Fibrosis and ulceration caused by meperidine	Necrotizing Fasciitis	Factitial Panniculitis
367	1	1	D	1	Ciliary body myxoma	Schwannoma	Neurofibroma
368	1	1	D	1	Ichthyosiform mycosis fungoides	Mycosis Fungoides	Cutaneous T-Cell Lymphoma
372	0	0	B	2	Elevated Lipoprotein(a) causing discordance between direct and calculated LDL cholesterol measurements	Familial Hypercholesterolemia	Dysbetalipoproteinemia
373	1	1	A	1	Anastrozole-associated crystalline retinopathy	Anastrozole-Associated Retinopathy	Bietti Crystalline Dystrophy
374	1	1	B	1	Atypical Atrioventricular Nodal Reentrant Tachycardia (Atypical AVNRT)	Atrioventricular Nodal Reentrant Tachycardia	Atrial Flutter
375	0	0	A	2	Herpes vegetans	Buschke-Lowenstein tumor	Herpes Simplex Virus Infection
379	0	1	C	2	Neurotropic melanoma with orbital spread	Malignant Melanoma	Neurotropic Melanoma
381	1	1	B	1	Good syndrome	Thymoma-associated Immunodeficiency	Paraneoplastic Pemphigus
382	0	0	C	1	Genital porokeratosis (GP)	Darier's disease	
383	1	1	B	1	Primary cutaneous embryonal rhabdomyosarcoma	Embryonal Rhabdomyosarcoma	
387	1	1	D	1	Primary B-cell mucosa-associated lymphoid tissue (MALT) lymphoma of the iris	Uveal Lymphoma	Iris Lymphoma
389	0	0	B	2	Cranial nerve 7 (CN7) paresis secondary to acute bacterial sinusitis	Orbital Cellulitis	Acute rhinosinusitis
391	1	1	C	1	Lepromatous leprosy with type 2 leprosy reaction (T2R)	Sarcoidosis	Leprosy
392	1	1	D	1	Pigmented onychomatricoma	Onychomatricoma	subungual hyperkeratosis
397	1	1	B	1	Mirror-image dextrocardia with acute inferior wall and right ventricular myocardial infarction due to proximal right coronary artery occlusion	Acute Myocardial Infarction	acute coronary syndrome
398	0	0	A	1	Poikilodermatous plaque-like hemangioma (PPH)	Kaposi's sarcoma	
399	0	1	D	2	Atrioventricular nodal reentrant tachycardia (AVNRT)	Heart Failure with Reduced Ejection Fraction	Atrioventricular Nodal Reentrant Tachycardia
400	0	0	B	2	Advanced Parkinson disease	Rapid Eye Movement Sleep Behavior Disorder	
402	0	0	D	2	Mycobacterium chelonae sinusitis	Tuberculosis	
404	0	0	C	3	Pemetrexed-induced inflammatory and sclerotic edema	Scleroderma	Nephrogenic Systemic Fibrosis
409	0	0	A	2	Bilateral syphilitic panuveitis with neurosyphilis	Syphilitic Uveitis	
410	1	1	B	1	Cutaneous cholesterol embolism	Atheroembolism	Cholesterol Crystal Embolism
411	0	0	D	2	Left posterior fascicular ventricular tachycardia (FVT)	Atrioventricular Nodal Reentrant Tachycardia	dilated cardiomyopathy
413	1	1	B	1	Cutaneous Langerhans cell histiocytosis (LCH) with concurrent evolving acute myeloid leukemia (AML)	Langerhans cell histiocytosis	Blastic Plasmacytoid Dendritic Cell Neoplasm
414	0	0	A	1	Juvenile-onset glaucoma with compound heterozygous LTBP2 mutations	Weill-Marchesani syndrome	
415	1	1	B	1	Acute myocardial infarction due to critical stenosis of the proximal left anterior descending artery, presenting with de Winter ECG pattern evolving to Wellens syndrome	myocardial infarction	
416	1	1	B	1	Mirror-image dextrocardia	Situs Inversus with Dextrocardia	
420	1	1	B	1	Fulminant Myocarditis	myocarditis	
421	0	0	C	2	Rowell syndrome	Systemic Lupus Erythematosus with acute cutaneous lupus erythematosus (ACLE) flare	
