case_key,slice_id,family,source_id,arm,success,raw_gold_recall,gold_rank,strict_top1,champion_label,champion_confidence,top1_probability,margin,cache_hit,error
DA_d2_heldout100/259,DA_d2_heldout100,DA,259,raw_vignette,True,False,,False,Acute massive pulmonary embolism with cardiac arrest (PEA),0.85,0.7,high,False,
DA_d2_heldout100/259,DA_d2_heldout100,DA,259,flat_facts,True,False,,False,Acute massive pulmonary embolism with obstructive shock and pulseless electrical activity cardiac arrest,0.7,0.7,high,False,
DA_d2_heldout100/259,DA_d2_heldout100,DA,259,typed_event_graph,True,False,,False,Massive pulmonary embolism causing pulseless electrical activity cardiac arrest,0.45,0.45,medium,False,
DA_d2_heldout100/262,DA_d2_heldout100,DA,262,raw_vignette,True,False,,False,"Sweet syndrome (acute febrile neutrophilic dermatosis) with systemic involvement (colitis, panniculitis, arthritis)",0.9,0.85,high,False,
DA_d2_heldout100/262,DA_d2_heldout100,DA,262,flat_facts,True,False,,False,Ulcerative colitis (active) with Sweet syndrome and erythema nodosum,0.7,0.7,high,False,
DA_d2_heldout100/262,DA_d2_heldout100,DA,262,typed_event_graph,True,False,,False,Ulcerative colitis with extraintestinal manifestations (erythema nodosum and pyoderma gangrenosum),0.85,0.7,high,False,
DA_d2_heldout100/266,DA_d2_heldout100,DA,266,raw_vignette,True,False,,False,Arrhythmogenic right ventricular cardiomyopathy (ARVC) with sustained monomorphic ventricular tachycardia and right ventricular systolic dysfunction,0.92,0.92,high,False,
DA_d2_heldout100/266,DA_d2_heldout100,DA,266,flat_facts,False,False,,False,,,,,False,construction_failure: graph node source_quote must be a vignette substring
DA_d2_heldout100/266,DA_d2_heldout100,DA,266,typed_event_graph,False,False,,False,,,,,False,construction_failure: graph node source_quote must be a vignette substring
DA_d2_heldout100/268,DA_d2_heldout100,DA,268,raw_vignette,True,False,,False,Hypertensive left thalamic hemorrhage with intraventricular extension,0.85,0.85,high,False,
DA_d2_heldout100/268,DA_d2_heldout100,DA,268,flat_facts,True,False,,False,Acute left thalamic and corona radiata hemorrhage (hypertensive) causing right hemiplegia and right central facial palsy,0.9,0.85,high,False,
DA_d2_heldout100/268,DA_d2_heldout100,DA,268,typed_event_graph,True,False,,False,Hypertensive intracerebral hemorrhage in the left thalamus/corona radiata with right hemiplegia and right central facial palsy,0.85,0.85,high,False,
DA_d2_heldout100/269,DA_d2_heldout100,DA,269,raw_vignette,True,False,,False,隐性营养不良型大疱性表皮松解症（RDEB）伴体细胞逆转镶嵌（revertant mosaicism）,0.92,0.92,high,False,
DA_d2_heldout100/269,DA_d2_heldout100,DA,269,flat_facts,True,False,,False,Recessive dystrophic epidermolysis bullosa (COL7A1 compound heterozygous) with chronic non-healing ulcer and revertant mosaicism,0.95,0.95,high,False,
DA_d2_heldout100/269,DA_d2_heldout100,DA,269,typed_event_graph,True,False,,False,"Recessive dystrophic epidermolysis bullosa (RDEB) with revertant mosaicism, presenting as a chronic non-healing ulcer",0.92,0.92,high,False,
DA_d2_heldout100/273,DA_d2_heldout100,DA,273,raw_vignette,True,False,,False,"Atopic dermatitis with superimposed allergic contact dermatitis of the hands (chronic hand eczema, atopic and allergic contact type)",0.8,0.7,high,False,
DA_d2_heldout100/273,DA_d2_heldout100,DA,273,flat_facts,True,False,,False,Atopic dermatitis with chronic hand eczema and allergic contact sensitization to nickel and cobalt,0.75,0.75,high,False,
DA_d2_heldout100/273,DA_d2_heldout100,DA,273,typed_event_graph,True,False,,False,"Chronic allergic contact dermatitis of the hands due to nickel, cobalt, and sesquiterpene lactone mix, on a background of atopic dermatitis (history of asthma, rhinitis, childhood eczema)",0.85,0.85,medium,False,
DA_d2_heldout100/281,DA_d2_heldout100,DA,281,raw_vignette,True,False,,False,"Cutaneous melanoma, stage III (N1b, M0) with regional lymph node metastasis (extracapsular extension) and locoregional recurrence with skin metastasis, BRAF V600E mutation positive initially",0.92,0.92,high,False,
DA_d2_heldout100/281,DA_d2_heldout100,DA,281,flat_facts,True,False,,False,"Recurrent infiltrating melanoma of left cervical region with regional lymph node metastasis (stage III), BRAF V600E mutation status conflicting",0.85,0.65,high,False,
DA_d2_heldout100/281,DA_d2_heldout100,DA,281,typed_event_graph,True,False,,False,"Stage III melanoma with regional lymph node metastasis and locoregional recurrence, BRAF V600E mutation positive",0.85,0.7,high,False,
DA_d2_heldout100/290,DA_d2_heldout100,DA,290,raw_vignette,True,False,,False,Unstable angina (Wellens' syndrome) due to total occlusion of the left anterior descending artery,0.9,0.8,high,False,
DA_d2_heldout100/290,DA_d2_heldout100,DA,290,flat_facts,True,False,,False,Unstable angina (acute coronary syndrome) due to critical proximal LAD stenosis/occlusion with Wellens' syndrome ECG pattern,0.75,0.75,high,False,
DA_d2_heldout100/290,DA_d2_heldout100,DA,290,typed_event_graph,True,False,,False,Unstable angina due to critical stenosis of left anterior descending artery,0.85,0.85,high,False,
DA_d2_heldout100/303,DA_d2_heldout100,DA,303,raw_vignette,True,False,,False,"Disseminated nocardiosis (Nocardia species) with cutaneous lesions, hepatic abscesses, and cerebral abscesses",0.92,0.92,high,False,
DA_d2_heldout100/303,DA_d2_heldout100,DA,303,flat_facts,True,False,,False,"Disseminated nocardiosis (Nocardia spp.) with cutaneous, hepatic, and cerebral involvement in an immunocompromised infant",0.82,0.82,high,False,
DA_d2_heldout100/303,DA_d2_heldout100,DA,303,typed_event_graph,True,False,,False,"Disseminated nocardiosis in a pediatric patient with acute lymphoblastic leukemia on reinduction chemotherapy, presenting with febrile neutropenia, cutaneous vesicles, and hepatic and cerebral lesions",0.85,0.85,high,False,
DA_d2_heldout100/310,DA_d2_heldout100,DA,310,raw_vignette,True,False,,False,Acute traumatic cervical spinal cord injury (complete) at C4-C5 with fracture-dislocation and spinal cord compression/ischemia,0.85,0.85,high,False,
DA_d2_heldout100/310,DA_d2_heldout100,DA,310,flat_facts,True,False,,False,"Acute traumatic spinal cord injury at C4-C5 with spinal cord compression and infarction, complete cord syndrome (ASIA A)",0.95,0.95,high,False,
DA_d2_heldout100/310,DA_d2_heldout100,DA,310,typed_event_graph,True,False,,False,Acute traumatic cervical spinal cord injury at C4-C5 with complete cord syndrome and spinal cord infarction (secondary to trauma),0.85,0.85,high,False,
DA_d2_heldout100/318,DA_d2_heldout100,DA,318,raw_vignette,True,False,,False,Dual tachycardia (simultaneous atrial tachycardia and ventricular tachycardia) in the setting of ischemic cardiomyopathy,0.95,0.9,high,False,
DA_d2_heldout100/318,DA_d2_heldout100,DA,318,flat_facts,True,False,,False,"Acute decompensated heart failure with reduced ejection fraction secondary to ischemic cardiomyopathy, NYHA class IV, complicated by dual tachycardia (atrial tachycardia and likely AV nodal reentrant tachycardia) and cardiorenal syndrome (elevated creatinine).",0.7,0.62,medium,False,
DA_d2_heldout100/318,DA_d2_heldout100,DA,318,typed_event_graph,True,False,,False,"Acute decompensated heart failure (ADHF) with reduced ejection fraction (HFrEF) due to ischemic cardiomyopathy, exacerbated by dual tachycardia (atrial tachycardia and wide QRS tachycardia), NYHA class IV",0.85,0.8,high,False,
DA_d2_heldout100/321,DA_d2_heldout100,DA,321,raw_vignette,True,False,,False,Syringocystadenoma papilliferum with malignant transformation (apocrine adenocarcinoma in situ),0.85,0.7,high,False,
DA_d2_heldout100/321,DA_d2_heldout100,DA,321,flat_facts,False,False,,False,,,,,False,construction_failure: flat fact source_quote must be a vignette substring
DA_d2_heldout100/321,DA_d2_heldout100,DA,321,typed_event_graph,False,False,,False,,,,,False,construction_failure: flat fact source_quote must be a vignette substring
DA_d2_heldout100/328,DA_d2_heldout100,DA,328,raw_vignette,True,False,,False,Chronic spontaneous urticaria (CSU),0.55,0.55,medium,False,
DA_d2_heldout100/328,DA_d2_heldout100,DA,328,flat_facts,True,False,,False,"Chronic spontaneous urticaria with dermatographism, refractory to omalizumab",0.85,0.7,high,False,
DA_d2_heldout100/328,DA_d2_heldout100,DA,328,typed_event_graph,True,False,,False,Chronic spontaneous urticaria,0.7,0.7,high,False,
DA_d2_heldout100/330,DA_d2_heldout100,DA,330,raw_vignette,True,False,,False,Syncope due to intermittent complete heart block (Stokes-Adams attack) in the setting of trifascicular block,0.85,0.7,high,False,
DA_d2_heldout100/330,DA_d2_heldout100,DA,330,flat_facts,True,False,,False,Intermittent complete heart block (third-degree AV block) with syncope (Stokes-Adams attack),0.85,0.55,medium,False,
DA_d2_heldout100/330,DA_d2_heldout100,DA,330,typed_event_graph,True,False,,False,"Syncope due to intermittent complete heart block (Stokes-Adams attack) secondary to trifascicular block (RBBB, alternating LAFB/LPFB, and first-degree AV block) in the setting of hypertensive heart disease",0.85,0.85,high,False,
DA_d2_heldout100/337,DA_d2_heldout100,DA,337,raw_vignette,True,False,,False,Spindle cell lipoma of the right nasal ala and cheek,0.85,0.7,high,False,
DA_d2_heldout100/337,DA_d2_heldout100,DA,337,flat_facts,True,False,,False,"Spindle cell lipoma of the nose, recurrent after incomplete excision",0.7,0.7,high,False,
DA_d2_heldout100/337,DA_d2_heldout100,DA,337,typed_event_graph,True,False,,False,Dermatofibrosarcoma protuberans (DFSP) of the nose,0.65,0.65,high,False,
