case_key,gold,verdict,n_branches,decision_flow,excludes,rule_source,residual_obstacle,methods_correct_of_4,note
DA_d2_heldout200b/522,Catatonia related to underlying Lewy body dementia,separable_corpus_grounded,3,回声性动作/模仿顺从/缄默/凝视 → 满足紧张症 → 排除单纯谵妄、抑郁 → 波动性认知 + 反复视幻觉（DLB 两项核心特征）→ 病因为 DLB 而非 MDD → → 紧张症继发于路易体痴呆,Catatonia（单列）、Major depressive disorder、Delirium、Vascular dementia,merck: 波动性认知是 DLB 相对特异的特征；成形视幻觉提示 DLB,,0,
DA_d2_heldout200b/773,Idiopathic Pulmonary Arterial Hypertension with Patent Foramen Ovale,separable_corpus_grounded,3,肺动脉压 60/39 低于主动脉压 → 未达体循环水平 → 不符合 Eisenmenger → 7.34 mm PFO 不是大量左向右分流，无法造成 Eisenmenger 生理 → 肺动脉造影排除 PE/AVM → 肺动脉高压为特发性，PFO 为并存且右向左分流,Eisenmenger Syndrome（四方法一致答案）、CTEPH、Congenital heart disease,merck: 大量左向右分流（大 VSD/PDA/ASD）才导致 Eisenmenger 反应,,0,
DA_d2_seq100/119,Eruptive pruritic papular porokeratosis (EPPP),separable_corpus_grounded,3,活检见发育良好的角样板层 → 汗孔角化症 → 排除 Darier/Grover/银屑病等 → 皮损散在于四肢而非沿 Blaschko 线 → 排除线状汗孔角化症 → 三个月内快速播散 + 剧烈瘙痒 + 真皮嗜酸细胞浸润 → 嗜酸性丘疹型而非 DSAP/DSP,Darier's disease、Grover's disease（四方法答案）、DSAP、DSP,statpearls: 角样板层是汗孔角化症的组织学标志；并列出 eruptive pruritic papular porokeratosis 变体,,0,
MCR_seq200b/257,collar button abscess,separable_corpus_grounded,3,1.5 cm 波动性肿块 → 脓肿，排除蜂窝织炎；X 线骨质完整 → 排除骨髓炎 → Kanavel 四征只满足腱鞘局部压痛一项，无梭形肿胀、无被动伸指痛 → 不符合化脓性屈肌腱鞘炎 → 病灶中心位于掌侧指蹼间隙 → 掌间隙脓肿中的领扣状脓肿,Pyogenic Flexor Tenosynovitis（四方法一致答案）、Cellulitis、Septic arthritis,statpearls: Kanavel 四征定义；merck: 掌部脓肿包括 collar-button abscess,,0,
MCR_seq200b/326,Brucellosis,separable_corpus_grounded,3,题目问病因诊断而非解剖诊断 → 硬膜外脓肿/脊柱炎是病变而非答案 → 破损手接触未消毒羊胃 + 发热盗汗一月 → 布鲁氏菌暴露 → 血培养革兰阴性杆菌 + 头孢丙烯无效 + 结核血清学阴性 → 布鲁氏菌病,Spinal epidural abscess（四方法答案）、Spondylodiscitis、Pott's disease,merck: B. melitensis 来自绵羊与山羊；未消毒乳制品为传播途径,,0,
MCR_seq200b/475,Parsonage Turner Syndrome,separable_corpus_grounded,3,肌电图失神经不止于骨间前神经支配肌，还累及肱二头肌、肱三头肌、三角肌 → 超出单一神经 → 受累范围跨越多神经、MRI 正常、既往健康的青年急性起病 → 臂丛神经炎 → → 神经痛性肌萎缩 / Parsonage-Turner 综合征,Anterior Interosseous Nerve Syndrome（四方法一致答案）、Radial/Ulnar neuropathy,merck: 急性臂丛神经炎（神经痛性肌萎缩、Parsonage-Turner 综合征）多见于青年,,0,
MCR_v1_seq100/49,StumpAppendicitis,separable_corpus_grounded,3,CT 见盲肠极部肿胀增厚的管状结构 → 阑尾样结构炎症 → 八个月前已行阑尾切除、病灶紧邻手术夹 → 为残端而非原阑尾 → → 残端阑尾炎（伴盲肠周围积液）,Abscess、Appendiceal abscess（impc/forest 答案）、Cecal diverticulitis,statpearls: 残端阑尾炎定义为切除不全后残留过长阑尾残端的复发性阑尾炎,,2,
MCR_v1_seq100/74,Catecholaminergic polymorphic ventricular tachycardia,separable_corpus_grounded,3,超声心动图室壁厚度正常 → 排除肥厚型心肌病 → QTc 380 ms 正常 → 排除长 QT 综合征；无 Brugada 波形 → 排除 Brugada → 电解质与生化正常 → 排除代谢性；心脏结构正常青年在嘈杂环境（肾上腺素能应激）下 VF → CPVT,Long QT Syndrome（三方法答案）、Hypertrophic Cardiomyopathy、Brugada syndrome,manifest_cpg/pmc_oa: CPVT 为心脏结构正常者随肾上腺素能刺激加重的多形性室速,,1,
MCR_v1_seq100/56,Spindle cell squamous cell carcinoma,separable_corpus_grounded,3,牙龈黏膜部位的恶性梭形细胞增生，伴异型核分裂 → p63 阳性提示鳞状上皮分化，即便全角蛋白阴性 → 上皮源性 → → 梭形细胞（肉瘤样）鳞癌，而非放射后肉瘤或真性肉瘤,Postradiation Sarcoma、Malignant Spindle Cell Sarcoma、Osteosarcoma,pmc_oa: 肉瘤样鳞癌梭形成分 p63/p40 灶性阳性可确认上皮起源,,1,推翻前一轮 source-gap 判定：扩展语料确有该免疫组化规则
MCR_v1_seq100/91,Angiosarcoma,separable_needs_outside,3,CD31 与 Fli-1 阳性 → 内皮分化 → CD34 阴性、Bcl-2 阴性 → 不支持孤立性纤维性肿瘤/血管外皮瘤 → 20 个核分裂/10HPF + 侵犯大脑镰与皮质 → 恶性内皮肿瘤，排除海绵状血管瘤,Hemangiopericytoma（三方法答案）、Solitary Fibrous Tumor、Cavernous angioma,缺：语料有 SFT 的 STAT6 重排，但无 CD31/Fli-1 与 CD34/Bcl-2 的对照表述,,0,
MCR_v2_seq100/179,hypoxia-induced thrombocytopenia,separable_needs_outside,3,凝血功能与血涂片正常、抗血小板抗体阴性 → 不支持免疫性血小板减少 → IVIG 后血小板未升（77 000）→ 进一步否定免疫机制 → 四个时点血小板随 SaO2 同向变化（80%→103k，95%→173k，85-87%→225k，80%→68k）→ 低氧驱动,Immune thrombocytopenia、Tetralogy of Fallot with pulmonary atresia（四方法答案，答错了轴）,缺：语料仅述紫绀型先心病慢性低氧致继发性红细胞增多，未述低氧致血小板减少；但推断所需数据全在 vignette 内,,0,
DA_d2_heldout100/272,Window-Period Acute Myocardial Infarction,concept_only,3,冠脉造影示 LAD 近端次全闭塞 → 冠脉事件，排除 PE/主动脉夹层/高血压急症 → 无 ST 抬高 → 非 STEMI；V2-V5 超急性 T 波为 STEMI 等危征象 → 单次肌钙蛋白正常不能排除 MI（需系列检测）→ 处于标志物升高前的时间窗,Acute Coronary Syndrome（三方法答案）、Unstable Angina,merck: 单次心肌标志物正常不排除心源性，需系列检测；pmc_oa: 超急性 T 波为早期 STEMI 等危征象,假设集中 'Myocardial Infarction with Normal Troponin' 与金标同义，二者之间无临床分支可判,0,
DA_d2_heldout200b/646,Radiation-induced solitary rectal ulcer,concept_only,3,三个月前前列腺放疗且置入 SpaceOAR 间隔物 → 放射相关 → 直肠其余部分完全正常、无放射性直肠炎改变 → 排除放射性直肠炎/直肠病 → 孤立性深凿状前壁溃疡 + 活检无恶性 → 放射所致的孤立性溃疡,Radiation Proctitis（四方法一致答案）、Solitary Rectal Ulcer Syndrome,merck/pmc_oa: 孤立性直肠溃疡综合征源于长期用力排便与脱垂，与放射无关,选项 C 'radiation-induced rectal ulcer (radiation proctopathy)' 与金标近乎同义，选项集本身有缺陷,0,
DA_d2_seq100/5,Left maxillary giant cell reparative granuloma (GCRG),concept_only,3,活检见多核巨细胞的梭形细胞增生 → 巨细胞病变，排除骨化纤维瘤、青少年鼻咽血管纤维瘤、纤维异常增殖症 → 无细胞异型性、核分裂罕见 → 反应性/修复性而非真性巨细胞瘤 → 上颌骨（颌面骨）部位 → 颌骨巨细胞肉芽肿,Giant Cell Tumor（两方法答案）、Juvenile Nasopharyngeal Angiofibroma（两方法答案）,缺：语料未见 GCRG 与真性巨细胞瘤在异型性上的对照表述,选项 C 'Central Giant Cell Granuloma' 与金标 GCRG 是同一实体的新旧命名，无临床分支可分,0,
MCR_seq200b/409,Chronic necrotizing pancreatitis,concept_only,3,胸水淀粉酶 11 871 U/L → 胰源性胸腔积液，排除心衰/PE/结核/脓胸 → CT 见胰腺多发无强化囊性区、无导管扩张与钙化 → 坏死性而非钙化性慢性胰腺炎 → 四个月前重症急性胰腺炎病史 → 持续的坏死性病程,Pancreaticopleural fistula 系列答案（四方法）、Acute pancreatitis、Empyema,语料有胰源性胸水的淀粉酶判据与胰瘘机制,问的是胸水机制（胰瘘）还是底层胰腺病，属回答轴之争；且'慢性坏死性胰腺炎'非 Atlanta 标准术语（对应包裹性坏死）,0,
DA_d2_heldout100/348,Asymptomatic posterior corneal dystrophy,underivable,1,可排除 PPMD（无内皮小泡/滴状赘疣）、Descemet 前营养不良（非同心完整环）,Fuchs endothelial dystrophy、Schnyder、Crocodile shagreen,缺：金标是该病例报告新描述的实体，参考文献中不存在其准入规则,只能靠排除法落到剩余选项，没有指向该实体的正向规则,0,
DA_d2_heldout200b/551,Linagliptin-induced acute pancreatitis,underivable,1,可确立急性胰腺炎；可排除胆源性（已胆囊切除）、酒精性、高甘油三酯性,Acute Pancreatitis（三方法答案）、Diabetic Ketoacidosis,n/a,vignette 列出 11 种在用药物，其中没有 linagliptin，药物归因无法推出,0,
DA_d2_heldout200b/566,"High-grade (3A) follicular lymphoma, stage IVB",underivable,1,可确立 B 细胞淋巴瘤伴 BCL2 异常表达与高 Ki-67,Primary Effusion Lymphoma、DLBCL、Castleman disease,n/a,活检只报告'小到大 B 淋巴细胞混合'，从未报告滤泡结构或中心母细胞计数，3A 分级无从判定；CD10 阴性也不指向滤泡性,0,
DA_d2_seq100/19,Follicular thyroid carcinoma with manubrial invasion,underivable,1,可确立滤泡性甲状腺癌（FNA 滤泡细胞、滤泡浸润骨小梁）、排除乳头状,Thyroid metastasis to bone、Metastatic follicular thyroid carcinoma,缺,'直接侵犯'与'血行骨转移'的分支需要胸骨柄病灶与胸骨后甲状腺床连续性的证据，vignette 未描述,0,
MCR_v2_seq100/146,Diffuse large B cell lymphoma,underivable,1,可确立回肠狭窄伴溃疡；QuantiFERON 阳性使肠结核成为合理答案,Intestinal Tuberculosis（四方法答案）、Crohn's disease,n/a,vignette 写明取了回肠与结肠分段活检，但从未报告病理结果；金标只能由未给出的组织学得出,0,
MCR_v2_seq100/202,Mantle cell lymphoma,underivable,1,可确立硬腭双侧缓慢生长的实性肿物、骨未受累,Torus Palatinus（三方法答案）、Giant Cell Granuloma,n/a,已行切除但未报告任何组织学或 cyclin D1/SOX11/t(11;14) 结果，金标无从推出,0,
MCR_v2_seq100/234,SpindleCellHemangioma,underivable,1,可确立额骨溶骨性、皂泡样、明显强化的病变,Giant Cell Tumor（三方法答案）、Aneurysmal bone cyst、Eosinophilic granuloma,n/a,全文无组织学；影像所见与多种巨细胞/血管性病变重叠，金标需病理确认,0,
