case_id	opt@1	opt@2	gold_letter	gold_option_rank	gold_option	joint_top1	joint_top2
1	0	0	C	2	drug-induced interstitial nephritis	Cholesterol Embolization Syndrome	
10	1	1	B	1	myocardial contusion	myocardial contusion	myocardial infarction
100	1	1	A	1	adhesive capsulitis (frozen shoulder)	Adhesive Capsulitis (Frozen Shoulder)	
102	1	1	A	1	osteomyelitis	Ewing Sarcoma	
103	1	1	C	1	copper deficiency	Vitamin B12 deficiency	Folate deficiency
104	0	0	A	3	illicit drug use (such as methamphetamines, cocaine, synthetic cannabinoids)	serotonin syndrome	Neuroleptic Malignant Syndrome
106	1	1	A	1	neonatal sepsis	Tetanus Neonatorum	Neonatal Tetanus
107	1	1	E	1	adhesive capsulitis (frozen shoulder)	rotator cuff tear	
108	1	1	B	1	phyllodes tumor	Phyllodes tumor	Papillary carcinoma
109	1	1	C	1	dermatitis herpetiformis	bullous pemphigoid	
11	1	1	E	1	diabetes-related joint disease	Hemochromatosis	
110	0	1	D	2	circadian rhythm sleep disorder	Advanced Sleep Phase Syndrome	Circadian Rhythm Sleep Disorder
111	0	1	C	2	osteoarthritis	Patellofemoral Pain Syndrome	Osteoarthritis
112	1	1	B	1	multiple sclerosis	Multiple Sclerosis	Multiple Sclerosis
113	0	0	A	1	bacterial vaginosis		
12	1	1	A	1	endometriosis	Endometriosis	dysmenorrhea
13	1	1	A	1	tension pneumothorax	tension pneumothorax	
14	1	1	C	1	biliary atresia	Rh incompatibility	
15	1	1	B	1	aortic regurgitation	Aortic Regurgitation	Dilated Cardiomyopathy
16	1	1	A	1	Borderline Personality Disorder	Borderline Personality Disorder	
17	1	1	A	1	hepatic encephalopathy	Spontaneous Bacterial Peritonitis (SBP)	Cirrhosis
18	1	1	E	1	Zika virus	Zika virus infection	
2	0	1	D	2	histoplasmosis	Blastomycosis	Histoplasmosis
20	1	1	A	1	neonatal hepatitis	Biliary Atresia	Galactosemia
21	1	1	A	1	vascular insufficiency (atherosclerosis, arteriosclerosis)	Leriche Syndrome	
22	1	1	A	1	Alzheimer's disease	Frontotemporal Dementia	
23	1	1	A	1	measles (rubeola)	Varicella (Chickenpox)	
24	1	1	A	1	stress cardiomyopathy (Takotsubo)	Takotsubo cardiomyopathy	heart failure
25	1	1	A	1	osteoarthritis	Osteoarthritis	
26	1	1	B	1	epididymitis	Epididymitis	
28	1	1	A	1	acute cholecystitis	Acute Cholecystitis	
29	0	1	G	2	Factitious disorder	Exogenous insulin administration	Factitious Disorder
3	0	0	F	1	psoriatic arthritis		
30	1	1	A	1	dysmenorrhea	dysmenorrhea	
31	1	1	A	1	various infectious diseases	Chikungunya	
