case_key,slice_id,family,source_id,arm,success,candidate_n,gold_rank,gold_top1_by_id,strict_top1,champion_label,champion_relation,top1_probability,margin,pool_sha256,cache_hit,error
DA_d2_heldout100/257,DA_d2_heldout100,DA,257,base4,True,4,1,True,True,Heterozygous HTRA1-related cerebral small vessel disease (CSVD),base,0.75,high,e54119577cd53f997bd6ee6fc0c9648af107444410234c3c53cc19e52875d636,False,
DA_d2_heldout100/257,DA_d2_heldout100,DA,257,remove_non_gold3,True,3,1,True,True,Heterozygous HTRA1-related cerebral small vessel disease (CSVD),base,0.9,high,b62fbd1154a3eeac88981b08880a918d83be989878af16b1288a31ee42983f5e,False,
DA_d2_heldout100/257,DA_d2_heldout100,DA,257,add_parent5,True,5,1,True,True,Heterozygous HTRA1-related cerebral small vessel disease (CSVD),base,0.85,medium,541b7620155550acba7683e41907614807a75e8d58d74846e7c94a98b5e3cc8a,False,
DA_d2_heldout100/257,DA_d2_heldout100,DA,257,add_sibling5,True,5,1,True,True,Heterozygous HTRA1-related cerebral small vessel disease (CSVD),base,0.95,high,2374ff21bbe51b4b667c74441e931d2f05e7b7e5b84f149d33dbe1b11b3a6f1e,False,
DA_d2_heldout100/257,DA_d2_heldout100,DA,257,add_unrelated5,True,5,1,True,True,Heterozygous HTRA1-related cerebral small vessel disease (CSVD),base,0.9,high,cf19c5870af91820ce95579f500182bdeaf05802929f5ac9ed2ad694feeabee1,False,
DA_d2_heldout100/257,DA_d2_heldout100,DA,257,add_synonym5,True,5,1,True,True,Heterozygous HTRA1-related cerebral small vessel disease (CSVD),base,0.9,high,58788e57c9f2e7b4b8a38836946beb655df72745ec5154fb71828d3e277466d3,False,
DA_d2_heldout100/257,DA_d2_heldout100,DA,257,add_component5,True,5,1,True,True,Heterozygous HTRA1-related cerebral small vessel disease (CSVD),base,0.9,high,9c746cc17fa823c7ea2e03299a083506216845c286933324c673a29d5a3c9833,False,
DA_d2_heldout100/257,DA_d2_heldout100,DA,257,nested_width6,True,6,2,False,False,HTRA1-related autosomal dominant cerebral small vessel disease,base,0.8,high,282ca07a8fa00b1711270c190b80a96b39be9cb8f1b4b922e5922a7a51e5f756,False,
DA_d2_heldout100/257,DA_d2_heldout100,DA,257,nested_width8,True,8,2,False,False,HTRA1-related autosomal dominant cerebral small vessel disease,base,0.8,high,38b44953840840a09b81b16c8eca1addadd34c932f439275d10c4a81c04075ee,False,
DA_d2_heldout100/259,DA_d2_heldout100,DA,259,base4,True,4,1,True,True,Right Bundle Branch Block (RBBB) with cardiac arrest due to hypoxemia from COPD exacerbation,base,0.65,medium,312e2bf67eab8b8674a5f8de7996b55c83530589e7b62ac6a030ed6d01842c1e,False,
DA_d2_heldout100/259,DA_d2_heldout100,DA,259,remove_non_gold3,True,3,1,True,True,Right Bundle Branch Block (RBBB) with cardiac arrest due to hypoxemia from COPD exacerbation,base,0.85,high,7afe47826370bf36269aaf8ab6b4908a828a93efe9292b6524cec015cceb53d3,False,
DA_d2_heldout100/259,DA_d2_heldout100,DA,259,add_parent5,True,5,1,True,True,Right Bundle Branch Block (RBBB) with cardiac arrest due to hypoxemia from COPD exacerbation,base,0.5,medium,660a8dc43c98ef20c72d2e3c3382dd4ae1b84668edcda4e29ee5cd9fb706326a,False,
DA_d2_heldout100/259,DA_d2_heldout100,DA,259,add_sibling5,True,5,2,False,False,Cardiac arrest due to acute pulmonary embolism,sibling,0.65,medium,b33876a2495c99b15593e6e9937dcd899759a9dae61b61e74bf46eaae24672c1,False,
DA_d2_heldout100/259,DA_d2_heldout100,DA,259,add_unrelated5,True,5,1,True,True,Right Bundle Branch Block (RBBB) with cardiac arrest due to hypoxemia from COPD exacerbation,base,0.6,high,2f974a4fb8431f0c12ff43cfc708eb3a29c32863f4c0bb74f377f561fe68645a,False,
DA_d2_heldout100/259,DA_d2_heldout100,DA,259,add_synonym5,True,5,3,False,False,Acute exacerbation of COPD leading to respiratory failure,base,0.5,low,37e742acb6d4c8146ec76113000e9cecbf735b6933657540238927851265bdf2,False,
DA_d2_heldout100/259,DA_d2_heldout100,DA,259,add_component5,True,5,1,True,True,Right Bundle Branch Block (RBBB) with cardiac arrest due to hypoxemia from COPD exacerbation,base,0.55,medium,6d32dfcddc010a651d055cbbed3c064f644ca2cc505dc4c7c3432bec52fb58da,False,
DA_d2_heldout100/259,DA_d2_heldout100,DA,259,nested_width6,True,6,3,False,False,Acute exacerbation of COPD leading to respiratory failure,base,0.8,high,291bb5eeb0612b36dfc252eb4084ac605663dbd89cb47f4d3db72d3d81174afc,False,
DA_d2_heldout100/259,DA_d2_heldout100,DA,259,nested_width8,False,8,,False,False,,base,,,b47f804d916d9efbc2975186dff213cc73d464b1d52e0a595677a30c018b376a,False,ranking must contain every candidate exactly once
DA_d2_heldout100/261,DA_d2_heldout100,DA,261,base4,True,4,1,True,True,Cutaneous malakoplakia,base,0.85,high,00c4375af0d139cf0f5a152f347681fefe10d91ce1e4da4cc907948cb6dd886d,False,
DA_d2_heldout100/261,DA_d2_heldout100,DA,261,remove_non_gold3,True,3,1,True,True,Cutaneous malakoplakia,base,0.95,high,636ea793a4f1b75dce19172243156ac100a000a7b9a57fa4ef6fe10463dea9fa,False,
DA_d2_heldout100/261,DA_d2_heldout100,DA,261,add_parent5,True,5,1,True,True,Cutaneous malakoplakia,base,0.85,high,cc7b78c9ee3111f08f4fc45ae6472d4bb868b4477436b713c959f123abd217cd,False,
DA_d2_heldout100/261,DA_d2_heldout100,DA,261,add_sibling5,True,5,1,True,True,Cutaneous malakoplakia,base,0.85,high,a64cb1fde098eede7a3c7422fcf62a05a7ad4d2c4a18ffbcb138bfc39291189d,False,
DA_d2_heldout100/261,DA_d2_heldout100,DA,261,add_unrelated5,True,5,1,True,True,Cutaneous malakoplakia,base,0.8,low,1ffcedb024aa3e0de26974eeed30cff4f3fe188f32fa9b34b42d559ecdb40241,False,
DA_d2_heldout100/261,DA_d2_heldout100,DA,261,add_synonym5,True,5,1,True,True,Cutaneous malakoplakia,base,0.9,high,4dcfe35d88f2817faffd496a81b166b3186dfe06fd36b87c401c9cfe4450432d,False,
DA_d2_heldout100/261,DA_d2_heldout100,DA,261,add_component5,True,5,1,True,True,Cutaneous malakoplakia,base,0.7,high,ed32c86552ff889e20dc102d45e43b5c12438782fd3a475fc98be299f7e795bd,False,
DA_d2_heldout100/261,DA_d2_heldout100,DA,261,nested_width6,True,6,1,True,True,Cutaneous malakoplakia,base,0.9,high,b5159b9ecd72f58a314ed05381bf084d62e4391db5133c0f54cf62887579e09c,False,
DA_d2_heldout100/261,DA_d2_heldout100,DA,261,nested_width8,True,8,1,True,True,Cutaneous malakoplakia,base,0.9,low,dacd1a2101ed722da948b9a03e649a32e7846ab2acb1385c9170756c9edd5624,False,
DA_d2_heldout100/270,DA_d2_heldout100,DA,270,base4,True,4,1,True,True,Dual atrioventricular (AV) nonreentrant tachycardia,base,0.85,high,8f982ede99a5c50b6f0fb290db8e8c535e6c5cd9f1d01126525277a49d4c1d5f,False,
