case_id	at1	at2	gold	top1	top2	notes
3	1	1	Familial cerebral cavernous malformations	Cerebral Cavernous Malformations (CCM)	Cerebral Cavernous Malformations (CCM)	
4	1	1	Microvenular hemangioma (MVH)	Hemangioma	Microvenular hemangioma	
5	1	1	Left maxillary giant cell reparative granuloma (GCRG)	Central Giant Cell Granuloma	Central Giant Cell Granuloma	GCRG ≡ central giant cell granuloma (same entity)
7	1	1	Segmental stiff skin syndrome (SSS)	Segmental Stiff Skin Syndrome	Segmental Stiff Skin Syndrome	
11	0	1	Acute dacryocystitis with secondary optic nerve injury	Orbital Abscess	Orbital abscess secondary to acute dacryocystitis	Top2 captures acute dacryocystitis + orbital abscess; optic neuropathy is sequela
12	1	1	Kaposiform hemangioendothelioma (KHE) of the internal auditory canal	Kaposiform Hemangioendothelioma	Kaposiform Hemangioendothelioma	
15	1	1	Primary oral histoplasmosis	Histoplasmosis	Histoplasmosis	
19	0	1	Follicular thyroid carcinoma with manubrial invasion	Follicular Thyroid Carcinoma with Bone Metastasis	Follicular thyroid carcinoma with manubrial invasion	
21	0	0	Saturday night retinopathy with orbital compression syndrome	Orbital Compartment Syndrome	Retinal Detachment	
22	0	0	Antimelanoma differentiation associated gene 5 clinically amyopathic dermatomyositis	Systemic Lupus Erythematosus	Systemic Lupus Erythematosus	
27	0	0	Histiocytoid Sweet syndrome	Leukemic cutis	Leukemic cutis	
28	1	1	Bayés syndrome (Advanced interatrial block with paroxysmal atrial arrhythmias)	Bayes syndrome	Bayés syndrome	Bayes syndrome = Bayés syndrome (orthography)
29	0	1	IgG4-related rhinosinusitis with concurrent Streptococcus constellatus bacterial rhinosinusitis	IgG4-Related Ophthalmic Disease	IgG4-Related Disease	Top2 IgG4-RD is correct disease class; gold adds site + concurrent bacterial RS
33	0	1	ST-segment elevation due to myocardial metastasis from squamous cell carcinoma of the lung	Metastatic lung cancer to the heart	Myocardial Metastasis	
36	1	1	Primary cutaneous cryptococcosis (PCC)	Cutaneous Cryptococcosis	Cryptococcosis	
39	0	0	Metastatic Crohn disease	Sarcoidosis	Sarcoidosis	
40	0	0	Invasive squamous cell carcinoma arising in a seborrheic keratosis of the eyelid	Squamous cell carcinoma, clear cell variant	Squamous cell carcinoma, clear cell variant	
45	1	1	Drug-induced dermatomyositis secondary to ipilimumab therapy	Dermatomyositis	Dermatomyositis	
57	1	1	Eosinophilic annular erythema (EAE)	Eosinophilic annular erythema (EAE)	Eosinophilic annular erythema (EAE)	
59	1	1	Anastrozole-associated uveitis with cystoid macular edema	Uveitis	Anastrozole-induced uveitis	
60	1	1	Ostium secundum atrial septal defect (OS-ASD)	Ostium Secundum Atrial Septal Defect	Ostium Secundum Atrial Septal Defect	
62	1	1	Type I cryoglobulinemia associated with multiple myeloma	Multiple myeloma	Multiple myeloma	
63	1	1	Synchysis scintillans with morning glory disc anomaly and chronic retinal detachment	Synchysis scintillans with Morning Glory Disc Anomaly	Morning Glory Syndrome with Cholesterolosis	
67	0	0	Septic shock with anuric kidney failure	pneumonia leading to sepsis and encephalopathy	sepsis with encephalopathy	
