case_key,gold,clue,denominator,p_gold,gold_hits,gold_docs,best_competitor,best_competitor_methods,p_best_competitor,lift,verdict
DA_d2_heldout100/261,Cutaneous malakoplakia,E. coli culture,topic,0.0357,0,13,Bacterial infection,['multistance'],0.05,0.714,non_discriminating
DA_d2_heldout100/261,Cutaneous malakoplakia,Michaelis-Gutmann bodies,topic,0.1786,2,13,Calcinosis cutis,"['collapse3c', 'impc', 'multistance']",0.0455,3.929,gold_leaning
DA_d2_heldout100/261,Cutaneous malakoplakia,Prussian-blue/Von-Kossa-positive inclusions,topic,0.1071,1,13,Calcinosis cutis,"['collapse3c', 'impc', 'multistance']",0.0455,2.357,gold_leaning
DA_d2_heldout100/261,Cutaneous malakoplakia,inguinoscrotal nodules,topic,0.0357,0,13,Calcinosis cutis,"['collapse3c', 'impc', 'multistance']",0.0455,0.786,non_discriminating
DA_d2_heldout100/272,Window-Period Acute Myocardial Infarction,dyspnea and sweating,topic,0.0142,3,246,Unstable Angina,"['forest', 'impc', 'multistance']",0.0833,0.17,favours_competitor
DA_d2_heldout100/272,Window-Period Acute Myocardial Infarction,hyperacute precordial T waves,topic,0.0142,3,246,Unstable Angina,"['forest', 'impc', 'multistance']",0.0833,0.17,favours_competitor
DA_d2_heldout100/272,Window-Period Acute Myocardial Infarction,initially negative troponin,topic,0.0223,5,246,Acute Coronary Syndrome,"['collapse3c', 'forest', 'impc', 'multistance']",0.0855,0.26,favours_competitor
DA_d2_heldout100/272,Window-Period Acute Myocardial Infarction,severe precordial pain radiating to left arm,topic,0.0101,2,246,Unstable Angina,"['forest', 'impc', 'multistance']",0.0833,0.121,favours_competitor
DA_d2_heldout100/272,Window-Period Acute Myocardial Infarction,subtotal proximal LAD occlusion,topic,0.0061,1,246,Unstable Angina,"['forest', 'impc', 'multistance']",0.0833,0.073,favours_competitor
DA_d2_heldout100/303,Cutaneous Bacillus cereus infection with bacteremia,filamentous gram-variable rods,topic,0.0333,0,14,Fungal infection,['multistance'],0.125,0.267,favours_competitor
DA_d2_heldout100/303,Cutaneous Bacillus cereus infection with bacteremia,liver and brain lesions,topic,0.0333,0,14,Fungal infection,['multistance'],0.125,0.267,favours_competitor
DA_d2_heldout100/303,Cutaneous Bacillus cereus infection with bacteremia,neutropenic infant,topic,0.0333,0,14,Fungal infection,['multistance'],0.125,0.267,favours_competitor
DA_d2_heldout100/303,Cutaneous Bacillus cereus infection with bacteremia,positive tissue and blood cultures,topic,0.0333,0,14,Fungal infection,['multistance'],0.125,0.267,favours_competitor
DA_d2_heldout100/303,Cutaneous Bacillus cereus infection with bacteremia,vesicular necrotic lesions,topic,0.0333,0,14,Ecthyma gangrenosum,"['collapse3c', 'forest']",0.14,0.238,favours_competitor
DA_d2_heldout100/325,Pigmented extramammary Paget disease,CK7/EMA positivity,topic,0.0357,0,13,Dermatofibroma,"['collapse3c', 'multistance']",0.0385,0.929,non_discriminating
DA_d2_heldout100/325,Pigmented extramammary Paget disease,eczema-like onset,topic,0.0357,0,13,Eczema,['multistance'],0.105,0.34,favours_competitor
DA_d2_heldout100/325,Pigmented extramammary Paget disease,pagetoid intraepidermal cells,topic,0.1071,1,13,Seborrheic keratosis,"['collapse3c', 'multistance']",0.0882,1.214,non_discriminating
DA_d2_heldout100/325,Pigmented extramammary Paget disease,slow-growing sharply demarcated axillary plaque,topic,0.0357,0,13,Dermatofibroma,"['collapse3c', 'multistance']",0.0385,0.929,non_discriminating
DA_d2_heldout100/334,Phaeohyphomycosis,ANCA-negative GPA mimic,mention,0.1,0,4,Chromoblastomycosis,"['collapse3c', 'forest', 'impc', 'multistance']",0.0833,1.2,unusable_low_coverage
DA_d2_heldout100/334,Phaeohyphomycosis,Exophiala spinifera culture,mention,0.3,1,4,Eumycetoma,"['forest', 'impc']",0.1,3.0,unusable_low_coverage
DA_d2_heldout100/334,Phaeohyphomycosis,Fontana-Masson-positive fungal elements,mention,0.3,1,4,Eumycetoma,"['forest', 'impc']",0.1,3.0,unusable_low_coverage
DA_d2_heldout100/334,Phaeohyphomycosis,chronic destructive plaques,mention,0.7,3,4,Chromoblastomycosis,"['collapse3c', 'forest', 'impc', 'multistance']",0.3611,1.938,unusable_low_coverage
DA_d2_heldout100/334,Phaeohyphomycosis,pigmented hyphae,mention,0.1,0,4,Eumycetoma,"['forest', 'impc']",0.0333,3.0,unusable_low_coverage
DA_d2_heldout100/348,Asymptomatic posterior corneal dystrophy,20/20 vision,topic,0.25,5,21,Keratoconus,['multistance'],0.3929,0.636,favours_competitor
DA_d2_heldout100/348,Asymptomatic posterior corneal dystrophy,asymptomatic bilateral concentric posterior stromal rings,topic,0.0227,0,21,Corneal Arcus,['multistance'],0.0333,0.682,non_discriminating
DA_d2_heldout100/348,Asymptomatic posterior corneal dystrophy,no deposits or infiltration,topic,0.0227,0,21,Corneal Arcus,['multistance'],0.0333,0.682,non_discriminating
DA_d2_heldout100/348,Asymptomatic posterior corneal dystrophy,posterior crocodile shagreen,topic,0.0227,0,21,Corneal Arcus,['multistance'],0.0333,0.682,non_discriminating
DA_d2_heldout100/420,Fulminant Myocarditis,chest pain and dyspnea,topic,0.2083,12,59,Takotsubo Cardiomyopathy,['forest'],0.3929,0.53,favours_competitor
DA_d2_heldout100/420,Fulminant Myocarditis,marked troponin elevation,topic,0.075,4,59,Takotsubo Cardiomyopathy,['forest'],0.1786,0.42,favours_competitor
DA_d2_heldout100/420,Fulminant Myocarditis,multiterritory dysfunction with normal coronaries,topic,0.0083,0,59,Takotsubo Cardiomyopathy,['forest'],0.0357,0.233,favours_competitor
DA_d2_heldout100/420,Fulminant Myocarditis,rapid hypotension and loss of consciousness,topic,0.0083,0,59,Takotsubo Cardiomyopathy,['forest'],0.0357,0.233,favours_competitor
DA_d2_heldout100/420,Fulminant Myocarditis,young adult after respiratory illness,topic,0.025,1,59,Sepsis,"['collapse3c', 'forest', 'impc', 'multistance']",0.0707,0.354,favours_competitor
DA_d2_heldout100/423,Leptomeningeal lymphoplasmacytic lymphoma (LPL),CSF plasmacytoid lymphocytes,topic,0.0151,4,297,Central Nervous System Lymphoma,"['collapse3c', 'forest', 'impc']",0.0294,0.513,favours_competitor
DA_d2_heldout100/423,Leptomeningeal lymphoplasmacytic lymphoma (LPL),diffuse leptomeningeal and cranial-nerve enhancement,topic,0.0084,2,297,Central Nervous System Lymphoma,"['collapse3c', 'forest', 'impc']",0.0882,0.095,favours_competitor
DA_d2_heldout100/423,Leptomeningeal lymphoplasmacytic lymphoma (LPL),kappa-restricted B cells,topic,0.0285,8,297,Central Nervous System Lymphoma,"['collapse3c', 'forest', 'impc']",0.0294,0.97,non_discriminating
DA_d2_heldout100/423,Leptomeningeal lymphoplasmacytic lymphoma (LPL),prior B-cell lymphoma,topic,0.4815,143,297,Central Nervous System Lymphoma,"['collapse3c', 'forest', 'impc']",0.5,0.963,non_discriminating
DA_d2_heldout200b/522,Catatonia related to underlying Lewy body dementia,fluctuating cognition and failure to recognize family,topic,0.0163,2,152,Neurosyphilis,['forest'],0.0417,0.392,favours_competitor
DA_d2_heldout200b/522,Catatonia related to underlying Lewy body dementia,"mutism, staring, echopraxia and mitmachen",topic,0.0033,0,152,Neurosyphilis,['forest'],0.0417,0.078,favours_competitor
DA_d2_heldout200b/522,Catatonia related to underlying Lewy body dementia,negative infectious/autoimmune workup,topic,0.0033,0,152,Neurosyphilis,['forest'],0.0417,0.078,favours_competitor
DA_d2_heldout200b/522,Catatonia related to underlying Lewy body dementia,visual/auditory hallucinations,topic,0.0817,12,152,Psychotic disorder,['multistance'],0.3929,0.208,favours_competitor
DA_d2_heldout200b/529,Multidrug-resistant Cytomegalovirus (CMV) infection,UL97 and UL54 mutations,topic,0.0001,0,4293,Giardiasis,"['collapse3c', 'multistance']",0.0312,0.004,favours_competitor
DA_d2_heldout200b/529,Multidrug-resistant Cytomegalovirus (CMV) infection,combined immunodeficiency and CD4 140,topic,0.0001,0,4293,Giardiasis,"['collapse3c', 'multistance']",0.0312,0.004,favours_competitor
DA_d2_heldout200b/529,Multidrug-resistant Cytomegalovirus (CMV) infection,persistent disease despite antivirals,topic,0.0115,49,4293,Giardiasis,"['collapse3c', 'multistance']",0.0312,0.369,favours_competitor
DA_d2_heldout200b/529,Multidrug-resistant Cytomegalovirus (CMV) infection,serially rising CMV DNA,topic,0.0001,0,4293,Giardiasis,"['collapse3c', 'multistance']",0.0312,0.004,favours_competitor
