case_id,option_letter,option_text,relation_type,acceptable_leaf_labels,adjudicated_relation_present,source,review_status
mb11_pancoast,A,Apical lung tumor,equivalent,['pancoast tumor'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb11_pancoast,B,Brachial plexopathy,equivalent,['brachial plexopathy'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb11_pancoast,C,Cerebral infarction,equivalent,['cerebral infarction'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb11_pancoast,D,Scalenus anticus syndrome,equivalent,['scalenus anticus syndrome'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb11_pancoast,E,Subclavian steal syndrome,equivalent,['subclavian steal syndrome'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb34_leukemoid,A,Acute lymphoblastic lymphoma,equivalent,"['acute lymphoblastic leukemia', 'acute lymphoblastic lymphoma']",True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb34_leukemoid,B,Chronic lymphocytic leukemia,equivalent,['chronic lymphocytic leukemia'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb34_leukemoid,C,Chronic myeloid leukemia,equivalent,['chronic myeloid leukemia'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb34_leukemoid,D,Leukemoid reaction,equivalent,['leukemoid reaction'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb34_leukemoid,E,Multiple myeloma,equivalent,['multiple myeloma'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb55_glucagonoma,A,Alpha cell tumor,equivalent,['glucagonoma'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb55_glucagonoma,B,Beta cell destruction,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb55_glucagonoma,C,Beta cell tumor,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb55_glucagonoma,D,Hypercortisolism,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb55_glucagonoma,E,Insulin resistance,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb57_kartagener,A,Diastolic murmur best heard along the right lower sternal border,equivalent,['primary ciliary dyskinesia'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb57_kartagener,B,Hypocalcemia,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb57_kartagener,C,Increased chloride in the patient's sweat,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb57_kartagener,D,Repeat sinus infections secondary to seasonal allergies,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb57_kartagener,E,Social withdrawal and avoidance of eye contact,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb65_cml,A,Acute lymphoblastic leukemia,equivalent,['acute lymphoblastic leukemia'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb65_cml,B,Acute myelogenous leukemia,equivalent,['acute myelogenous leukemia'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb65_cml,C,Chronic lymphocytic leukemia,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb65_cml,D,Chronic myelogenous leukemia,equivalent,"['chronic myelogenous leukemia', 'chronic myeloid leukemia']",True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb65_cml,E,Multiple myeloma,equivalent,['multiple myeloma'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb66_peliosis,A,Ectopic implantation of a blastocyst,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb66_peliosis,B,Inflammation of the pancreas,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb66_peliosis,C,Obstruction of blood flow through the hepatic vein,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb66_peliosis,D,Obstruction of the common bile duct by radio-opaque stones,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb66_peliosis,E,Vascular ectasia within the liver,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb77_hyperpara,A,Antacid overuse,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb77_hyperpara,B,"Increased 1,25-dihydroxyvitamin D",unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb77_hyperpara,C,Increased parathyroid hormone,equivalent,['primary hyperparathyroidism'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb77_hyperpara,D,Malignancy,equivalent,['malignancy-associated hypercalcemia'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb77_hyperpara,E,Viral illness,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb82_adhesions,A,Adhesions,equivalent,['adhesions'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb82_adhesions,B,Enteric nervous system damage,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb82_adhesions,C,Impacted stool,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb82_adhesions,D,Norovirus,equivalent,['norovirus infection'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb82_adhesions,E,Twisting of the bowel,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb83_foreignbody,A,Bleeding and infected vessel of Kiesselbach plexus,equivalent,['bleeding and infected vessel of kiesselbach plexus'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb83_foreignbody,B,Foreign body obstruction,equivalent,['nasal foreign body'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb83_foreignbody,C,Nasopharyngeal carcinoma,equivalent,['nasopharyngeal carcinoma'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb83_foreignbody,D,Septal perforation,equivalent,['septal perforation'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mb83_foreignbody,E,Sinusitis with bacterial superinfection,equivalent,['sinusitis with bacterial superinfection'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh011,A,Haemophilus influenzae,equivalent,"['haemophilus influenzae type b infection', 'pneumonia due to haemophilus influenzae', 'pneumonia due to haemophilus influenzae type b']",True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh011,B,Streptococcus pneumoniae,equivalent,"['pneumococcal pneumonia', 'pneumonia due to streptococcus pneumoniae']",True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh011,C,Parainfluenza virus,equivalent,['croup due to parainfluenza virus'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh011,D,Staphylococcus aureus,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh011,E,Group A Streptococcus,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh011,F,Adenovirus,unknown,[],False,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
mxh011,G,Mycoplasma pneumoniae,equivalent,['pneumonia'],True,manual_v1_A_binding_correction_and_acceptance,transcribed_from_v1_not_newly_human_signed
