case_id	coarse_leaf_id	auto_coarse	agent_verdict	confidence	needs_l3	explains_at1_fail	rationale
29	B2.1	1	coarse_leaf_multi_option	0.8	1	1	同一 IgG4-RD 叶可合法绑定 gold 解剖亚型(A)与更宽的 IgG4/眶窦选项(B/C)；叶层无法唯一对应 rhinosinusitis+细菌共感染。同时 Top1/Top2 为平行 IgG4 叶挤占(Fine)。
59	B2.1	1	mapper_overmerge	0.75	0	0	B/C 同绑 Anastrozole uveitis 叶，但是近同义选项而非需 L3 的独立亚型；@1 失败主因是泛化 Uveitis 叶压过特异叶(Fine/排序)。
90	B1.3	1	coarse_leaf_multi_option	0.85	1	1	Amelanotic Melanoma 叶同时绑 caruncular / amelanotic / malignant melanoma 多选项；部位轴与色素轴在叶层不可分。并行存在多份同标签结膜黑色素瘤叶(Fine)。
117	B1.1	1	coarse_leaf_multi_option	0.8	1	1	Staphylococcal skin infection 叶同时覆盖特异 Pyoderma+S.simulans(gold)与泛化 staphylococcal infection；叶层无法区分菌种/临床型。Top 多为平行 Bullous Impetigo(Fine)。
120	B1.3	1	reject	0.7	0	0	多选项同绑 Myopic Macular Pit 主要是 gold 与其上位 Myopic Maculopathy；@1 失败主因是 Posterior Staphyloma 排在 gold 叶之前的排序问题，非单叶绑多个互竞亚型。
151	B1.1	1	coarse_leaf_multi_option	0.85	1	1	Cardioembolic Stroke 叶同时绑 AF 心源性与 MCA 大面积栓塞(gold)；病因/血管域亚型在叶层不可分。另有更特异的起搏器相关叶占 Top1。
163	B1.3	1	coarse_leaf_multi_option	0.9	1	1	FIP1L1-PDGFRA 相关叶同时绑 WHO 实体名(A)与 CEL+组织细胞增生(gold)；分子实体下的临床表型需 L3。CEL 泛化叶占 Top1 属排序/粒度混合。
177	B3.4	1	reject	0.75	0	0	Gold 对 STEMI 叶关系为 complication_of 而非 subtype；问题是并发症未挂叶，而非『多亚型挤在同一叶』。Support 重排或 STEMI 细分都不能单独创造 LVFWR 叶。
186	B1.3	1	coarse_leaf_multi_option	0.7	1	1	PXE-like+凝血缺乏叶同时绑 gold 与相关凝血因子缺乏综合征；经典 PXE 平行叶占 Top1(Fine)。轻度 coarse，L3 可帮选项区分但合并/校准也相关。
205	B1.4	1	coarse_leaf_multi_option	0.85	1	1	Cutaneous leukocytoclastic angiitis 叶同时绑 methimazole-induced 与 drug-induced ANCA vasculitis；药物诱因轴需 L3。MPA 平行叶占 Top1(Fine)。
