case_id	gold	auto_parent_source	auto_family_coverage	mapper_matched	mapper_relation	mapper_confidence	mapper_option_top1	mapper_option_top2	n_l1_posteriors	l1_posterior_ids	l1_posterior_labels	n_tree_l1	tree_l1_labels	tree_has_goldish_leaf	goldish_leaf_ids	goldish_leaf_labels	acceptable_l1_ids	acceptable_l1_labels	acceptable_parent_on_tree	acceptable_parent_in_l1_posteriors	axis_ok	funnel_bucket	notes	review_confidence	reviewer	mapper_opt1	mapper_opt2	l1_prior_opt1	l1_prior_opt2
5	Left maxillary giant cell reparative granuloma (GCRG)	none	0	False	unrelated	high			4	B2|B1|B3|B4	B2:Inflammatory or Reactive Process || B1:Neoplastic Process || B3:Developmental or Congenital Anomaly || B4:Traumatic or Vascular Process	4	B1:Neoplastic Process || B2:Inflammatory or Reactive Process || B3:Developmental or Congenital Anomaly || B4:Traumatic or Vascular Process	True	B1.4	Central Giant Cell Granuloma of the Maxillary Sinus	B1|B2	Neoplastic Process|Inflammatory or Reactive Process	True	True	True	MAPPER_UNBIND	GCRG≈central giant cell granuloma on B1; reactive axis B2 also clinically acceptable. Mapper unrelated.	high	agent_semi_auto_v1	0	0	0	0
11	Acute dacryocystitis with secondary optic nerve injury	none	0	False	unrelated	low			5	B1|B2|B3|B4|B5	B1:Infectious Causes || B2:Inflammatory Causes || B3:Traumatic Causes || B4:Neoplastic Causes || B5:Other Causes	5	B1:Infectious Causes || B2:Inflammatory Causes || B3:Traumatic Causes || B4:Neoplastic Causes || B5:Other Causes	False			B1|B2	Infectious Causes|Inflammatory Causes	True	True	True	MAPPER_UNBIND	No exact dacryocystitis leaf; Infectious/Inflammatory L1 can host acute dacryocystitis. AutoCoverage fails via no leaf bind + synonym miss on coarse L1 labels.	medium	agent_semi_auto_v1	0	0	0	0
22	Antimelanoma differentiation associated gene 5 clinically amyopathic dermatomyositis	none	0	False	unrelated	low			5	B1|B3|B2|B5|B4	B1:Connective Tissue Disease with Autoantibodies || B3:Vasculitic Disease with Skin Involvement || B2:Inflammatory/Interstitial Lung Disease || B5:Other Multisystem Disease || B4:Malignancy-Associated Disease	5	B1:Connective Tissue Disease with Autoantibodies || B2:Inflammatory/Interstitial Lung Disease || B3:Vasculitic Disease with Skin Involvement || B4:Malignancy-Associated Disease || B5:Other Multisystem Disease	False			B1|B2	Connective Tissue Disease with Autoantibodies|Inflammatory/Interstitial Lung Disease	True	True	True	MAPPER_UNBIND	MDA5 CADM fits CTD/autoantibody or CTD-ILD axis; no exact MDA5 leaf. Parent exists conceptually on tree L1.	high	agent_semi_auto_v1	0	0	0	0
27	Histiocytoid Sweet syndrome	none	0	False	unrelated	low			4	B2|B1|B4|B3	B2:Inflammatory/Immune-Mediated || B1:Neoplastic Infiltration || B4:Other || B3:Infectious	4	B1:Neoplastic Infiltration || B2:Inflammatory/Immune-Mediated || B3:Infectious || B4:Other	True	B2.3	Histiocytoid Sweet Syndrome	B2	Inflammatory/Immune-Mediated	True	True	True	MAPPER_UNBIND	Exact gold leaf present under B2; mapper failed bind → false AutoCoverage MISS.	high	agent_semi_auto_v1	0	0	0	0
39	Metastatic Crohn disease	none	0	False	unrelated	high			4	B4|B1|B3|B2	B4:Autoimmune-related Skin Disorder || B1:Inflammatory Skin Disorder || B3:Neoplastic Skin Disease || B2:Infectious Skin Disease	4	B1:Inflammatory Skin Disorder || B2:Infectious Skin Disease || B3:Neoplastic Skin Disease || B4:Autoimmune-related Skin Disorder	True	B1.1|B4.1	Cutaneous Crohn's Disease|Cutaneous Crohn's Disease	B1|B4	Inflammatory Skin Disorder|Autoimmune-related Skin Disorder	True	True	True	MAPPER_UNBIND	Metastatic Crohn ≈ cutaneous Crohn leaves present; mapper unmatched.	high	agent_semi_auto_v1	0	0	0	0
67	Septic shock with anuric kidney failure	none	0	False	unrelated	low			5	B2|B3|B5|B4|B1	B2:Cardiovascular Disorder with CNS Involvement || B3:Respiratory Disorder with CNS Involvement || B5:Other || B4:Neurological Disorder with Systemic Involvement || B1:Infectious/Inflammatory CNS Disorder	5	B1:Infectious/Inflammatory CNS Disorder || B2:Cardiovascular Disorder with CNS Involvement || B3:Respiratory Disorder with CNS Involvement || B4:Neurological Disorder with Systemic Involvement || B5:Other	False					False	False	False	TREE_PARENT_ABSENT	Tree axis is CNS-involvement disorders; gold is systemic septic shock + anuric renal failure. No clinically adequate L1 parent for primary sepsis/shock on this tree.	high	agent_semi_auto_v1	0	0	0	0
97	Anti-TIF-1γ juvenile dermatomyositis (JDM)	none	0	False	equivalent	high			5	B1|B2|B3|B4|B5	B1:Autoimmune Dermatological Disorder || B2:Inflammatory Musculoskeletal Disorder || B3:Multisystem Connective Tissue Disorder || B4:Chronic Dermatological Condition || B5:Other	5	B1:Autoimmune Dermatological Disorder || B2:Inflammatory Musculoskeletal Disorder || B3:Multisystem Connective Tissue Disorder || B4:Chronic Dermatological Condition || B5:Other	True	B1.4	Anti-TIF-1γ juvenile dermatomyositis (JDM)	B1|B2|B3	Autoimmune Dermatological Disorder|Inflammatory Musculoskeletal Disorder|Multisystem Connective Tissue Disorder	True	True	True	MAPPER_UNBIND	Exact leaf + mapper relation=equivalent but matched=False / empty leaf ids / ranking_n=0 → pure projection bind failure.	high	agent_semi_auto_v1	0	0	0	0
107	Keloidal scleroderma	none	0	False	unrelated	low			4	B1|B2|B3|B4	B1:Dermal Fibrosing Disorders || B2:Inflammatory Skin Conditions || B3:Systemic Disorders with Cutaneous Manifestations || B4:Other Cutaneous Disorders	4	B1:Dermal Fibrosing Disorders || B2:Inflammatory Skin Conditions || B3:Systemic Disorders with Cutaneous Manifestations || B4:Other Cutaneous Disorders	True	B1.4	Keloidal Scleroderma	B1	Dermal Fibrosing Disorders	True	True	True	MAPPER_UNBIND	Exact leaf under B1; mapper unbound.	high	agent_semi_auto_v1	0	0	0	0
114	Reversible cerebral vasoconstriction syndrome (RCVS)	none	0	False	unrelated	high			5	B1|B4|B2|B5|B3	B1:Toxic/Metabolic Encephalopathy || B4:Post-Stroke Seizure Disorder || B2:Vascular Encephalopathy || B5:Other || B3:Infectious Encephalopathy	5	B1:Toxic/Metabolic Encephalopathy || B2:Vascular Encephalopathy || B3:Infectious Encephalopathy || B4:Post-Stroke Seizure Disorder || B5:Other	True	B2.1	Reversible Cerebral Vasoconstriction Syndrome (RCVS)	B2	Vascular Encephalopathy	True	True	True	MAPPER_UNBIND	Exact RCVS leaf under Vascular Encephalopathy; mapper unbound.	high	agent_semi_auto_v1	0	0	0	0
125	Tumors of the follicular infundibulum (TFI)	none	0	False	unrelated	high			5	B2|B4|B5|B1|B3	B2:Adnexal Tumors || B4:Genetic and Developmental Disorders || B5:Other || B1:Disorders of Pigmentation || B3:Inflammatory Dermatoses	5	B1:Disorders of Pigmentation || B2:Adnexal Tumors || B3:Inflammatory Dermatoses || B4:Genetic and Developmental Disorders || B5:Other	True	B2.1|B5.1	Tumors of the Follicular Infundibulum|Tumors of the Follicular Infundibulum	B2	Adnexal Tumors	True	True	True	MAPPER_UNBIND	Exact TFI leaf under Adnexal Tumors (also dumped under Other); mapper unbound.	high	agent_semi_auto_v1	0	0	0	0
