case_id	option_top1	option_top2	option_rr	option_rank	n_leaves	granularity_mode	l1_calib
3	0	0	0.0	1	1		
4	0	0	0.0	2	1		
5	0	0	0.0	2	1		
7	1	1	1.0	1	1		
11	0	0	0.0	2	1		
12	1	1	1.0	1	2		
15	1	1	1.0	1	1		
19	0	0	0.0	1	1		
21	1	1	1.0	1	3		
22	0	0	0.0	2	2		
27	0	0	0.0	2	3		
28	1	1	1.0	1	3		
29	0	0	0.0	2	2		
33	1	1	1.0	1	3		
36	1	1	1.0	1	1		
39	0	0	0.0	2	1		
40	0	0	0.0	2	1		
45	1	1	1.0	1	2		
57	1	1	1.0	1	1		
59	0	0	0.0	1	2		
60	1	1	1.0	1	1		
62	1	1	1.0	1	2		
63	0	0	0.0	1	1		
67	0	0	0.0	2	2		
