dataset,slice,case_id,gold,layer,layer_aphhm,e7_correct,v0_correct,B06_correct,B07_correct,B01_correct,APHHM_correct,e7_s2_n,e7_s3_n,e7_champion,e7_s2_rank_gold,e7_s2_gold_n,e7_s2_near_n,e7_s2_other_n,e7_s2_gold,e7_s2_near,e7_s3_gold_n,e7_s3_near_n,e7_s3_other_n,e7_s3_gold,e7_s3_near,e7_champ_cluster,e7_champ_gold_jaccard,e7_rejected_gold,e7_rejected_near,e7_gold_in_s3_champ_near,e7_gold_in_s3_champ_other,v0_s3_gold,v0_champ_cluster,B06_disc_gold,B06_disc_near,B06_disc_gold_n,B06_sup_gold,B06_sup_near,B06_sup_gold_n,B06_sup_labels,B07_draft_gold,B07_draft_near,B07_diag_gold,B07_diag_near,B07_diag_labels,B01_top2_gold,B01_top2_near,APHHM_tree_gold,APHHM_tree_near,APHHM_final_gold,APHHM_final_near,APHHM_tree_n,APHHM_final_n,APHHM_final_labels,aligned_same_cluster_rank_flip,aligned_true_entrance_gap,baseline_hits_gold_cluster
mcr,mcr_v1,1,schwannoma,,,0,0,0,0,0,0,50,5,Infected hematometra,,0,0,50,0,0,0,0,5,0,0,other,0.0,0,0,0,0,0,other,0,0,0,0,0,0,"[""Uterine Fibroid with Infected Hematometra"", ""Leiomyosarcoma""]",0,0,0,0,"[""Infected Hematometra"", ""Uterine Fibroid with Cystic Degeneration""]",0,0,0,0,0,0,23,3,"[""Infected Hematometra"", ""endometrial cancer"", ""uterine leiomyosarcoma""]",0,0,0
mcr,mcr_v1,2,5-oxoprolinemia,,aphhm_lose,1,1,1,0,0,0,48,5,Pyroglutamic acidemia,21,1,0,47,1,0,0,0,5,0,0,other,0.0,0,0,0,0,0,other,0,0,0,0,0,0,"[""Pyroglutamic acidemia"", ""Lactic acidosis""]",0,0,0,0,"[""Metabolic Acidosis due to Vancomycin-Induced D-Lactic Acidosis"", ""Metabolic Acidosis due to Other Causes of High Anion Gap (e.g., Methanol or Ethylene Glycol Toxicity)""]",0,0,0,0,0,0,18,2,"[""Lactic acidosis"", ""Metabolic Acidosis""]",0,0,0
mcr,mcr_v1,3,Eosinophilic granulomatosis with polyangiitis,all_miss_but_recalled,,0,0,0,0,0,0,47,5,Peroneal nerve palsy,24,1,1,45,1,1,0,0,5,0,0,other,0.0,0,0,0,0,0,other,0,0,0,0,0,0,"[""peroneal neuropathy"", ""lumbar radiculopathy""]",0,0,0,0,"[""Peroneal Neuropathy"", ""Lumbar Disc Herniation with Peripheral Nerve Involvement""]",0,0,1,0,0,0,63,4,"[""Peroneal Neuropathy"", ""Cauda Equina Syndrome"", ""Chronic Inflammatory Demyelinating Polyneuropathy""]",0,0,0
mcr,mcr_v1,4,IgG4-related hypophysitis,,,1,1,1,1,1,1,51,5,IgG4-related hypophysitis,1,1,4,46,1,1,1,2,2,1,1,gold,1.0,0,1,0,0,1,gold,1,1,3,1,1,1,"[""IgG4-related hypophysitis"", ""Lymphocytic hypophysitis""]",1,1,1,1,"[""IgG4-related hypophysitis"", ""Lymphocytic hypophysitis""]",1,1,1,1,1,0,26,1,"[""IgG4-related hypophysitis""]",0,0,1
mcr,mcr_v1,5,cryptococcoma,,,0,0,0,0,0,0,51,5,Creutzfeldt-Jakob disease,,0,0,51,0,0,0,0,5,0,0,other,0.0,0,0,0,0,0,other,0,0,0,0,0,0,"[""Glioblastoma"", ""Primary central nervous system lymphoma""]",0,0,0,0,"[""Glioblastoma"", ""Tumefactive Demyelination""]",0,0,0,0,0,0,26,4,"[""Glioblastoma Multiforme"", ""Acute Disseminated Encephalomyelitis"", ""Multiple Sclerosis""]",0,0,0
mcr,mcr_v1,6,Exophiala xenobiotica keratitis,,,0,0,0,0,0,0,56,5,Fungal keratitis,,0,13,43,0,1,0,5,0,0,1,near,0.25,0,1,0,0,0,near,0,1,0,0,1,0,"[""Fungal keratitis"", ""Acanthamoeba keratitis""]",0,1,0,1,"[""Infectious Keratitis"", ""Immunologic Rejection of the Corneal Graft""]",0,1,1,1,0,1,43,1,"[""Acanthamoeba keratitis""]",0,0,0
mcr,mcr_v1,7,Wunderlich syndrome,,,0,0,0,0,0,0,46,5,Posterior urethral valves,,0,9,37,0,1,0,1,4,0,1,other,0.0,0,1,0,0,0,other,0,1,0,0,1,0,"[""Posterior Urethral Valves"", ""Prune Belly Syndrome""]",0,0,0,0,"[""Posterior Urethral Valves (PUV)"", ""Ureteropelvic Junction Obstruction (UPJO)""]",0,1,0,1,0,0,20,3,"[""Posterior Urethral Valves"", ""Ureteropelvic Junction Obstruction"", ""Multicystic Dysplastic Kidney""]",0,0,0
mcr,mcr_v1,8,Liver metastasis from colon cancer,,,1,1,1,0,1,1,48,5,Colorectal cancer metastasis,,0,21,27,0,1,0,1,4,0,1,near,0.333,0,0,0,0,0,near,0,1,0,0,1,0,"[""Metastatic colorectal cancer to the liver"", ""Hepatocellular carcinoma with portal vein tumor thrombus""]",1,0,1,0,"[""Liver Metastasis"", ""Hepatocellular Carcinoma""]",0,1,1,1,0,1,23,1,"[""metastatic colorectal cancer""]",0,0,1
mcr,mcr_v1,11,Multisystem inflammatory syndrome in children,base_win_recall,aphhm_lose,0,0,0,1,1,0,65,5,Streptococcal toxic shock syndrome,,0,9,56,0,1,0,2,3,0,1,near,0.143,0,1,0,0,0,other,1,1,3,1,1,1,"[""Antiphospholipid syndrome"", ""Multisystem inflammatory syndrome""]",1,1,1,1,"[""Multisystem Inflammatory Syndrome"", ""Antiphospholipid Syndrome (APS)""]",1,0,1,1,1,1,16,4,"[""Antiphospholipid syndrome"", ""Systemic Lupus Erythematosus"", ""Multisystem Inflammatory Syndrome in Children""]",0,1,1
mcr,mcr_v1,12,Tumor-induced osteomalacia,,,1,0,1,1,1,1,48,5,Tumor-induced osteomalacia,9,2,2,44,1,1,2,0,3,1,0,gold,1.0,1,0,0,0,1,other,1,0,6,1,0,1,"[""Tumor-induced osteomalacia"", ""Fibrous dysplasia""]",1,0,1,0,"[""Tumor-induced osteomalacia"", ""X-linked hypophosphatemia""]",1,0,1,1,1,1,27,3,"[""Phosphaturic mesenchymal tumor"", ""Tumor-induced osteomalacia"", ""X-linked hypophosphatemia""]",0,0,1
