assertion_id,case,kind,subject,predicate,containment_by_pattern,adjudicated_status,usable_from_single_chunk,threshold_needed,subject_in_vignette,needs_hypothesis_conditioned_retrieval,n_cooccurring_docs,note
522.a,DA_d2_heldout200b/522,inclusion,Dementia with Lewy bodies,波动性认知是相对特异特征,single_chunk,stated,True,,True,False,8,merck: 波动性认知是路易体痴呆相对特异的特征
522.b,DA_d2_heldout200b/522,inclusion,Dementia with Lewy bodies,成形视幻觉,single_chunk,stated,True,,True,False,25,merck: 波动性认知+帕金森症状+成形视幻觉提示 DLB
522.c,DA_d2_heldout200b/522,inclusion,Catatonia,回声动作/模仿顺从/缄默/凝视为紧张症体征,single_chunk,stated,True,,True,False,16,merck: 紧张症亚型含回声动作与言语模仿
773.a,DA_d2_heldout200b/773,exclusion,Eisenmenger syndrome,需大量左向右分流,single_chunk,stated_but_buried,True,,False,True,8,首位命中是心衰章节；真正陈述在 merck Ch.293（大量左向右分流未治疗可致 Eisenmenger）
773.b,DA_d2_heldout200b/773,exclusion,Eisenmenger syndrome,肺血管阻力/压力达体循环水平,single_chunk,stated,True,PAP >= systemic,False,True,6,merck Ch.293: 体循环压力与阻力高于肺循环，逆转即 Eisenmenger 反应
773.c,DA_d2_heldout200b/773,attribute,Patent foramen ovale,非大型缺损/不引起容量超负荷,single_chunk,absent,False,,True,False,27,未见任何段落陈述 PFO 不构成大量分流；首位命中为卒中章节腔隙性梗死
119.a,DA_d2_seq100/119,inclusion,Porokeratosis,角样板层为组织学标志,single_chunk,stated,True,,True,False,6,statpearls: 汗孔角化症以角样板层为特征
119.b,DA_d2_seq100/119,taxonomy,Eruptive pruritic papular porokeratosis,为汗孔角化症的变体,single_chunk,stated,True,,True,False,1,statpearls 单篇列出 eruptive pruritic papular porokeratosis 变体
257.a,MCR_seq200b/257,exclusion,Pyogenic flexor tenosynovitis,Kanavel 四征,single_chunk,stated,True,4 of 4 signs,True,False,6,merck 标题即 Kanavel 征；statpearls 给出四征完整定义
257.b,MCR_seq200b/257,inclusion,Collar-button abscess,指蹼/掌间隙脓肿实体,single_chunk,stated,True,,True,False,2,merck: 掌部脓肿包含 collar-button abscess
326.a,MCR_seq200b/326,inclusion,Brucellosis,绵羊/山羊/未消毒乳制品暴露,single_chunk,stated,True,,True,False,14,merck: B. melitensis 来自绵羊与山羊
326.b,MCR_seq200b/326,inclusion,Brucellosis,累及脊柱/脊柱炎,single_chunk,stated,True,,True,False,24,manifest_cpg（IDSA 椎体骨髓炎指南）述布鲁氏菌脊柱受累
326.c,MCR_seq200b/326,attribute,Brucella,革兰阴性球杆菌,single_chunk,stated_but_buried,True,,True,False,19,首位命中为革兰阴性菌致 DIC；布鲁氏菌属革兰阴性的陈述在 merck 第 135 章标题层
475.a,MCR_seq200b/475,taxonomy,Parsonage-Turner syndrome,等同神经痛性肌萎缩/急性臂丛神经炎,single_chunk,stated,True,,True,False,15,merck: 急性臂丛神经炎=神经痛性肌萎缩=Parsonage-Turner
475.b,MCR_seq200b/475,exclusion,Anterior interosseous nerve syndrome,支配范围限于 FDP/旋前方肌,single_chunk,stated,True,,True,False,36,pmc_oa: AIN 支配 FPL、FDP II-III、旋前方肌
49.a,MCR_v1_seq100/49,inclusion,Stump appendicitis,阑尾切除后残端炎症,single_chunk,stated,True,stump length > 5 mm,False,True,3,statpearls: 残端阑尾炎定义，并给出残端 ≤5 mm 的阈值
74.a,MCR_v1_seq100/74,inclusion,CPVT,心脏结构正常,single_chunk,stated,True,,True,False,2,manifest_cpg/pmc_oa: CPVT 见于心脏结构正常者
74.b,MCR_v1_seq100/74,inclusion,CPVT,肾上腺素能/运动或情绪应激触发,single_chunk,stated,True,,True,False,19,manifest_cpg: 运动诱发的多形性室早提示 CPVT
74.c,MCR_v1_seq100/74,exclusion,Long QT syndrome,QTc 延长阈值,single_chunk,stated,True,QTc >= 440-480 ms,True,False,12,manifest_cpg: QTc >480 ms 为延长阈值，可直接与 vignette 的 380 ms 比较
74.d,MCR_v1_seq100/74,exclusion,Hypertrophic cardiomyopathy,室壁厚度阈值,single_chunk,stated,True,wall thickness >= 15 mm,True,False,6,pmc_oa: 室壁厚度 ≥15 mm 定义肥厚型心肌病
56.a,MCR_v1_seq100/56,inclusion,Spindle cell / sarcomatoid squamous cell carcinoma,p63/p40 阳性提示上皮起源,single_chunk,stated,True,,True,False,6,pmc_oa: p40/p63 为鳞状分化最特异标志
56.b,MCR_v1_seq100/56,attribute,Sarcomatoid SCC,可为细胞角蛋白阴性,single_chunk,stated_but_buried,True,,True,False,4,首位命中为间皮瘤；肉瘤样鳞癌可仅灶性表达角蛋白的陈述在同刊另一段
91.a,MCR_v1_seq100/91,inclusion,Angiosarcoma,CD31/Fli-1 内皮标志,single_chunk,stated_but_buried,True,,True,False,8,首位命中为肝活检标志物表；真正陈述在 statpearls 皮肤血管肉瘤段（CD34/CD31 为必要染色）
91.b,MCR_v1_seq100/91,exclusion,Solitary fibrous tumour / hemangiopericytoma,CD34/Bcl-2/STAT6 阳性,single_chunk,partial,False,,False,True,11,语料有孤立性纤维性肿瘤的 STAT6 重排，但无 CD34+/Bcl-2+ 与内皮标志的对照表述
179.a,MCR_v2_seq100/179,exclusion,Immune thrombocytopenia,IVIG 无应答不支持免疫机制,split_across_chunks,split,False,,True,False,0,免疫性血小板减少与 IVIG 无应答从未同处一个切片
179.b,MCR_v2_seq100/179,inclusion,Cyanotic congenital heart disease,低氧致血小板减少,single_chunk,absent,False,,False,True,1,唯一命中是 Nelson 表 149-1：红细胞增多与血小板减少是同一表格的不同行，属表格伪共现
