case_id	opt@1	opt@2	gold_letter	gold_option_rank	gold_option	joint_top1	joint_top2
100	1	1	C	1	Telangiectatic metastatic breast carcinoma (TMBC)	Telangiectatic metastatic breast carcinoma	Cutaneous T-Cell Lymphoma
102	0	0	D	2	Annular epidermolytic ichthyosis (AEI)	Bullous Congenital Ichthyosiform Erythroderma	Epidermolytic Hyperkeratosis
103	1	1	B	1	Intra-atrial reentrant tachycardia (IART) with variable atrioventricular block	Intra-atrial Reentrant Tachycardia	
107	0	0	D	2	Keloidal scleroderma	Eosinophilic Fasciitis	
11	0	0	D	2	Acute dacryocystitis with secondary optic nerve injury	Orbital abscess secondary to acute dacryocystitis	
111	1	1	B	1	Inverse lichen planus	inverse lichen planus	
114	0	0	B	2	Reversible cerebral vasoconstriction syndrome (RCVS)	Synthetic Cannabinoid–Induced Toxic Encephalopathy	
117	1	1	A	1	Pyoderma with Staphylococcus simulans	Bullous Impetigo	Staphylococcal skin infection
118	0	0	D	2	Inflammation-induced ocular neuropathy associated with SARS-CoV-2–induced panuveitis	COVID-19-associated optic neuritis	
119	1	1	A	1	Eruptive pruritic papular porokeratosis (EPPP)	Eruptive pruritic papular porokeratosis	Grover disease
12	1	1	C	1	Kaposiform hemangioendothelioma (KHE) of the internal auditory canal	Kaposiform hemangioendothelioma (KHE) of the internal auditory canal	
120	1	1	C	1	Myopic macular pit	Myopic Macular Pit	
122	1	1	B	1	Vagus-mediated paroxysmal atrioventricular block (VP-AVB)	Vagus-mediated paroxysmal atrioventricular block (VP-AVB)	
124	1	1	B	1	Primary invasive lobular breast carcinoma in heterotopic cutaneous breast tissue	Primary Invasive Lobular Breast Carcinoma in Heterotopic Cutaneous Breast Tissue	apocrine gland carcinoma
125	0	0	A	1	Tumors of the follicular infundibulum (TFI)	Nevus sebaceus of Jadassohn	Nevus depigmentosus
128	1	1	D	1	Cutaneous angiosarcoma	Cutaneous angiosarcoma	
129	0	0	A	2	Short-coupled polymorphic ventricular tachycardia/ventricular fibrillation (SC-PMVT/VF) variant of idiopathic ventricular fibrillation	Catecholaminergic Polymorphic Ventricular Tachycardia	
132	1	1	D	1	Trifascicular heart block (Bifascicular block with first-degree AV block progressing to complete heart block)	Atrioventricular Block	Pulmonary Arterial Hypertension
134	0	0	D	2	Lymphomatosis cerebri variant of diffuse large B-cell lymphoma (DLBCL)	Primary Central Nervous System Lymphoma	
137	1	1	B	1	Papillary hemangioma	Hobnail Hemangioma	
139	1	1	C	1	Radioiodine-refractory vesicular thyroid carcinoma (VTC) with sinonasal metastasis	Radioiodine-refractory Vesicular Thyroid Carcinoma with Sinonasal Metastasis	
