case,gold,n_candidates,gold_in_candidate_set,gold_labels_in_set,n_assertions,earliest_stage_lost,stages,reached_engine,methods_correct_of_4,k30clean__top1,k30clean__gold_rank,k30clean__ok,k30clean_loose__top1,k30clean_loose__gold_rank,k30clean_loose__ok,k30clean_disc__top1,k30clean_disc__gold_rank,k30clean_disc__ok,k30clean_loose_disc__top1,k30clean_loose_disc__gold_rank,k30clean_loose_disc__ok,k30oracleclean__top1,k30oracleclean__gold_rank,k30oracleclean__ok,k30oracleclean_loose__top1,k30oracleclean_loose__gold_rank,k30oracleclean_loose__ok,k30oracleclean_disc__top1,k30oracleclean_disc__gold_rank,k30oracleclean_disc__ok,k30oracleclean_loose_disc__top1,k30oracleclean_loose_disc__gold_rank,k30oracleclean_loose_disc__ok
DA_d2_heldout200b/522,Catatonia related to underlying Lewy body dementia,14,True,Catatonia; Dementia,3,S5b_case_extractor_missed,S5b_case_extractor_missed=1 S7_engine=2,2,0,Delirium,2,0,Delirium,3,0,Catatonia,1,1,Catatonia,1,1,Delirium,2,0,Delirium,3,0,Catatonia,1,1,Catatonia,1,1
DA_d2_heldout200b/773,Idiopathic Pulmonary Arterial Hypertension (IPAH) with Patent Foramen Ovale (PFO),10,True,Idiopathic Pulmonary Arterial Hypertension; Patent Foramen Ovale; Pulmonary Arterial Hypertension,3,S2_extraction,S2_extraction=1 S6_join=1 S7_engine=1,1,0,Chronic Thromboembolic Pulmonary Hypertension,6,0,Eisenmenger Syndrome,3,0,Tricuspid Regurgitation,2,0,Congenital Heart Disease,4,0,Chronic Thromboembolic Pulmonary Hypertension,6,0,Eisenmenger Syndrome,3,0,Tricuspid Regurgitation,2,0,Congenital Heart Disease,4,0
DA_d2_seq100/119,Eruptive pruritic papular porokeratosis (EPPP),13,False,,2,S0_candidate,S0_candidate=2,0,0,Pityriasis rubra pilaris,,0,Dermatitis,,0,Darier's disease,,0,Dermatitis,,0,Pityriasis rubra pilaris,,0,Dermatitis,,0,Darier's disease,,0,Dermatitis,,0
MCR_seq200b/257,collar button abscess,11,True,Abscess,2,S0_candidate,S0_candidate=1 S6_join=1,0,0,Septic Arthritis,4,0,Infectious tenosynovitis,3,0,Septic Arthritis,2,0,Cellulitis,7,0,Septic Arthritis,4,0,Infectious tenosynovitis,3,0,Septic Arthritis,2,0,Cellulitis,7,0
MCR_seq200b/326,Brucellosis,10,True,Brucellosis,3,S4_subject_bind,S4_subject_bind=1 S6_join=1 S7_engine=1,1,0,Spinal Epidural Abscess,5,0,Spinal Epidural Abscess,3,0,Pott's disease,10,0,Brucellosis,1,1,Spinal Epidural Abscess,5,0,Spinal Epidural Abscess,3,0,Pott's disease,10,0,Brucellosis,1,1
MCR_seq200b/475,Parsonage Turner Syndrome,10,True,Neuralgic Amyotrophy,2,S3_relation,S3_relation=1 S6_join=1,0,0,Neuropathy,6,0,Neuropathy,6,0,Neuropathy,10,0,Radial Neuropathy,8,0,Neuropathy,6,0,Neuropathy,6,0,Neuropathy,10,0,Radial Neuropathy,8,0
MCR_v1_seq100/49,StumpAppendicitis,15,True,Appendiceal stump appendicitis; Appendicitis,1,S5b_case_extractor_missed,S5b_case_extractor_missed=1,0,2,Abscess,2,0,Cecal diverticulitis,4,0,Appendicitis,1,1,Appendiceal stump appendicitis,1,1,Abscess,2,0,Cecal diverticulitis,4,0,Appendicitis,1,1,Appendiceal stump appendicitis,1,1
MCR_v1_seq100/56,Spindle cell squamous cell carcinoma,16,True,Carcinoma,2,S2_extraction,S2_extraction=1 S6_join=1,0,1,Sarcoma,3,0,Osteosarcoma,3,0,Sarcoma,16,0,Leiomyosarcoma,16,0,Sarcoma,3,0,Osteosarcoma,3,0,Sarcoma,16,0,Leiomyosarcoma,16,0
MCR_v1_seq100/74,Catecholaminergic polymorphic ventricular tachycardia,9,True,Catecholaminergic Polymorphic Ventricular Tachycardia,4,S5b_case_extractor_missed,S5b_case_extractor_missed=1 S6_join=1 S7_engine=2,2,1,Long QT Syndrome,2,0,Long QT Syndrome,2,0,Long QT Syndrome,8,0,Seizure disorder,8,0,Long QT Syndrome,2,0,Long QT Syndrome,2,0,Long QT Syndrome,8,0,Seizure disorder,8,0
MCR_v1_seq100/91,Angiosarcoma,12,True,Hemangioma,2,S2_extraction,S2_extraction=1 S7_engine=1,1,0,Cavernous Angioma,5,0,Cavernous Angioma,6,0,Cavernous Angioma,3,0,Cavernous Angioma,4,0,Cavernous Angioma,5,0,Cavernous Angioma,6,0,Cavernous Angioma,3,0,Cavernous Angioma,4,0
MCR_v2_seq100/179,hypoxia-induced thrombocytopenia,16,True,Thrombocytopenia,2,S1_retrieval,S1_retrieval=1 S2_extraction=1,0,0,Congenital thrombocytopenia,5,0,Pulmonary Atresia,11,0,Pulmonary Atresia,12,0,Pulmonary Atresia,9,0,Congenital thrombocytopenia,5,0,Pulmonary Atresia,11,0,Pulmonary Atresia,12,0,Pulmonary Atresia,9,0
