case_key,gold,case_verdict,hypothesis,status,reason
MCR_v2_seq100/146,Diffuse large B cell lymphoma,证据偏向竞争,Intestinal tuberculosis,supported,语料列出的活动性肠结核内镜特征包括回盲部炎性肿块、深部横行环形溃疡与狭窄；本例回肠狭窄+盲肠溃疡+来自洪都拉斯+QuantiFERON 阳性，全部吻合
MCR_v2_seq100/146,Diffuse large B cell lymphoma,证据偏向竞争,Tuberculosis,supported,同上，四方法中三个的答案
MCR_v2_seq100/146,Diffuse large B cell lymphoma,证据偏向竞争,Latent tuberculosis,supported,IDSA 指南：IGRA 只证明感染，无法区分活动与潜伏；本例 IGRA 阳性且已启动异烟肼，潜伏结核事实成立
MCR_v2_seq100/146,Diffuse large B cell lymphoma,证据偏向竞争,Crohn's disease,not_excluded,语料明言肠结核是克罗恩病的'great mimic'，某些病例临床上无法区分；粪钙卫蛋白偏低仅为弱反证
MCR_v2_seq100/146,Diffuse large B cell lymphoma,证据偏向竞争,Inflammatory bowel disease,not_excluded,同上，克罗恩病的上位概念
MCR_v2_seq100/146,Diffuse large B cell lymphoma,证据偏向竞争,Ileocecal histoplasmosis,not_excluded,未做任何真菌学检查，无法排除，仅先验概率低
MCR_v2_seq100/146,Diffuse large B cell lymphoma,证据偏向竞争,Helminth infection,excluded,既往蠕虫感染已治疗，且粪便病原学阴性
MCR_v2_seq100/146,Diffuse large B cell lymphoma,证据偏向竞争,Diverticulitis,excluded,病变位于末段回肠与盲肠，全文未描述憩室
MCR_v2_seq100/146,Diffuse large B cell lymphoma,证据偏向竞争,Ischemic colitis,excluded,两月病程伴盗汗与 10 kg 体重下降，且为回肠狭窄伴斑片状结肠改变，非缺血分布
MCR_v2_seq100/146,Diffuse large B cell lymphoma,证据偏向竞争,Intestinal lymphoma,near_gold,金标的上位概念
MCR_v2_seq100/146,Diffuse large B cell lymphoma,证据偏向竞争,Gastrointestinal lymphoma,near_gold,金标的上位概念
DA_d2_heldout200b/566,"High-grade (3A) follicular lymphoma, stage IVB",悬而未决,Diffuse Large B-Cell Lymphoma,not_excluded,语料原文：FL grade 3A 与 3B 在此类材料上无法与 DLBCL 区分。即选项 C 在给定材料下不可排除
DA_d2_heldout200b/566,"High-grade (3A) follicular lymphoma, stage IVB",悬而未决,Nodular Lymphocyte-Predominant Hodgkin Lymphoma,not_excluded,未报告 LP 细胞形态与 CD15/CD30/CD20 组合，无法排除
DA_d2_heldout200b/566,"High-grade (3A) follicular lymphoma, stage IVB",悬而未决,Castleman disease,not_excluded,未提供可据以排除的组织学描述
DA_d2_heldout200b/566,"High-grade (3A) follicular lymphoma, stage IVB",悬而未决,Primary Effusion Lymphoma,excluded,本例为纵隔肿块伴广泛淋巴结病的结内 B 细胞病变；PEL 为体腔为主、常见于免疫抑制/HHV-8 且免疫表型多为 null
DA_d2_heldout200b/566,"High-grade (3A) follicular lymphoma, stage IVB",悬而未决,Anaplastic Large Cell Lymphoma,excluded,活检明确为 B 淋巴细胞群
DA_d2_heldout200b/566,"High-grade (3A) follicular lymphoma, stage IVB",悬而未决,Pseudolymphoma,excluded,BCL2 异常表达伴高 Ki-67 提示克隆性肿瘤
DA_d2_heldout200b/566,"High-grade (3A) follicular lymphoma, stage IVB",悬而未决,Chylothorax,wrong_axis,乳糜胸是真实存在的并发表现，非诊断答案
DA_d2_heldout200b/566,"High-grade (3A) follicular lymphoma, stage IVB",悬而未决,Pleural effusion,wrong_axis,同上
DA_d2_heldout200b/566,"High-grade (3A) follicular lymphoma, stage IVB",悬而未决,Dyslipidemia,wrong_axis,为既往史，胸水甘油三酯升高来自乳糜
DA_d2_heldout200b/566,"High-grade (3A) follicular lymphoma, stage IVB",悬而未决,Hypertriglyceridemia,wrong_axis,同上
DA_d2_heldout200b/566,"High-grade (3A) follicular lymphoma, stage IVB",悬而未决,Lymphoma,near_gold,金标上位概念
DA_d2_seq100/19,Follicular thyroid carcinoma with manubrial invasion,悬而未决,Metastatic follicular thyroid carcinoma,not_excluded,'直接侵犯'与'血行转移'的分支需要病灶与胸骨后甲状腺床连续性的证据，vignette 未描述；此为选项 B
DA_d2_seq100/19,Follicular thyroid carcinoma with manubrial invasion,悬而未决,Thyroid metastasis to bone,not_excluded,同上
DA_d2_seq100/19,Follicular thyroid carcinoma with manubrial invasion,悬而未决,Metastatic thyroid carcinoma,not_excluded,同上
DA_d2_seq100/19,Follicular thyroid carcinoma with manubrial invasion,悬而未决,Recurrent goiter,excluded,病灶为溶骨破坏并见甲状腺滤泡浸润骨小梁，良性甲状腺肿不具此行为
DA_d2_seq100/19,Follicular thyroid carcinoma with manubrial invasion,悬而未决,Brown Tumor,excluded,FNA 与组织学证实为甲状腺滤泡细胞
DA_d2_seq100/19,Follicular thyroid carcinoma with manubrial invasion,悬而未决,Fibrous Dysplasia,excluded,同上
DA_d2_seq100/19,Follicular thyroid carcinoma with manubrial invasion,悬而未决,Giant Cell Tumor,excluded,同上
DA_d2_seq100/19,Follicular thyroid carcinoma with manubrial invasion,悬而未决,Benign bone cyst,excluded,同上
DA_d2_seq100/19,Follicular thyroid carcinoma with manubrial invasion,悬而未决,Bone metastasis from other primary cancer,excluded,细胞学明确为甲状腺滤泡来源
