left,right,scope,n,transition_counts,mechanism_counts,specificity_rescue_pp,object_rescue_pp,scope_compression_pp,catastrophic_substitution_pp
collapse3c,multistance,ALL,800,"{""complete_equivalent -> complete_equivalent"": 100, ""complete_equivalent -> conflicting_subtype_or_scope"": 7, ""complete_equivalent -> manifestation_or_related"": 2, ""complete_equivalent -> not_equivalent"": 6, ""complete_equivalent -> partial_parent_or_component"": 7, ""complete_equivalent -> uncertain"": 0, ""conflicting_subtype_or_scope -> complete_equivalent"": 4, ""conflicting_subtype_or_scope -> conflicting_subtype_or_scope"": 122, ""conflicting_subtype_or_scope -> manifestation_or_related"": 3, ""conflicting_subtype_or_scope -> not_equivalent"": 3, ""conflicting_subtype_or_scope -> partial_parent_or_component"": 13, ""conflicting_subtype_or_scope -> uncertain"": 0, ""manifestation_or_related -> complete_equivalent"": 3, ""manifestation_or_related -> conflicting_subtype_or_scope"": 7, ""manifestation_or_related -> manifestation_or_related"": 81, ""manifestation_or_related -> not_equivalent"": 7, ""manifestation_or_related -> partial_parent_or_component"": 4, ""manifestation_or_related -> uncertain"": 0, ""not_equivalent -> complete_equivalent"": 3, ""not_equivalent -> conflicting_subtype_or_scope"": 6, ""not_equivalent -> manifestation_or_related"": 7, ""not_equivalent -> not_equivalent"": 144, ""not_equivalent -> partial_parent_or_component"": 8, ""not_equivalent -> uncertain"": 0, ""partial_parent_or_component -> complete_equivalent"": 11, ""partial_parent_or_component -> conflicting_subtype_or_scope"": 14, ""partial_parent_or_component -> manifestation_or_related"": 3, ""partial_parent_or_component -> not_equivalent"": 7, ""partial_parent_or_component -> partial_parent_or_component"": 228, ""partial_parent_or_component -> uncertain"": 0, ""uncertain -> complete_equivalent"": 0, ""uncertain -> conflicting_subtype_or_scope"": 0, ""uncertain -> manifestation_or_related"": 0, ""uncertain -> not_equivalent"": 0, ""uncertain -> partial_parent_or_component"": 0, ""uncertain -> uncertain"": 0}","{""catastrophic_substitution"": 15, ""family_coverage_loss"": 24, ""family_coverage_rescue"": 25, ""no_relation_change"": 675, ""object_rescue"": 10, ""scope_compression"": 7, ""specificity_rescue"": 11, ""wrong_object_exchange"": 33}",1.375,1.25,0.875,1.875
collapse3c,multistance,DA,400,"{""complete_equivalent -> complete_equivalent"": 9, ""complete_equivalent -> conflicting_subtype_or_scope"": 3, ""complete_equivalent -> manifestation_or_related"": 0, ""complete_equivalent -> not_equivalent"": 0, ""complete_equivalent -> partial_parent_or_component"": 3, ""complete_equivalent -> uncertain"": 0, ""conflicting_subtype_or_scope -> complete_equivalent"": 2, ""conflicting_subtype_or_scope -> conflicting_subtype_or_scope"": 53, ""conflicting_subtype_or_scope -> manifestation_or_related"": 2, ""conflicting_subtype_or_scope -> not_equivalent"": 2, ""conflicting_subtype_or_scope -> partial_parent_or_component"": 11, ""conflicting_subtype_or_scope -> uncertain"": 0, ""manifestation_or_related -> complete_equivalent"": 0, ""manifestation_or_related -> conflicting_subtype_or_scope"": 2, ""manifestation_or_related -> manifestation_or_related"": 25, ""manifestation_or_related -> not_equivalent"": 3, ""manifestation_or_related -> partial_parent_or_component"": 3, ""manifestation_or_related -> uncertain"": 0, ""not_equivalent -> complete_equivalent"": 1, ""not_equivalent -> conflicting_subtype_or_scope"": 2, ""not_equivalent -> manifestation_or_related"": 5, ""not_equivalent -> not_equivalent"": 58, ""not_equivalent -> partial_parent_or_component"": 5, ""not_equivalent -> uncertain"": 0, ""partial_parent_or_component -> complete_equivalent"": 5, ""partial_parent_or_component -> conflicting_subtype_or_scope"": 11, ""partial_parent_or_component -> manifestation_or_related"": 3, ""partial_parent_or_component -> not_equivalent"": 4, ""partial_parent_or_component -> partial_parent_or_component"": 188, ""partial_parent_or_component -> uncertain"": 0, ""uncertain -> complete_equivalent"": 0, ""uncertain -> conflicting_subtype_or_scope"": 0, ""uncertain -> manifestation_or_related"": 0, ""uncertain -> not_equivalent"": 0, ""uncertain -> partial_parent_or_component"": 0, ""uncertain -> uncertain"": 0}","{""catastrophic_substitution"": 3, ""family_coverage_loss"": 18, ""family_coverage_rescue"": 19, ""no_relation_change"": 333, ""object_rescue"": 3, ""scope_compression"": 3, ""specificity_rescue"": 5, ""wrong_object_exchange"": 16}",1.25,0.75,0.75,0.75
collapse3c,multistance,MCR,400,"{""complete_equivalent -> complete_equivalent"": 91, ""complete_equivalent -> conflicting_subtype_or_scope"": 4, ""complete_equivalent -> manifestation_or_related"": 2, ""complete_equivalent -> not_equivalent"": 6, ""complete_equivalent -> partial_parent_or_component"": 4, ""complete_equivalent -> uncertain"": 0, ""conflicting_subtype_or_scope -> complete_equivalent"": 2, ""conflicting_subtype_or_scope -> conflicting_subtype_or_scope"": 69, ""conflicting_subtype_or_scope -> manifestation_or_related"": 1, ""conflicting_subtype_or_scope -> not_equivalent"": 1, ""conflicting_subtype_or_scope -> partial_parent_or_component"": 2, ""conflicting_subtype_or_scope -> uncertain"": 0, ""manifestation_or_related -> complete_equivalent"": 3, ""manifestation_or_related -> conflicting_subtype_or_scope"": 5, ""manifestation_or_related -> manifestation_or_related"": 56, ""manifestation_or_related -> not_equivalent"": 4, ""manifestation_or_related -> partial_parent_or_component"": 1, ""manifestation_or_related -> uncertain"": 0, ""not_equivalent -> complete_equivalent"": 2, ""not_equivalent -> conflicting_subtype_or_scope"": 4, ""not_equivalent -> manifestation_or_related"": 2, ""not_equivalent -> not_equivalent"": 86, ""not_equivalent -> partial_parent_or_component"": 3, ""not_equivalent -> uncertain"": 0, ""partial_parent_or_component -> complete_equivalent"": 6, ""partial_parent_or_component -> conflicting_subtype_or_scope"": 3, ""partial_parent_or_component -> manifestation_or_related"": 0, ""partial_parent_or_component -> not_equivalent"": 3, ""partial_parent_or_component -> partial_parent_or_component"": 40, ""partial_parent_or_component -> uncertain"": 0, ""uncertain -> complete_equivalent"": 0, ""uncertain -> conflicting_subtype_or_scope"": 0, ""uncertain -> manifestation_or_related"": 0, ""uncertain -> not_equivalent"": 0, ""uncertain -> partial_parent_or_component"": 0, ""uncertain -> uncertain"": 0}","{""catastrophic_substitution"": 12, ""family_coverage_loss"": 6, ""family_coverage_rescue"": 6, ""no_relation_change"": 342, ""object_rescue"": 7, ""scope_compression"": 4, ""specificity_rescue"": 6, ""wrong_object_exchange"": 17}",1.5,1.75,1.0,3.0
collapse3c,forest,ALL,800,"{""complete_equivalent -> complete_equivalent"": 85, ""complete_equivalent -> conflicting_subtype_or_scope"": 11, ""complete_equivalent -> manifestation_or_related"": 3, ""complete_equivalent -> not_equivalent"": 8, ""complete_equivalent -> partial_parent_or_component"": 15, ""complete_equivalent -> uncertain"": 0, ""conflicting_subtype_or_scope -> complete_equivalent"": 5, ""conflicting_subtype_or_scope -> conflicting_subtype_or_scope"": 98, ""conflicting_subtype_or_scope -> manifestation_or_related"": 9, ""conflicting_subtype_or_scope -> not_equivalent"": 7, ""conflicting_subtype_or_scope -> partial_parent_or_component"": 26, ""conflicting_subtype_or_scope -> uncertain"": 0, ""manifestation_or_related -> complete_equivalent"": 4, ""manifestation_or_related -> conflicting_subtype_or_scope"": 7, ""manifestation_or_related -> manifestation_or_related"": 76, ""manifestation_or_related -> not_equivalent"": 5, ""manifestation_or_related -> partial_parent_or_component"": 10, ""manifestation_or_related -> uncertain"": 0, ""not_equivalent -> complete_equivalent"": 6, ""not_equivalent -> conflicting_subtype_or_scope"": 7, ""not_equivalent -> manifestation_or_related"": 16, ""not_equivalent -> not_equivalent"": 119, ""not_equivalent -> partial_parent_or_component"": 20, ""not_equivalent -> uncertain"": 0, ""partial_parent_or_component -> complete_equivalent"": 7, ""partial_parent_or_component -> conflicting_subtype_or_scope"": 18, ""partial_parent_or_component -> manifestation_or_related"": 18, ""partial_parent_or_component -> not_equivalent"": 12, ""partial_parent_or_component -> partial_parent_or_component"": 208, ""partial_parent_or_component -> uncertain"": 0, ""uncertain -> complete_equivalent"": 0, ""uncertain -> conflicting_subtype_or_scope"": 0, ""uncertain -> manifestation_or_related"": 0, ""uncertain -> not_equivalent"": 0, ""uncertain -> partial_parent_or_component"": 0, ""uncertain -> uncertain"": 0}","{""catastrophic_substitution"": 22, ""family_coverage_loss"": 48, ""family_coverage_rescue"": 56, ""no_relation_change"": 586, ""object_rescue"": 15, ""scope_compression"": 15, ""specificity_rescue"": 7, ""wrong_object_exchange"": 51}",0.875,1.875,1.875,2.75
collapse3c,forest,DA,400,"{""complete_equivalent -> complete_equivalent"": 8, ""complete_equivalent -> conflicting_subtype_or_scope"": 0, ""complete_equivalent -> manifestation_or_related"": 0, ""complete_equivalent -> not_equivalent"": 2, ""complete_equivalent -> partial_parent_or_component"": 5, ""complete_equivalent -> uncertain"": 0, ""conflicting_subtype_or_scope -> complete_equivalent"": 2, ""conflicting_subtype_or_scope -> conflicting_subtype_or_scope"": 45, ""conflicting_subtype_or_scope -> manifestation_or_related"": 3, ""conflicting_subtype_or_scope -> not_equivalent"": 3, ""conflicting_subtype_or_scope -> partial_parent_or_component"": 17, ""conflicting_subtype_or_scope -> uncertain"": 0, ""manifestation_or_related -> complete_equivalent"": 0, ""manifestation_or_related -> conflicting_subtype_or_scope"": 3, ""manifestation_or_related -> manifestation_or_related"": 24, ""manifestation_or_related -> not_equivalent"": 0, ""manifestation_or_related -> partial_parent_or_component"": 6, ""manifestation_or_related -> uncertain"": 0, ""not_equivalent -> complete_equivalent"": 0, ""not_equivalent -> conflicting_subtype_or_scope"": 1, ""not_equivalent -> manifestation_or_related"": 8, ""not_equivalent -> not_equivalent"": 49, ""not_equivalent -> partial_parent_or_component"": 13, ""not_equivalent -> uncertain"": 0, ""partial_parent_or_component -> complete_equivalent"": 4, ""partial_parent_or_component -> conflicting_subtype_or_scope"": 12, ""partial_parent_or_component -> manifestation_or_related"": 16, ""partial_parent_or_component -> not_equivalent"": 7, ""partial_parent_or_component -> partial_parent_or_component"": 172, ""partial_parent_or_component -> uncertain"": 0, ""uncertain -> complete_equivalent"": 0, ""uncertain -> conflicting_subtype_or_scope"": 0, ""uncertain -> manifestation_or_related"": 0, ""uncertain -> not_equivalent"": 0, ""uncertain -> partial_parent_or_component"": 0, ""uncertain -> uncertain"": 0}","{""catastrophic_substitution"": 2, ""family_coverage_loss"": 35, ""family_coverage_rescue"": 36, ""no_relation_change"": 298, ""object_rescue"": 2, ""scope_compression"": 5, ""specificity_rescue"": 4, ""wrong_object_exchange"": 18}",1.0,0.5,1.25,0.5
collapse3c,forest,MCR,400,"{""complete_equivalent -> complete_equivalent"": 77, ""complete_equivalent -> conflicting_subtype_or_scope"": 11, ""complete_equivalent -> manifestation_or_related"": 3, ""complete_equivalent -> not_equivalent"": 6, ""complete_equivalent -> partial_parent_or_component"": 10, ""complete_equivalent -> uncertain"": 0, ""conflicting_subtype_or_scope -> complete_equivalent"": 3, ""conflicting_subtype_or_scope -> conflicting_subtype_or_scope"": 53, ""conflicting_subtype_or_scope -> manifestation_or_related"": 6, ""conflicting_subtype_or_scope -> not_equivalent"": 4, ""conflicting_subtype_or_scope -> partial_parent_or_component"": 9, ""conflicting_subtype_or_scope -> uncertain"": 0, ""manifestation_or_related -> complete_equivalent"": 4, ""manifestation_or_related -> conflicting_subtype_or_scope"": 4, ""manifestation_or_related -> manifestation_or_related"": 52, ""manifestation_or_related -> not_equivalent"": 5, ""manifestation_or_related -> partial_parent_or_component"": 4, ""manifestation_or_related -> uncertain"": 0, ""not_equivalent -> complete_equivalent"": 6, ""not_equivalent -> conflicting_subtype_or_scope"": 6, ""not_equivalent -> manifestation_or_related"": 8, ""not_equivalent -> not_equivalent"": 70, ""not_equivalent -> partial_parent_or_component"": 7, ""not_equivalent -> uncertain"": 0, ""partial_parent_or_component -> complete_equivalent"": 3, ""partial_parent_or_component -> conflicting_subtype_or_scope"": 6, ""partial_parent_or_component -> manifestation_or_related"": 2, ""partial_parent_or_component -> not_equivalent"": 5, ""partial_parent_or_component -> partial_parent_or_component"": 36, ""partial_parent_or_component -> uncertain"": 0, ""uncertain -> complete_equivalent"": 0, ""uncertain -> conflicting_subtype_or_scope"": 0, ""uncertain -> manifestation_or_related"": 0, ""uncertain -> not_equivalent"": 0, ""uncertain -> partial_parent_or_component"": 0, ""uncertain -> uncertain"": 0}","{""catastrophic_substitution"": 20, ""family_coverage_loss"": 13, ""family_coverage_rescue"": 20, ""no_relation_change"": 288, ""object_rescue"": 13, ""scope_compression"": 10, ""specificity_rescue"": 3, ""wrong_object_exchange"": 33}",0.75,3.25,2.5,5.0
collapse3c,impc,ALL,800,"{""complete_equivalent -> complete_equivalent"": 73, ""complete_equivalent -> conflicting_subtype_or_scope"": 15, ""complete_equivalent -> manifestation_or_related"": 5, ""complete_equivalent -> not_equivalent"": 12, ""complete_equivalent -> partial_parent_or_component"": 17, ""complete_equivalent -> uncertain"": 0, ""conflicting_subtype_or_scope -> complete_equivalent"": 5, ""conflicting_subtype_or_scope -> conflicting_subtype_or_scope"": 101, ""conflicting_subtype_or_scope -> manifestation_or_related"": 9, ""conflicting_subtype_or_scope -> not_equivalent"": 11, ""conflicting_subtype_or_scope -> partial_parent_or_component"": 19, ""conflicting_subtype_or_scope -> uncertain"": 0, ""manifestation_or_related -> complete_equivalent"": 5, ""manifestation_or_related -> conflicting_subtype_or_scope"": 8, ""manifestation_or_related -> manifestation_or_related"": 66, ""manifestation_or_related -> not_equivalent"": 12, ""manifestation_or_related -> partial_parent_or_component"": 11, ""manifestation_or_related -> uncertain"": 0, ""not_equivalent -> complete_equivalent"": 9, ""not_equivalent -> conflicting_subtype_or_scope"": 3, ""not_equivalent -> manifestation_or_related"": 10, ""not_equivalent -> not_equivalent"": 125, ""not_equivalent -> partial_parent_or_component"": 21, ""not_equivalent -> uncertain"": 0, ""partial_parent_or_component -> complete_equivalent"": 6, ""partial_parent_or_component -> conflicting_subtype_or_scope"": 16, ""partial_parent_or_component -> manifestation_or_related"": 18, ""partial_parent_or_component -> not_equivalent"": 16, ""partial_parent_or_component -> partial_parent_or_component"": 207, ""partial_parent_or_component -> uncertain"": 0, ""uncertain -> complete_equivalent"": 0, ""uncertain -> conflicting_subtype_or_scope"": 0, ""uncertain -> manifestation_or_related"": 0, ""uncertain -> not_equivalent"": 0, ""uncertain -> partial_parent_or_component"": 0, ""uncertain -> uncertain"": 0}","{""catastrophic_substitution"": 32, ""family_coverage_loss"": 50, ""family_coverage_rescue"": 51, ""no_relation_change"": 572, ""object_rescue"": 19, ""scope_compression"": 17, ""specificity_rescue"": 6, ""wrong_object_exchange"": 53}",0.75,2.375,2.125,4.0
collapse3c,impc,DA,400,"{""complete_equivalent -> complete_equivalent"": 5, ""complete_equivalent -> conflicting_subtype_or_scope"": 2, ""complete_equivalent -> manifestation_or_related"": 0, ""complete_equivalent -> not_equivalent"": 1, ""complete_equivalent -> partial_parent_or_component"": 7, ""complete_equivalent -> uncertain"": 0, ""conflicting_subtype_or_scope -> complete_equivalent"": 2, ""conflicting_subtype_or_scope -> conflicting_subtype_or_scope"": 48, ""conflicting_subtype_or_scope -> manifestation_or_related"": 3, ""conflicting_subtype_or_scope -> not_equivalent"": 5, ""conflicting_subtype_or_scope -> partial_parent_or_component"": 12, ""conflicting_subtype_or_scope -> uncertain"": 0, ""manifestation_or_related -> complete_equivalent"": 0, ""manifestation_or_related -> conflicting_subtype_or_scope"": 3, ""manifestation_or_related -> manifestation_or_related"": 18, ""manifestation_or_related -> not_equivalent"": 4, ""manifestation_or_related -> partial_parent_or_component"": 8, ""manifestation_or_related -> uncertain"": 0, ""not_equivalent -> complete_equivalent"": 2, ""not_equivalent -> conflicting_subtype_or_scope"": 2, ""not_equivalent -> manifestation_or_related"": 6, ""not_equivalent -> not_equivalent"": 47, ""not_equivalent -> partial_parent_or_component"": 14, ""not_equivalent -> uncertain"": 0, ""partial_parent_or_component -> complete_equivalent"": 4, ""partial_parent_or_component -> conflicting_subtype_or_scope"": 12, ""partial_parent_or_component -> manifestation_or_related"": 15, ""partial_parent_or_component -> not_equivalent"": 10, ""partial_parent_or_component -> partial_parent_or_component"": 170, ""partial_parent_or_component -> uncertain"": 0, ""uncertain -> complete_equivalent"": 0, ""uncertain -> conflicting_subtype_or_scope"": 0, ""uncertain -> manifestation_or_related"": 0, ""uncertain -> not_equivalent"": 0, ""uncertain -> partial_parent_or_component"": 0, ""uncertain -> uncertain"": 0}","{""catastrophic_substitution"": 3, ""family_coverage_loss"": 37, ""family_coverage_rescue"": 34, ""no_relation_change"": 288, ""object_rescue"": 4, ""scope_compression"": 7, ""specificity_rescue"": 4, ""wrong_object_exchange"": 23}",1.0,1.0,1.75,0.75
collapse3c,impc,MCR,400,"{""complete_equivalent -> complete_equivalent"": 68, ""complete_equivalent -> conflicting_subtype_or_scope"": 13, ""complete_equivalent -> manifestation_or_related"": 5, ""complete_equivalent -> not_equivalent"": 11, ""complete_equivalent -> partial_parent_or_component"": 10, ""complete_equivalent -> uncertain"": 0, ""conflicting_subtype_or_scope -> complete_equivalent"": 3, ""conflicting_subtype_or_scope -> conflicting_subtype_or_scope"": 53, ""conflicting_subtype_or_scope -> manifestation_or_related"": 6, ""conflicting_subtype_or_scope -> not_equivalent"": 6, ""conflicting_subtype_or_scope -> partial_parent_or_component"": 7, ""conflicting_subtype_or_scope -> uncertain"": 0, ""manifestation_or_related -> complete_equivalent"": 5, ""manifestation_or_related -> conflicting_subtype_or_scope"": 5, ""manifestation_or_related -> manifestation_or_related"": 48, ""manifestation_or_related -> not_equivalent"": 8, ""manifestation_or_related -> partial_parent_or_component"": 3, ""manifestation_or_related -> uncertain"": 0, ""not_equivalent -> complete_equivalent"": 7, ""not_equivalent -> conflicting_subtype_or_scope"": 1, ""not_equivalent -> manifestation_or_related"": 4, ""not_equivalent -> not_equivalent"": 78, ""not_equivalent -> partial_parent_or_component"": 7, ""not_equivalent -> uncertain"": 0, ""partial_parent_or_component -> complete_equivalent"": 2, ""partial_parent_or_component -> conflicting_subtype_or_scope"": 4, ""partial_parent_or_component -> manifestation_or_related"": 3, ""partial_parent_or_component -> not_equivalent"": 6, ""partial_parent_or_component -> partial_parent_or_component"": 37, ""partial_parent_or_component -> uncertain"": 0, ""uncertain -> complete_equivalent"": 0, ""uncertain -> conflicting_subtype_or_scope"": 0, ""uncertain -> manifestation_or_related"": 0, ""uncertain -> not_equivalent"": 0, ""uncertain -> partial_parent_or_component"": 0, ""uncertain -> uncertain"": 0}","{""catastrophic_substitution"": 29, ""family_coverage_loss"": 13, ""family_coverage_rescue"": 17, ""no_relation_change"": 284, ""object_rescue"": 15, ""scope_compression"": 10, ""specificity_rescue"": 2, ""wrong_object_exchange"": 30}",0.5,3.75,2.5,7.25
e7,v0,ALL,800,"{""complete_equivalent -> complete_equivalent"": 92, ""complete_equivalent -> conflicting_subtype_or_scope"": 2, ""complete_equivalent -> manifestation_or_related"": 2, ""complete_equivalent -> not_equivalent"": 3, ""complete_equivalent -> partial_parent_or_component"": 14, ""complete_equivalent -> uncertain"": 0, ""conflicting_subtype_or_scope -> complete_equivalent"": 3, ""conflicting_subtype_or_scope -> conflicting_subtype_or_scope"": 145, ""conflicting_subtype_or_scope -> manifestation_or_related"": 5, ""conflicting_subtype_or_scope -> not_equivalent"": 7, ""conflicting_subtype_or_scope -> partial_parent_or_component"": 10, ""conflicting_subtype_or_scope -> uncertain"": 0, ""manifestation_or_related -> complete_equivalent"": 2, ""manifestation_or_related -> conflicting_subtype_or_scope"": 4, ""manifestation_or_related -> manifestation_or_related"": 72, ""manifestation_or_related -> not_equivalent"": 4, ""manifestation_or_related -> partial_parent_or_component"": 4, ""manifestation_or_related -> uncertain"": 0, ""not_equivalent -> complete_equivalent"": 3, ""not_equivalent -> conflicting_subtype_or_scope"": 11, ""not_equivalent -> manifestation_or_related"": 8, ""not_equivalent -> not_equivalent"": 156, ""not_equivalent -> partial_parent_or_component"": 14, ""not_equivalent -> uncertain"": 0, ""partial_parent_or_component -> complete_equivalent"": 3, ""partial_parent_or_component -> conflicting_subtype_or_scope"": 10, ""partial_parent_or_component -> manifestation_or_related"": 13, ""partial_parent_or_component -> not_equivalent"": 8, ""partial_parent_or_component -> partial_parent_or_component"": 205, ""partial_parent_or_component -> uncertain"": 0, ""uncertain -> complete_equivalent"": 0, ""uncertain -> conflicting_subtype_or_scope"": 0, ""uncertain -> manifestation_or_related"": 0, ""uncertain -> not_equivalent"": 0, ""uncertain -> partial_parent_or_component"": 0, ""uncertain -> uncertain"": 0}","{""catastrophic_substitution"": 7, ""family_coverage_loss"": 31, ""family_coverage_rescue"": 28, ""no_relation_change"": 670, ""object_rescue"": 8, ""scope_compression"": 14, ""specificity_rescue"": 3, ""wrong_object_exchange"": 39}",0.375,1.0,1.75,0.875
