case_id,cohort,arm,opt1,opt2,rr,option_rank,best_rank,official_opt1,official_opt2,official_rr,reverted,swapped,n_merge_clusters,route_path,n_synthetic,subdivided_parents,pool_pre,pool_post
3,pilot24,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B5.1,B5.1
4,pilot24,compat_serial_safe,1,1,1.0,1,1,0,1,0.5,0,0,1,merge_then_support,,,B1.1,B1.1
5,pilot24,compat_serial_safe,0,0,0.0,2,,0,0,0.0,0,0,1,merge_then_support,,,B3.1,B3.1
7,pilot24,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B3.2,B3.2
11,pilot24,compat_serial_safe,0,0,0.0,2,,0,0,0.0,0,0,1,merge_then_support,,,B4.4,B4.4
12,pilot24,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,2,merge_then_support,,,"B1.3,B5.1","B1.3,B5.1"
15,pilot24,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B1.1,B1.1
19,pilot24,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_then_support,,,B3.1,B3.1
21,pilot24,compat_serial_safe,1,1,1.0,1,4,1,1,1.0,0,0,,calib_only,,,"B4.2,B1.2,B5.2,B3.2,B2.1","B2.1,B3.2,B5.2,B4.2,B1.2"
22,pilot24,compat_serial_safe,0,0,0.0,2,,0,0,0.0,0,0,1,merge_then_support,,,B5.3,B5.3
27,pilot24,compat_serial_safe,0,0,0.0,2,,0,0,0.0,0,0,2,merge_then_support,,,"B2.2,B1.1","B2.2,B1.1"
28,pilot24,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,,calib_only,,,"B1.2,B5.2,B2.20,B3.1,B4.17","B1.2,B2.20,B3.1,B4.17,B5.2"
29,pilot24,compat_serial_safe,1,1,1.0,1,1,0,1,0.5,0,0,1,merge_then_support,,,B3.1,B3.1
33,pilot24,compat_serial_safe,1,1,1.0,1,1,1,1,1.0,0,0,,calib_only,,,"B1.1,B4.2,B5.3,B2.2,B3.3","B1.1,B3.3,B2.2,B5.3,B4.2"
