case_id,cohort,arm,opt1,opt2,rr,option_rank,best_rank,official_opt1,official_opt2,official_rr,reverted,swapped,n_merge_clusters,route_path,n_synthetic,subdivided_parents,gate_triggered,gate_empirical,gate_random,concept_key_coverage,pi_topk,pool_pre,pool_post
3,pilot24,compat_parallel_no_l1_prior,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_only,,,True,True,,,1,,B5.1
4,pilot24,compat_parallel_no_l1_prior,1,1,1.0,1,1,0,1,0.5,0,0,1,merge_only,,,True,True,,,1,,B1.1
5,pilot24,compat_parallel_no_l1_prior,0,0,0.0,2,,0,0,0.0,0,0,1,merge_only,,,True,True,,,1,,B3.1
7,pilot24,compat_parallel_no_l1_prior,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_only,,,True,True,,,1,,B3.2
11,pilot24,compat_parallel_no_l1_prior,0,0,0.0,2,,0,0,0.0,0,0,1,merge_only,,,True,True,,,1,,B4.4
12,pilot24,compat_parallel_no_l1_prior,1,1,1.0,1,1,1,1,1.0,0,0,2,merge_only,,,True,True,,,2,,"B1.3,B5.1"
15,pilot24,compat_parallel_no_l1_prior,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_only,,,True,True,,,1,,B1.1
19,pilot24,compat_parallel_no_l1_prior,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_only,,,True,True,,,1,,B3.1
21,pilot24,compat_parallel_no_l1_prior,1,1,1.0,1,1,1,1,1.0,0,0,,calib_only,,,False,False,,,5,"B4.2,B1.2,B5.2,B3.2,B2.1","B4.2,B1.2,B5.2,B3.2,B2.1"
22,pilot24,compat_parallel_no_l1_prior,0,0,0.0,2,,0,0,0.0,0,0,1,merge_only,,,True,True,,,1,,B5.3
27,pilot24,compat_parallel_no_l1_prior,0,0,0.0,2,,0,0,0.0,0,0,2,merge_only,,,True,True,,,2,,"B2.2,B1.1"
28,pilot24,compat_parallel_no_l1_prior,1,1,1.0,1,1,1,1,1.0,0,0,,calib_only,,,False,False,,,5,"B1.2,B5.2,B2.20,B3.1,B4.17","B1.2,B5.2,B2.20,B3.1,B4.17"
29,pilot24,compat_parallel_no_l1_prior,1,1,1.0,1,1,0,1,0.5,0,0,1,merge_only,,,True,True,,,1,,B3.1
33,pilot24,compat_parallel_no_l1_prior,1,1,1.0,1,1,1,1,1.0,0,0,,calib_only,,,False,False,,,5,"B1.1,B4.2,B5.3,B2.2,B3.3","B1.1,B4.2,B5.3,B2.2,B3.3"
36,pilot24,compat_parallel_no_l1_prior,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_only,,,True,True,,,1,,B5.1
39,pilot24,compat_parallel_no_l1_prior,0,0,0.0,2,,0,0,0.0,0,0,1,merge_only,,,True,True,,,1,,B1.2
40,pilot24,compat_parallel_no_l1_prior,1,1,1.0,1,1,0,1,0.5,0,0,1,merge_only,,,True,True,,,1,,B1.2
45,pilot24,compat_parallel_no_l1_prior,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_only,,,True,True,,,1,,B4.1
57,pilot24,compat_parallel_no_l1_prior,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_only,,,True,True,,,1,,B5.1
59,pilot24,compat_parallel_no_l1_prior,1,1,1.0,1,1,0,1,0.5,0,0,2,merge_only,,,True,True,,,2,,"B4.1,B1.2"
60,pilot24,compat_parallel_no_l1_prior,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_only,,,True,True,,,1,,B2.2
62,pilot24,compat_parallel_no_l1_prior,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_only,,,True,True,,,1,,B2.1
63,pilot24,compat_parallel_no_l1_prior,1,1,1.0,1,1,1,1,1.0,0,0,1,merge_only,,,True,True,,,1,,B3.2
67,pilot24,compat_parallel_no_l1_prior,0,0,0.0,2,,0,0,0.0,0,0,1,merge_only,,,True,True,,,1,,B2.3
