arm	n	option_top1	option_top2	mrr2	option_top1_nobind	option_top2_nobind	mrr2_nobind	n_bind_repaired	pred_dir
B00-direct-cot	100	0.59	0.68	0.635	0.54	0.61	0.575	21	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_remaining_v1/B00-direct-cot/replicate_01
B01-cot-rag	100	0.59	0.69	0.64	0.55	0.63	0.59	18	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_rag_smoke_live/B01-cot-rag/replicate_01
B02-flat-matched-rerank	100	0.6	0.68	0.64	0.56	0.63	0.595	12	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_fixed_v1/B02-flat-matched-rerank/replicate_01
B02-flat-compute-matched	100	0.53	0.64	0.585	0.48	0.59	0.535	15	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_b02_compute_matched_v1/B02-flat-compute-matched/replicate_01
B02-flat-compute-matched-sc10	100	0.49	0.64	0.565	0.47	0.59	0.53	14	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_b02_compute_matched_sc10_v1/B02-flat-compute-matched-sc10/replicate_01
B03-flat-beam	100	0.55	0.64	0.595	0.52	0.6	0.56	11	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_remaining_v1/B03-flat-beam/replicate_01
B04-dual-inf	100	0.62	0.74	0.68	0.6	0.7	0.65	12	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_fixed_v1/B04-dual-inf/replicate_01
B05-mdagents	100	0.62	0.74	0.68	0.58	0.67	0.625	21	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_fixed_v1/B05-mdagents/replicate_01
B06-mac-single-vendor	100	0.64	0.72	0.68	0.61	0.67	0.64	22	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_fixed_v1/B06-mac-single-vendor/replicate_01
B07-meddxagent-complete	100	0.67	0.77	0.72	0.62	0.71	0.665	17	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_remaining_v1/B07-meddxagent-complete/replicate_01
B11a-official-diagnosisgpt	100	0.14	0.14	0.14	0.14	0.14	0.14	0	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_b11a_smoke/B11a-official-diagnosisgpt/replicate_01
B11b-cod-prompt-shared-kb	100	0.58	0.59	0.585	0.54	0.55	0.545	14	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_rag_smoke_live/B11b-cod-prompt-shared-kb/replicate_01
B12-sc-cot-5	100	0.58	0.68	0.63	0.52	0.61	0.565	20	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_remaining_v1/B12-sc-cot-5/replicate_01
B13-self-refine-1	100	0.65	0.73	0.69	0.57	0.62	0.595	26	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_remaining_v1/B13-self-refine-1/replicate_01
B15-medprompt-style	100	0.57	0.63	0.6	0.52	0.57	0.545	16	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_fixed_v1/B15-medprompt-style/replicate_01
B16-medrag-kg	100	0.53	0.58	0.555	0.48	0.52	0.5	12	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_fixed_v1/B16-medrag-kg/replicate_01
B17-imedrag	100	0.63	0.74	0.685	0.6	0.67	0.635	17	/data2/wanghongyi/Agentclinic-Tree-Dx-Spec/runs/paper_v1/diagnosisarena_imedrag_v1/B17-imedrag/replicate_01
