idx	case	relation	subject	predicate	quote	context	licensed
0	119	pathognomonic_for	actinic keratosis	invasive squamous cell carcinoma	can potentially progress into invasive squamous cell carcinoma	can potentially progress into invasive squamous cell carcinoma	
1	119	required_for	Lichen planus	DIF	Lichen planus is evaluated by histological examination and DIF	Lichen planus is evaluated by histological examination and DIF	
2	119	sufficient_for	Dermatomyositis	disease control	many patients achieve disease control	many patients achieve disease control	
3	179	pathognomonic_for	Von Willebrand disease	deficient or defective von Willebrand factor	deficient or defective von Willebrand factor	Von Willebrand disease, characterized by deficient or defective von Willebrand factor, can be effectively managed using different approaches. Primary treatment options include desmopressin, recombinant von Willebrand factor, and von Willebrand factor/factor VIII concentrates.	
4	179	required_for	Cyanotic Congenital Heart Disease	chest x-ray	chest x-ray are required	chest x-ray are required	
5	179	sufficient_for	Thrombocytopenia	unexplained cause	isolated thrombocytopenia of an unexplained cause may be sufficient reason to suspect an IT	However, in the absence of other information, isolated thrombocytopenia of an unexplained cause may be sufficient reason to suspect an IT.	
6	257	pathognomonic_for	gout	needle-shaped crystals	needle-shaped, negatively birefringent crystals	needle-shaped, negatively birefringent crystals	
7	257	required_for	Abscesses	anaerobic culture	can be diagnosed with appropriate anaerobic culture	can be diagnosed with appropriate anaerobic culture	
8	257	sufficient_for	Abscess	ultrasonography	bedside ultrasound had higher sensitivity and specificity than the exam alone	bedside ultrasound had higher sensitivity and specificity than the exam alone	
9	326	pathognomonic_for	Degenerative disc disease	the claw sign	the claw sign—is highly suggestive of degenerative disc disease	However, the typical well-defined, paired band-like regions of restricted diffusion on DWI images, affecting two contiguous vertebral bodies on sagittal images—known as “the claw sign”—is highly suggestive of degenerative disc disease and serves as a useful feature for differentiating it from discitis/osteomyelitis.	
10	326	required_for	Osteomyelitis	collaboration and communication	importance of collaboration and communication	Summarize the Cierny and Madar scheme in the histopathological classification of osteomyelitis.Describe the presentation of a patient with osteomyelitis.Identify the essential role of radiographic imaging in the evaluation of patients with osteomyelitis.Outline the importance of collaboration and communication among the interprofessional team to educate the patient on prolonged therapy and the nee	
11	326	sufficient_for	Spinal Epidural Abscess	MRI	MRI being the imagery of choice with more than 90% accuracy	As for the diagnosis, the imaging and the laboratory findings are crucial, with the MRI being the imagery of choice with more than 90% accuracy. The diagnosis of spondylodiscitis – an infection of the intervertebral disc as well as the adjacent vertebrae can also be conducted through the use of radionuclide testing in specific cases, such as in evaluating the treatment response or generally cases 	
12	475	pathognomonic_for	Inflammatory demyelinating polyneuropathy	symmetric proximal and distal weakness with sensory loss	symmetric proximal and distal weakness with sensory loss	symmetric proximal and distal weakness with sensory loss	
13	475	required_for	ulnar neuropathy	electrodiagnostic testing	confirm the diagnosis of ulnar neuropathy	Electrodiagnostic testing, which includes electromyography and nerve conduction studies, can be used to confirm the diagnosis of ulnar neuropathy, locate the location of pathological ulnar nerve compression and differentiate between mononeuropathy, polyneuropathy, plexopathy, and radiculopathy. Identify the indications for electrodiagnostic testing in ulnar neuropathy.Assess the nerve conduction f	
14	475	sufficient_for	tarsal tunnel syndrome	surgical exploration	surgical exploration	Surgical exploration of the nerves in the tarsal tunnel and distally may be necessary for progressive tarsal tunnel syndrome.	
15	49	pathognomonic_for	Intestinal tuberculosis	caseation necrosis	caseation necrosis	Caseation necrosis is pathognomic of ITB, whereas crypt‐centered inflammation, such as pericryptal granulomas and focally enhanced colitis, are suggestive of CD.72	
16	49	required_for	Complicated diverticular disease	diagnosis	CT is crucial in diagnosing, identifying complications, and guiding disease staging	CT is crucial in diagnosing, identifying complications, and guiding disease staging	
17	49	sufficient_for	Diverticulitis	computed tomography of the abdomen	computed tomography of the abdomen	If the patient presents with extreme abdominal pain, however, the test of choice is typically a computed tomography of the abdomen to avoid the risk of intestinal rupture in the setting of intestinal infection or inflammation.[9] Colonoscopy in a prepped colon remains the best test to identify the source of bleeding if blood is present in the stool. If a colonoscopy is inconclusive, as with the ac	
18	522	pathognomonic_for	Alzheimer Disease (AD)	fibrillar beta-amyloid	fibrillar beta-amyloid	The most common form of dementia pathologically hallmarked by fibrillar beta-amyloid and hyper-phosphorylated tau accumulations in the central nervous system.[19] Several PERG studies have provided evidence of retinal electrophysiologic dysfunction in AD.	
19	522	required_for	vascular dementia	CT	If MRI is unavailable or contraindicated, use CT.	If MRI is unavailable or contraindicated, use CT.	
20	522	sufficient_for	Catatonia	lorazepam challenge test	lorazepam challenge test	In cases of diagnostic uncertainty, a lorazepam challenge test is recommended to confirm the diagnosis.	
21	56	pathognomonic_for	Hodgkin Lymphoma (HL)	Hodgkin Reed-Sternberg (HRS) cells	presence of pathological Hodgkin Reed-Sternberg (HRS) cells	presence of pathological Hodgkin Reed-Sternberg (HRS) cells	
22	56	required_for	Osteosarcoma	Fresh or frozen tissue samples	analyze tissue samples in fresh or frozen format	analyze tissue samples in fresh or frozen format	
23	56	sufficient_for	tubular carcinoma	tumor size more than or equal to 30 mm	tumors more than or equal to 30 mm	In patients with tumors more than or equal to 30 mm, adjuvant endocrine therapy should be the treatment.	
24	773	pathognomonic_for	Chronic Thromboembolic Pulmonary Hypertension	pulmonary hypertension	pulmonary hypertension in CTEPH	Chronic Thromboembolic Pulmonary Hypertension The development of persistent or progressive dyspnea, particularly during the first 3 months to 2 years after diagnosis, should prompt the clinician to investigate the development of chronic thromboembolic pulmonary hypertension (CTEPH), which affects up to 5% of patients.	
25	773	required_for	Cardiomyopathy	imaging studies	electrocardiogram, laboratory testing, imaging studies	electrocardiogram, laboratory testing, imaging studies	
26	773	sufficient_for	Patent Foramen Ovale	transcranial Doppler	transcranial Doppler	transcranial Doppler	
27	91	pathognomonic_for	Endovascular papillary angioendothelioma	papillary projections	the demonstration of papillary projections seems to be the most important for the diagnosis	the demonstration of papillary projections seems to be the most important for the diagnosis	
28	91	required_for	Kaposi sarcoma	C‐reactive protein	C‐reactive protein	blood count, ferritin, and C‐reactive protein.	
29	91	sufficient_for	meningioma	standard structural MRI	Offer standard structural MRI	Offer standard structural MRI (defined as T2 weighted, FLAIR, DWI series and T1 pre- and post-contrast volume) as the initial diagnostic test for suspected meningioma, unless MRI is contraindicated.	
30	119	pathognomonic_for	Porokeratosis	cornoid lamella	will show the cornoid lamella and will be diagnostic	will show the cornoid lamella and will be diagnostic	
31	119	required_for	Actinic keratosis	biopsy	Biopsy is essential	Biopsy is essential	
32	119	sufficient_for	Sjögren disease	total score	A total score of 4 or more	A total score of 4 or more	
