arm	option_top1	option_top2	n
A01-fixed-taxonomy	0.3333	0.3333	3
A13-emulation-full-matrix	0.3333	0.3333	3
B00-direct-cot	0.3333	0.3333	3
B01-cot-rag	0.3333	0.3333	3
B02-flat-matched-rerank	0.3333	0.3333	3
B04-dual-inf	0.3333	0.3333	3
B05-mdagents	0.3333	0.3333	3
B06-mac-single-vendor	0.3333	0.3333	3
B11a-official-diagnosisgpt	0.3333	0.3333	3
B11b-cod-prompt-shared-kb	0.3333	0.3333	3
B12-sc-cot-5	0.3333	0.3333	3
B13-self-refine-1	0.3333	0.3333	3
B14-candidate-flat-union	0.3333	0.3333	3
O01-candidate	1.0	1.0	3
O02-parent	1.0	1.0	3
O03-local-champion	1.0	1.0	3
O04-arbiter	1.0	1.0	3
