case_id,cohort,ours_opt1,ours_opt2,ours_rr,mac_opt1,mac_opt2,dual_opt1,dual_opt2,in_set_a,in_set_b_mac,in_set_b_dual,in_set_c,fail_tier_prefill,fine_candidate,fine_reason,coarse_candidate,coarse_leaf_id,joint_top1,joint_top2,gold_option,gold_letter,gold_leaf_ids,n_selected_l1,schema_valid
3,pilot24,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B1.1,Cerebral Cavernous Malformations (CCM),Cerebral Cavernous Malformations (CCM),Familial cerebral cavernous malformations,C,"B1.1,B2.1,B3.1,B4.1,B5.1",6,True
4,pilot24,0,1,0.5,0,0,0,0,1,0,0,0,fine_synonym_crowd,1,top1_top2_synonym_labels,0,,Hemangioma,Microvenular hemangioma,Microvenular hemangioma (MVH),C,B2.2,6,True
5,pilot24,0,0,0.0,1,1,0,0,0,1,0,0,,1,top1_top2_synonym_labels,0,,Central Giant Cell Granuloma,Central Giant Cell Granuloma,Left maxillary giant cell reparative granuloma (GCRG),D,,6,True
7,pilot24,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B1.2,Segmental Stiff Skin Syndrome,Segmental Stiff Skin Syndrome,Segmental stiff skin syndrome (SSS),B,"B1.2,B2.2,B3.2,B4.2",6,True
11,pilot24,0,0,0.0,0,0,0,0,0,0,0,0,,1,top1_top2_synonym_labels,0,,Orbital Abscess,Orbital abscess secondary to acute dacryocystitis,Acute dacryocystitis with secondary optic nerve injury,D,,0,True
12,pilot24,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B1.3,Kaposiform Hemangioendothelioma,Kaposiform Hemangioendothelioma,Kaposiform hemangioendothelioma (KHE) of the internal auditory canal,C,"B1.3,B2.3,B3.2,B4.2",6,True
15,pilot24,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B1.1,Histoplasmosis,Histoplasmosis,Primary oral histoplasmosis,B,"B1.1,B2.1,B4.1",6,True
19,pilot24,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,0,,Follicular Thyroid Carcinoma with Bone Metastasis,Follicular thyroid carcinoma with manubrial invasion,Follicular thyroid carcinoma with manubrial invasion,D,"B1.2,B2.2",6,True
21,pilot24,1,1,1.0,1,1,0,0,0,0,0,0,,0,,1,B4.2,Orbital Compartment Syndrome,Retinal Detachment,Saturday night retinopathy with orbital compression syndrome,C,B4.2,6,True
22,pilot24,0,0,0.0,0,0,0,0,0,0,0,0,,1,top1_top2_synonym_labels,0,,Systemic Lupus Erythematosus,Systemic Lupus Erythematosus,Antimelanoma differentiation associated gene 5 clinically amyopathic dermatomyositis,D,,6,True
27,pilot24,0,0,0.0,1,1,1,1,0,1,1,0,,1,top1_top2_synonym_labels,0,,Leukemic cutis,Leukemic cutis,Histiocytoid Sweet syndrome,D,,6,True
28,pilot24,1,1,1.0,0,0,0,0,0,0,0,1,,0,,0,,Bayes syndrome,Bayés syndrome,Bayés syndrome (Advanced interatrial block with paroxysmal atrial arrhythmias),B,"B1.2,B5.2",0,True
29,pilot24,0,1,0.5,1,1,0,1,1,1,0,0,fine_synonym_crowd,1,top1_top2_synonym_labels,1,B2.1,IgG4-Related Ophthalmic Disease,IgG4-Related Disease,IgG4-related rhinosinusitis with concurrent Streptococcus constellatus bacterial rhinosinusitis,A,"B2.1,B4.1,B5.1",6,True
33,pilot24,1,1,1.0,1,1,1,1,0,0,0,0,,0,,1,B4.2,Metastatic lung cancer to the heart,Myocardial Metastasis,ST-segment elevation due to myocardial metastasis from squamous cell carcinoma of the lung,B,B4.2,6,True
36,pilot24,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B3.1,Cutaneous Cryptococcosis,Cryptococcosis,Primary cutaneous cryptococcosis (PCC),B,"B3.1,B5.1",6,True
39,pilot24,0,0,0.0,1,1,1,1,0,1,1,0,,1,top1_top2_synonym_labels,0,,Sarcoidosis,Sarcoidosis,Metastatic Crohn disease,B,,6,True
40,pilot24,0,1,0.5,1,1,1,1,1,1,1,0,fine_synonym_crowd,1,top1_top2_synonym_labels,0,,"Squamous cell carcinoma, clear cell variant","Squamous cell carcinoma, clear cell variant",Invasive squamous cell carcinoma arising in a seborrheic keratosis of the eyelid,D,"B2.4,B3.3,B5.4",6,True
45,pilot24,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B1.1,Dermatomyositis,Dermatomyositis,Drug-induced dermatomyositis secondary to ipilimumab therapy,A,"B1.1,B2.1,B3.1,B4.1,B5.1",6,True
57,pilot24,1,1,1.0,0,0,0,0,0,0,0,1,,1,top1_top2_synonym_labels,0,,Eosinophilic annular erythema (EAE),Eosinophilic annular erythema (EAE),Eosinophilic annular erythema (EAE),A,"B1.1,B2.1,B3.1,B4.1,B5.1",6,True
59,pilot24,0,1,0.5,1,1,0,1,1,1,0,0,fine_synonym_crowd,1,top1_top2_synonym_labels,1,B2.1,Uveitis,Anastrozole-induced uveitis,Anastrozole-associated uveitis with cystoid macular edema,B,B2.1,6,True
60,pilot24,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,0,,Ostium Secundum Atrial Septal Defect,Ostium Secundum Atrial Septal Defect,Ostium secundum atrial septal defect (OS-ASD),D,"B1.1,B2.2,B3.1,B4.1",6,True
62,pilot24,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B1.2,Multiple myeloma,Multiple myeloma,Type I cryoglobulinemia associated with multiple myeloma,D,"B1.2,B2.1,B3.1,B4.2,B5.2",6,True
63,pilot24,1,1,1.0,0,0,1,1,0,0,0,0,,1,top1_top2_synonym_labels,0,,Synchysis scintillans with Morning Glory Disc Anomaly,Morning Glory Syndrome with Cholesterolosis,Synchysis scintillans with morning glory disc anomaly and chronic retinal detachment,D,B3.2,6,True
67,pilot24,0,0,0.0,1,1,0,0,0,1,0,0,,1,top1_top2_synonym_labels,0,,pneumonia leading to sepsis and encephalopathy,sepsis with encephalopathy,Septic shock with anuric kidney failure,B,,6,True
72,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,0,,1,B1.1,Three-vessel obstructive coronary artery disease,Chronic Stable Angina,Three-vessel obstructive coronary artery disease,A,"B1.1,B3.3,B4.1,B5.2",6,True
74,remain76,0,0,0.0,1,1,1,1,0,1,1,0,,1,top1_top2_synonym_labels,0,,Malignant Hidradenoma,Malignant hidradenoma,Nonkeratinizing squamous cell carcinoma of the nasal mucosa with Schneiderian features,D,,4,True
76,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B5.2,Low-grade Chondrosarcoma of the Mastoid,Chondrosarcoma,Low-grade chondrosarcoma of the mastoid with facial nerve involvement,C,B5.2,6,True
81,remain76,1,1,1.0,0,0,0,0,0,0,0,1,,1,top1_top2_synonym_labels,1,B3.3,Strongyloidiasis with hyperinfection syndrome,Strongyloidiasis,Disseminated Strongyloides stercoralis infection with ocular involvement (choroiditis),C,B3.3,6,True
83,remain76,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,,1,top1_top2_synonym_labels,0,,Retinitis Pigmentosa,Retinitis Pigmentosa,Enhanced S-cone syndrome (ESCS),C,B3.3,0,True
87,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B1.2,Myopericarditis,Myopericarditis,Myopericarditis,B,"B1.2,B2.2,B3.2,B4.2",0,True
89,remain76,1,1,1.0,1,1,0,0,0,0,0,0,,0,,1,B4.1,Paroxysmal Supraventricular Tachycardia,Atrioventricular Nodal Reentrant Tachycardia,Accelerated atrioventricular junctional tachycardia with isorhythmic atrioventricular dissociation,D,B4.1,6,True
90,remain76,0,1,0.5,1,1,1,1,1,1,1,0,fine_synonym_crowd,1,top1_top2_synonym_labels,1,B1.3,Malignant Melanoma of the Conjunctiva,Malignant Melanoma of the Conjunctiva,Caruncular melanoma,B,B1.3,6,True
95,remain76,1,1,1.0,0,0,1,1,0,0,0,0,,1,top1_top2_synonym_labels,0,,"Progressive Ataxia and Palatal Tremor (PAPT), sporadic type","Progressive Ataxia and Palatal Tremor (PAPT), sporadic type","Progressive Ataxia and Palatal Tremor (PAPT), sporadic type",B,"B1.1,B2.1,B3.1,B4.1,B5.1",0,True
97,remain76,0,0,0.0,1,1,1,1,0,1,1,0,,0,,0,,,,Anti-TIF-1γ juvenile dermatomyositis (JDM),A,,0,False
99,remain76,1,1,1.0,1,1,1,1,0,0,0,0,,1,top1_top2_synonym_labels,1,B1.1,Dominant dystrophic epidermolysis bullosa,Dominant Dystrophic Epidermolysis Bullosa,Epidermolysis bullosa pruriginosa (EBP),C,"B1.1,B2.3,B3.3,B4.2",6,True
