case_key,gold,family,sampling_stratum,sampling_probability,sampling_weight,full_label_reach,best_source,diagnostic_support,matched_concept,source_chunk_ids,source_excerpt,matched_vignette_clues,missing_qualifiers,bridge_operations,distractor_risks,confidence,review_notes
DA_d2_heldout100/261,Cutaneous malakoplakia,DA,DA_d2_heldout100,0.08,12.5,none,none,D0_absent,,,,Michaelis-Gutmann bodies | Prussian-blue/Von-Kossa-positive inclusions | E. coli culture | inguinoscrotal nodules,malakoplakia entity | cutaneous site | Michaelis-Gutmann diagnostic rule,pathology_to_entity | organism_entity_link | anatomy_site_normalization,E. coli can anchor retrieval on ordinary infection | granulomatous dermatitis and donovanosis are surface-form distractors,high,"No malakoplakia/malacoplakia or Michaelis-Gutmann description was found in Merck, manifest CPG, or WikEM."
DA_d2_heldout100/272,Window-Period Acute Myocardial Infarction,DA,DA_d2_heldout100,0.08,12.5,qualifier_stripped,Merck,D3_direct_vignette_matched,acute myocardial infarction / ACS,merck19e_ch210_coronary-artery-disease__chunk_00030 | merck19e_ch210_coronary-artery-disease__chunk_00033 | merck19e_ch210_coronary-artery-disease__chunk_00034,MI pain may radiate to the arm with dyspnea and diaphoresis; serial ECG and markers are required because markers appear after injury.,severe precordial pain radiating to left arm | dyspnea and sweating | hyperacute precordial T waves | initially negative troponin | subtotal proximal LAD occlusion,nonstandard “window-period” label,modifier_stripping | temporal_relation | ecg_pattern_to_entity | lab_threshold_to_qualitative,normal initial troponin can falsely exclude MI | options duplicate NSTEMI labels and foreground terminology rather than mechanism,high,The source lacks the exact case-report label but directly explains the early-marker/serial-testing window and the ACS phenotype.
DA_d2_heldout100/303,Cutaneous Bacillus cereus infection with bacteremia,DA,DA_d2_heldout100,0.08,12.5,qualifier_stripped,Merck,D1_parent_component_or_list_only,Bacillus cereus,merck19e_ch016_gastroenteritis__chunk_00004 | merck19e_ch327_eye-injuries__chunk_00008 | merck19e_ch135_gram-negative-bacilli__chunk_00059,B. cereus is mentioned for food-borne toxin disease and traumatic endophthalmitis; the skin chunk instead describes Pseudomonas ecthyma gangrenosum.,neutropenic infant | vesicular necrotic lesions | filamentous gram-variable rods | positive tissue and blood cultures | liver and brain lesions,cutaneous syndrome | bacteremia | neutropenic-host presentation | dissemination pattern,modifier_stripping | organism_entity_link | anatomy_site_normalization | host_state_link,B. cereus hits point to gastroenteritis or eye trauma | neutropenia plus necrotic skin lesions retrieves Pseudomonas ecthyma gangrenosum,high,"The organism is searchable, but available descriptions are the wrong syndromes and do not support the gold composite."
DA_d2_heldout100/325,Pigmented extramammary Paget disease,DA,DA_d2_heldout100,0.08,12.5,qualifier_stripped,Merck,D2_direct_but_partial_or_general,extramammary Paget disease,merck19e_ch090_cancers-of-the-skin__chunk_00021 | merck19e_ch090_cancers-of-the-skin__chunk_00022,Extramammary Paget lesions resemble dermatitis; a sharply marginated unilateral lesion unresponsive to topical therapy should prompt biopsy.,slow-growing sharply demarcated axillary plaque | eczema-like onset | pagetoid intraepidermal cells | CK7/EMA positivity,pigmented variant | axillary site emphasis | HMB-45-positive reactive melanocytes,modifier_stripping | anatomy_site_normalization | pathology_to_entity | immunophenotype_to_entity,pigmentation and HMB-45-positive melanocytes can anchor melanoma | source emphasizes usual genital/perianal sites,high,"Direct parent-disease description is useful, but the pigmentation mechanism and immunophenotypic differential are absent."
DA_d2_heldout100/334,Phaeohyphomycosis,DA,DA_d2_heldout100,0.08,12.5,exact,Merck,D3_direct_vignette_matched,phaeohyphomycosis,merck19e_ch142_fungi__chunk_00055 | merck19e_ch142_fungi__chunk_00056 | merck19e_ch142_fungi__chunk_00057,Phaeohyphomycosis is distinguished by histopathology and culture; dematiaceous fungi appear as septate brown bodies and Fontana-Masson confirms melanin.,chronic destructive plaques | pigmented hyphae | Fontana-Masson-positive fungal elements | Exophiala spinifera culture | ANCA-negative GPA mimic,,exact_surface | pathology_to_entity | organism_entity_link | negative_evidence_handling,palatal perforation and saddle nose strongly evoke GPA | chromoblastomycosis is a same-section sibling,high,The diagnostic rule and the vignette’s decisive histology/culture are directly aligned.
DA_d2_heldout100/348,Asymptomatic posterior corneal dystrophy,DA,DA_d2_heldout100,0.08,12.5,parent_component,Merck,D1_parent_component_or_list_only,corneal dystrophy (generic),merck19e_ch060_approach-to-the-ophthalmologic-patient__chunk_00010,Corneal dystrophies are mentioned only as an indication for pachymetry.,asymptomatic bilateral concentric posterior stromal rings | 20/20 vision | no deposits or infiltration | posterior crocodile shagreen,asymptomatic posterior corneal dystrophy entity | concentric-ring phenotype | differential from posterior polymorphous dystrophy and François dystrophy,modifier_stripping | imaging_pattern_to_entity | anatomy_layer_normalization,generic corneal-dystrophy retrieval favors common Fuchs/Schnyder entities | posterior crocodile shagreen is a salient but non-gold neighbor,high,Only a generic category mention is present; there is no diagnostic morphology for the named entity.
DA_d2_heldout100/420,Fulminant Myocarditis,DA,DA_d2_heldout100,0.08,12.5,exact,CPG,D3_direct_vignette_matched,acute fulminant myocarditis,esc_epmc__pmc13183180__chunk_00012 | esc_epmc__pmc13183180__chunk_00014 | esc_epmc__pmc13183180__chunk_00015,"Fulminant myocarditis has rapid symptom progression; echocardiography assesses low LVEF, and cardiogenic shock or malignant arrhythmia marks a high-risk presentation.",young adult after respiratory illness | chest pain and dyspnea | marked troponin elevation | rapid hypotension and loss of consciousness | multiterritory dysfunction with normal coronaries,,exact_surface | temporal_relation | ecg_pattern_to_entity | negative_evidence_handling,ST elevation and troponin can anchor acute MI | viral cardiomyopathy and myopericarditis share much of the phenotype,high,"The manifest corpus contains a direct, case-matched characterization and diagnostic-modality discussion."
DA_d2_heldout100/423,Leptomeningeal lymphoplasmacytic lymphoma (LPL),DA,DA_d2_heldout100,0.08,12.5,parent_component,Merck,D1_parent_component_or_list_only,Waldenström macroglobulinemia / lymphoplasmacytic neoplasm,merck19e_ch119_plasma-cell-disorders__chunk_00004 | merck19e_ch119_plasma-cell-disorders__chunk_00005,Macroglobulinemia is described as an IgM-producing B-cell malignancy diagnosed by marrow examination and M-protein demonstration.,prior B-cell lymphoma | diffuse leptomeningeal and cranial-nerve enhancement | CSF plasmacytoid lymphocytes | kappa-restricted B cells,lymphoplasmacytic lymphoma terminology | leptomeningeal/CNS involvement | CSF flow-cytometry pattern,synonym_alias | modifier_stripping | anatomy_site_normalization | pathology_to_entity,macroglobulinemia retrieval overweights IgM/hyperviscosity absent from vignette | leptomeningeal enhancement has infectious and other lymphoma causes,high,"A related parent neoplasm is described, but the decisive CNS relapse phenotype is not."
DA_d2_heldout200b/522,Catatonia related to underlying Lewy body dementia,DA,DA_d2_heldout200b,0.04,25.0,parent_component,Merck,D1_parent_component_or_list_only,Lewy body dementia plus catatonia (separate entries),merck19e_ch175_delirium-dementia__chunk_00040 | merck19e_ch164_schizophrenia-related-disorders__chunk_00012,"Lewy body dementia is linked to fluctuating cognition, hallucinations and parkinsonism; catatonia is described separately as an extreme motor behavior.","fluctuating cognition and failure to recognize family | visual/auditory hallucinations | mutism, staring, echopraxia and mitmachen | negative infectious/autoimmune workup",catatonia as a manifestation of Lewy body dementia | causal relation between the two diagnoses,composite_decomposition | syndrome_relation_binding | negative_evidence_handling,major depression history supports depressive catatonia | separate component chunks invite unsupported composition,high,"Both components are individually searchable, but no source states or tests the required causal composite."
DA_d2_heldout200b/529,Multidrug-resistant Cytomegalovirus (CMV) infection,DA,DA_d2_heldout200b,0.04,25.0,qualifier_stripped,Merck,D2_direct_but_partial_or_general,CMV infection/disease,merck19e_ch151_herpesviruses__chunk_00008 | merck19e_ch151_herpesviruses__chunk_00010,"Severe CMV disease occurs in immunocompromised hosts; rising quantitative CMV DNA can suggest invasive disease, while shedding alone is insufficient.",combined immunodeficiency and CD4 140 | serially rising CMV DNA | persistent disease despite antivirals | UL97 and UL54 mutations,UL97/UL54 resistance interpretation | multidrug-resistance definition | specific resistance-to-drug mapping,modifier_stripping | acronym_expansion | temporal_relation | genotype_to_resistance,bronchiectasis and cough suggest bacterial/PCP disease | CMV DNAemia can be shedding rather than invasive disease,high,"The source supports CMV disease and cautions about DNAemia, but cannot identify multidrug resistance from the mutation pair."
